name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_capacity,TripType,ChargeType,ControlRatio
B11000121,0,0.0,36047.0,0.0,0.0,36047.0,20.0,98.09120000000001,57.675200000000004,40.41600000000001,False,Office,V2B,0
B11000124,0,0.0,48633.0,0.0,0.0,48633.0,25.0,128.33280000000002,77.81280000000001,50.52000000000001,False,Office,V2B,0
B11000125,0,0.0,35102.0,0.0,0.0,35102.0,18.0,92.53760000000001,56.1632,36.37440000000001,False,Office,V2B,0
B11000127,0,0.0,30468.0,0.0,0.0,30468.0,16.0,81.08160000000001,48.7488,32.332800000000006,False,Office,V2B,0
B11000137,0,0.0,33802.0,0.0,0.0,33802.0,18.0,90.45760000000001,54.083200000000005,36.37440000000001,False,Office,V2B,0
B11000138,0,0.0,48031.0,0.0,0.0,48031.0,27.0,131.4112,76.84960000000001,54.56160000000001,False,Office,V2B,0
B11000140,0,0.0,35046.0,0.0,0.0,35046.0,20.0,96.48960000000002,56.073600000000006,40.41600000000001,False,Office,V2B,0
B11000144,0,0.0,75828.0,0.0,0.0,75828.0,39.0,200.13600000000002,121.32480000000001,78.81120000000001,False,Office,V2B,0
B11000148,0,0.0,44025.0,0.0,0.0,44025.0,25.0,120.96000000000001,70.44,50.52000000000001,False,Office,V2B,0
B11000162,0,0.0,57044.0,0.0,0.0,57044.0,29.0,149.8736,91.27040000000001,58.60320000000001,False,Office,V2B,0
B11000164,0,0.0,86967.0,0.0,0.0,86967.0,45.0,230.08320000000003,139.1472,90.93600000000002,False,Office,V2B,0
B11000167,0,0.0,26573.0,0.0,0.0,26573.0,14.0,70.808,42.5168,28.291200000000003,False,Office,V2B,0
B11000173,0,0.0,42843.0,0.0,0.0,42843.0,21.0,110.9856,68.5488,42.436800000000005,False,Office,V2B,0
B11000174,0,0.0,49416.0,0.0,0.0,49416.0,26.0,131.6064,79.0656,52.54080000000001,False,Office,V2B,0
B11000181,0,0.0,1941045.0,0.0,0.0,1941045.0,357.0,3827.0976,3105.672,721.4256000000001,False,Office,V2B,0
B11000182,0,0.0,61468.0,0.0,0.0,61468.0,33.0,165.03520000000003,98.34880000000001,66.6864,False,Office,V2B,0
B11000185,0,0.0,41329.0,0.0,0.0,41329.0,23.0,112.60480000000001,66.1264,46.47840000000001,False,Office,V2B,0
B11000193,0,0.0,55340.0,0.0,0.0,55340.0,21.0,130.98080000000002,88.54400000000001,42.436800000000005,False,Office,V2B,0
B11000199,0,0.0,44563.0,0.0,0.0,44563.0,24.0,119.80000000000001,71.30080000000001,48.49920000000001,False,Office,V2B,0
B11000202,0,0.0,24205.0,0.0,0.0,24205.0,13.0,64.9984,38.728,26.270400000000006,False,Office,V2B,0
B11000216,0,0.0,55770.0,0.0,0.0,55770.0,31.0,151.8768,89.232,62.64480000000001,False,Office,V2B,0
B11000219,0,0.0,20099.0,0.0,0.0,20099.0,10.0,52.366400000000006,32.1584,20.208000000000006,False,Office,V2B,0
B11000221,0,0.0,89745.0,0.0,0.0,89745.0,43.0,230.48640000000003,143.592,86.89440000000002,False,Office,V2B,0
B11000223,0,0.0,720252.0,0.0,0.0,720252.0,277.0,1712.1648,1152.4032,559.7616000000002,False,Office,V2B,0
B11000224,0,0.0,1874310.0,0.0,0.0,1874310.0,440.0,3888.0480000000002,2998.896,889.1520000000002,False,Office,V2B,0
B11000227,0,0.0,690820.0,0.0,0.0,690820.0,195.0,1499.3680000000002,1105.3120000000001,394.0560000000001,False,Office,V2B,0
B11000228,0,0.0,769854.0,0.0,0.0,769854.0,286.0,1809.7152,1231.7664,577.9488000000001,False,Office,V2B,0
B11000230,0,0.0,968811.0,0.0,0.0,968811.0,413.0,2384.688,1550.0976,834.5904000000002,False,Office,V2B,0
B11000233,0,0.0,223626.0,0.0,0.0,223626.0,88.0,535.6320000000001,357.8016,177.83040000000003,False,Office,V2B,0
B11000234,0,0.0,2596545.0,0.0,0.0,2596545.0,653.0,5474.0544,4154.472,1319.5824000000002,False,Office,V2B,0
B11000237,0,0.0,668663.0,0.0,0.0,668663.0,282.0,1639.7264000000002,1069.8608000000002,569.8656000000001,False,Office,V2B,0
B11000239,0,0.0,1036134.0,0.0,0.0,1036134.0,578.0,2825.8368,1657.8144,1168.0224000000003,False,Office,V2B,0
B11000242,0,0.0,45655.0,0.0,0.0,45655.0,26.0,125.58880000000002,73.048,52.54080000000001,False,Office,V2B,0
B11000245,0,0.0,52289.0,0.0,0.0,52289.0,29.0,142.2656,83.6624,58.60320000000001,False,Office,V2B,0
B11000246,0,0.0,478973.0,0.0,0.0,478973.0,179.0,1128.0800000000002,766.3568,361.7232000000001,False,Office,V2B,0
B11000249,0,0.0,724479.0,0.0,0.0,724479.0,190.0,1543.1184,1159.1664,383.95200000000006,False,Office,V2B,0
B11000251,0,0.0,927849.0,0.0,0.0,927849.0,309.0,2108.9856,1484.5584000000001,624.4272000000001,False,Office,V2B,0
B11000252,0,0.0,734121.0,0.0,0.0,734121.0,226.0,1631.2944000000002,1174.5936000000002,456.7008000000001,False,Office,V2B,0
B11000253,0,0.0,841329.0,0.0,0.0,841329.0,216.0,1782.6192,1346.1264,436.4928000000001,False,Office,V2B,0
B11000254,0,0.0,685910.0,0.0,0.0,685910.0,240.0,1582.4480000000003,1097.4560000000001,484.9920000000001,False,Office,V2B,0
B11000255,0,0.0,433899.0,0.0,0.0,433899.0,168.0,1033.7328000000002,694.2384000000001,339.49440000000004,False,Office,V2B,0
B11000256,0,0.0,734687.0,0.0,0.0,734687.0,325.0,1832.2592,1175.4992,656.7600000000001,False,Office,V2B,0
B11000260,0,0.0,31206.0,0.0,0.0,31206.0,17.0,84.28320000000001,49.9296,34.35360000000001,False,Office,V2B,0
B11000261,0,0.0,1008553.0,0.0,0.0,1008553.0,306.0,2232.0496000000003,1613.6848,618.3648000000001,False,Office,V2B,0
B11000264,0,0.0,410381.0,0.0,0.0,410381.0,132.0,923.3552,656.6096,266.7456,False,Office,V2B,0
B11000265,0,0.0,37044.0,0.0,0.0,37044.0,19.0,97.66560000000001,59.2704,38.39520000000001,False,Office,V2B,0
B11000268,0,0.0,511403.0,0.0,0.0,511403.0,190.0,1202.1968000000002,818.2448,383.95200000000006,False,Office,V2B,0
B11000269,0,0.0,73524.0,0.0,0.0,73524.0,40.0,198.47040000000004,117.6384,80.83200000000002,False,Office,V2B,0
B11000271,0,0.0,431536.0,0.0,0.0,431536.0,188.0,1070.3680000000002,690.4576000000001,379.9104000000001,False,Office,V2B,0
B11000272,0,0.0,419078.0,0.0,0.0,419078.0,127.0,927.1664000000001,670.5248,256.64160000000004,False,Office,V2B,0
B11000273,0,0.0,546839.0,0.0,0.0,546839.0,207.0,1293.248,874.9424,418.3056000000001,False,Office,V2B,0
B11000274,0,0.0,44143.0,0.0,0.0,44143.0,22.0,115.0864,70.6288,44.457600000000006,False,Office,V2B,0
B11000275,0,0.0,528591.0,0.0,0.0,528591.0,191.0,1231.7184000000002,845.7456000000001,385.97280000000006,False,Office,V2B,0
B11000276,0,0.0,48332.0,0.0,0.0,48332.0,27.0,131.89280000000002,77.33120000000001,54.56160000000001,False,Office,V2B,0
B11000278,0,0.0,52671.0,0.0,0.0,52671.0,22.0,128.7312,84.2736,44.457600000000006,False,Office,V2B,0
B11000280,0,0.0,42595.0,0.0,0.0,42595.0,23.0,114.63040000000001,68.152,46.47840000000001,False,Office,V2B,0
B11000281,0,0.0,663487.0,0.0,0.0,663487.0,239.0,1544.5504,1061.5792000000001,482.97120000000007,False,Office,V2B,0
B11000283,0,0.0,1004543.0,0.0,0.0,1004543.0,364.0,2342.84,1607.2688,735.5712000000001,False,Office,V2B,0
B11000284,0,0.0,380877.0,0.0,0.0,380877.0,154.0,920.6064000000001,609.4032000000001,311.20320000000004,False,Office,V2B,0
