,0
B11005270,1
B11005273,1
B11005276,1
B11005278,1
B11005281,1
B11005286,1
B11005288,1
B11005290,1
B11005291,1
B11005293,1
B11005295,1
B11005297,2
B11005298,1
B11005300,1
B11005304,1
B11005307,1
B11005309,0
B11005310,1
B11005311,1
B11005313,1
B11005315,1
B11005316,0
B11005317,1
B11005318,1
B11005319,1
B11005320,1
B11005321,2
B11005323,2
B11005324,2
B11005325,1
B11005327,1
B11005328,1
B11005329,1
B11005330,1
B11005331,1
B11005332,1
B11005334,1
B11005336,1
B11005340,1
B11005342,1
B11005344,1
B11005361,1
B11005386,1
B11005388,0
B11005390,1
B11005391,1
B11005395,2
B11005397,1
B11005418,1
B11005421,1
B11005422,1
B11005424,1
B11005426,1
B11005427,1
B11005428,1
B11005432,1
B11005435,1
B11005436,2
B11005438,1
B11005440,1
B11005441,0
B11005443,1
B11005446,1
B11005448,1
B11005450,1
B11005452,1
B11005455,1
B11005459,0
B11005462,1
B11005469,1
B11005477,0
B11005487,1
B11005497,1
B11005505,1
B11005510,1
B11005518,1
B11005519,1
B11005525,1
B11005526,1
B11005528,1
B11005529,1
B11005532,1
B11005534,1
B11005535,1
B11005538,1
B11005539,2
B11005541,0
B11005543,1
B11005546,0
B11005549,1
B11005552,1
B11005553,1
B11005554,1
B11005555,1
B11005556,1
B11005558,1
B11005559,1
B11005560,1
B11005561,1
B11005562,1
B11005563,1
B11005564,1
B11005565,1
B11005566,1
B11005568,1
B11005569,2
B11005570,1
B11005571,1
B11005572,1
B11005573,1
B11005575,1
B11005576,1
B11005577,1
B11005578,2
B11005579,1
B11005580,0
B11005582,1
B11005583,2
B11005584,1
B11005585,2
B11005586,1
B11005588,1
B11005589,1
B11005590,1
B11005591,2
B11005593,1
B11005594,1
B11005595,1
B11005596,1
B11005598,1
B11005599,1
B11005600,1
B11005601,1
B11005602,1
B11005603,1
B11005604,1
B11005605,1
B11005606,1
B11005607,1
B11005608,1
B11005609,1
B11005611,1
B11005612,1
B11005613,1
B11005614,0
B11005615,1
B11005616,1
B11005617,1
B11005618,0
B11005619,1
B11005620,1
B11005621,1
B11005622,1
B11005623,1
B11005624,1
B11005625,1
B11005626,1
B11005627,1
B11005628,1
B11005629,1
B11005630,1
B11005631,1
B11005632,1
B11005633,1
B11005634,2
B11005635,1
B11005636,1
B11005637,1
B11005639,1
B11005640,1
B11005641,1
B11005642,1
B11005643,1
B11005644,1
B11005645,0
B11005646,1
B11005648,2
B11005649,0
B11005650,1
B11005651,1
B11005652,1
B11005653,1
B11005654,1
B11005655,1
B11005656,1
B11005657,1
B11005658,1
B11005659,0
B11005660,1
B11005661,1
B11005662,1
B11005663,1
B11005664,1
B11005665,1
B11005666,2
B11005668,1
B11005669,1
B11005670,1
B11005671,1
B11005672,1
B11005674,1
B11005675,1
B11005676,2
B11005678,0
B11005679,2
B11005680,1
B11005682,1
B11005683,1
B11005684,1
B11005685,1
B11005686,1
B11005687,2
B11005688,1
B11005689,2
B11005690,2
B11005691,1
B11005692,1
B11005693,1
B11005694,1
B11005695,1
B11005696,1
B11005697,1
B11005698,1
B11005699,1
B11005700,1
B11005701,1
B11005702,1
B11005703,1
B11005704,1
B11005705,1
B11005706,1
B11005707,1
B11005708,1
B11005709,1
B11005710,1
B11005711,1
B11005712,1
B11005713,1
B11005714,2
B11005715,1
B11005716,2
B11005717,0
B11005718,1
B11005719,1
B11005720,1
B11005721,2
B11005722,1
B11005723,1
B11005724,2
B11005725,1
B11005726,1
B11005727,1
B11005728,1
B11005729,1
B11005730,1
B11005731,2
B11005732,0
B11005733,1
B11005734,1
B11005735,1
B11005737,2
B11005738,1
B11005739,1
B11005741,1
B11005742,1
B11005743,1
