,name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario,DemandClass,DemandClass_detail,cluster,SCR[-],Ech,SSR[-],PBP,Cini,Canu,Rdu,cal_pvcapacity,GHG_prod_ev,GHG_prod_ice,GHG_prod_pv,GHG_prod_charger,GHG_prod_vgi,GHG_prod_BESS,GHG_trvl,GHG_Comsumption,GHG_Total_Production,GHG_Annual_Production,GHG_Total,GHG_Reduction,CPBP,Cost_trvl,Prod_cost,OM_cost,Annual_Prod_cost,ElectricityCost,TotalCost,AnnualCost
0,B11000005,0,0.0,658.617,0.0,0.0,0,658617.0,145.0,1346.8031999999998,1053.7872,293.016,False,False,Office,V2B,0,1,300,650,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2363.480491962078,0.0,0.0,0.0,0.0,9364.950499322085,396481.5936087653,2363.480491962078,236.3480491962078,408.21002460004945,0.0,0.0,31.54335227272727,0.0,0.0,0.0,1346.8032,1378.3465522727274,1378.3465522727274
1,B11000005,0,0.0,658.617,144850.4343289944,104.34782576018038,0,520105.6557560685,145.0000000043366,1125.185049218473,832.1690492097098,293.0160000087634,True,False,Office,V2B,0,2,300,650,D,0.9562370185839373,0.0,0.2103063654040934,18.178149493074105,2660.8695568845997,52.17391288009019,221.618150781527,2.5121575694690043e-08,0.0,2363.480491962078,11315.57096169932,0.0,0.0,0.0,9364.950499322085,313098.99264534307,13679.0514536614,802.1265972811739,336.14299459832654,72067.03000172286,0.18981011779359275,31.54335227272727,2660.8695568845997,52.17391288009019,185.21739072432018,1125.185049218473,3817.5979583758,1341.9457922155207
2,B11000005,5,6527.142857142857,658.617,144850.4343289944,104.34782576018038,0,526700.2791778209,148.158730158731,1142.119608589277,842.7204466845135,299.3991619047637,False,False,Office,V2B,0,3,300,650,D,0.9569600984924802,104.73843880702388,0.20834612400616226,17.47303010916337,2735.8695568845997,52.67391288009019,236.22694368345037,73.85763675086542,6726.413642488102,0.0,11315.57096169932,177.53290005974029,0.03567231835827102,0.0,0.0,317068.8974663636,18219.55317656552,1256.1767695715862,335.28845064292915,72921.5739571203,0.24985134285882354,0.0,2735.8695568845997,52.67391288009019,193.21739072432018,1142.119608589277,3877.9891654738767,1335.3369993135973
3,B11000005,5,6527.142857142857,658.617,144850.4343289944,104.34782576018038,0,526700.2791778209,148.158730158731,1142.119608589277,842.7204466845135,299.3991619047637,False,False,Office,V2B,0,4,300,650,D,0.9569600984924802,104.73843880702388,0.20834612400616226,17.47303010916337,2735.8695568845997,52.67391288009019,236.22694368345037,73.85763675086542,6726.413642488102,0.0,11315.57096169932,177.53290005974029,0.03567231835827102,0.0,0.0,317068.8974663636,18219.55317656552,1256.1767695715862,335.28845064292915,72921.5739571203,0.24985134285882354,0.0,2735.8695568845997,52.67391288009019,193.21739072432018,1142.119608589277,3877.9891654738767,1335.3369993135973
4,B11000005,5,6527.142857142857,658.617,144850.4343289944,104.34782576018038,0,521575.96117975,126.78260871192616,1090.7238335726606,834.5215378876001,256.20229568506045,False,False,Office,V2B,1,5,300,650,D,0.9947036824492328,5571.912968075575,0.216451985883036,14.862844173251943,2825.8695568845997,55.17391288009019,287.6227187000668,-39.86791286726046,6726.413642488102,0.0,11315.57096169932,177.53290005974029,0.03567231835827102,0.0,0.0,313984.1034722316,18219.55317656552,1256.1767695715862,332.2036566487971,76006.36795125232,0.23971087775501745,0.0,2825.8695568845997,55.17391288009019,204.71739072432018,1090.7238335726606,3916.5933904572603,1295.4412242969809
5,B11000005,5,6527.142857142857,658.617,189493.5092493505,136.507948888341,0,483189.74606543774,125.17460255550311,1026.0564305488613,773.1035937047004,252.9528368441608,True,False,Office,V2B,1,6,300,650,D,0.971368017148069,16223.766667589158,0.27585734830518915,15.659006634795231,3645.952696652695,71.2539744441705,352.29012172386615,-53.76732274972065,6726.413642488102,0.0,14803.043295143558,177.53290005974029,0.03567231835827102,0.0,0.0,290875.94236929715,21707.025510009757,1430.5503862437981,312.58296787930686,95627.05672074255,0.22699669167273728,0.0,3645.952696652695,71.2539744441705,261.80160927680527,1026.0564305488613,4672.009127201556,1287.8580398256665
6,B11000008,0,0.0,786.786,0.0,0.0,0,786786.0,187.0,1636.7472,1258.8576,377.8896,False,False,Office,V2B,0,1,300,780,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2363.480491962078,0.0,0.0,0.0,0.0,9364.950499322085,473638.1950497269,2363.480491962078,236.3480491962078,485.36662604101105,0.0,0.0,31.54335227272727,0.0,0.0,0.0,1636.7472,1668.2905522727274,1668.2905522727274
7,B11000008,0,0.0,786.786,213301.09756345957,153.65853658715525,0,579584.1707387313,172.46341463412824,1275.8487414746166,927.3346731819702,348.5140682926464,True,False,Office,V2B,0,2,300,780,D,0.9714053590774888,0.0,0.2633522066613462,16.437783597263135,3918.292682972459,76.82926829357763,360.8984585253834,-76.79272088043611,0.0,2363.480491962078,16662.86826731694,0.0,0.0,0.0,9364.950499322085,348904.53122969327,19026.348759279015,1069.4914625620547,377.29583048829437,108070.7955527167,0.17605448967013482,31.54335227272727,3918.292682972459,76.82926829357763,272.7439024422006,1275.8487414746166,5225.684776719803,1580.1359961895446
8,B11000008,5,6527.142857142857,786.786,213301.09756345957,153.65853658715525,0,586136.7627468937,175.86643437878675,1293.209710987683,937.8188203950301,355.39089059265234,False,False,Office,V2B,0,3,300,780,D,0.9720934621097745,146.7731320232982,0.26131370725600994,16.08016918553795,3993.292682972459,77.32926829357763,375.0808412850449,-7.807950339814728,6726.413642488102,0.0,16662.86826731694,177.53290005974029,0.03567231835827102,0.0,0.0,352849.1335124529,23566.850482183138,1523.5416348524673,376.41598399463606,108950.64204637503,0.2163075869911062,0.0,3993.292682972459,77.32926829357763,280.7439024422006,1293.2097109876825,5286.5023939601415,1573.953613429883
9,B11000008,5,6527.142857142857,786.786,213301.09756345957,153.65853658715525,0,586136.7627468937,175.86643437878675,1293.209710987683,937.8188203950301,355.39089059265234,False,False,Office,V2B,0,4,300,780,D,0.9720934621097745,146.7731320232982,0.26131370725600994,16.08016918553795,3993.292682972459,77.32926829357763,375.0808412850449,-7.807950339814728,6726.413642488102,0.0,16662.86826731694,177.53290005974029,0.03567231835827102,0.0,0.0,352849.1335124529,23566.850482183138,1523.5416348524673,376.41598399463606,108950.64204637503,0.2163075869911062,0.0,3993.292682972459,77.32926829357763,280.7439024422006,1293.2097109876825,5286.5023939601415,1573.953613429883
