name,Num_EV,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost
B11005553,0,38.888889,152379.9999225558,0.0,59.611111,433.29791
B11005554,0,42.105263,206938.94728914739,0.0,71.0,549.31596
B11005555,0,48.809524,187150.7619415338,0.0,65.0,517.43012
B11005556,0,34.482759,141828.99991604936,0.0,48.0,385.1317
B11005558,0,32.098765,108699.24681173096,0.0,47.0,325.8717
B11005559,0,30.379747,119990.37986982713,0.0,48.0,342.90706
B11005560,0,40.47619,185104.47611011832,0.0,61.0,491.2812
B11005561,0,36.144578,159429.98791632845,0.0,58.915663,438.30138
B11005562,0,39.473684,162131.28941343594,0.0,64.0,458.80705
B11005563,0,55.844156,218015.61026228502,0.0,82.0,613.65395
B11005564,0,31.481481,120123.07408023841,0.0,45.0,339.01255
B11005565,0,29.268293,128928.63411353507,0.0,48.0,355.23543
B11005566,0,71.25,306399.95000000065,0.0,98.0,814.74707
B11005568,0,26.136364,87586.51129769086,0.0,30.431818,248.02708
B11005569,0,43.421053,214239.71037300816,0.0,68.0,557.27031
B11005570,0,38.095238,188300.5238086925,0.0,65.0,500.25189
B11005571,0,41.25,174109.03749999948,0.0,59.9375,472.91491
B11005572,0,32.323232,161607.98991662305,0.0,68.0,453.36092
B11005573,0,36.904762,154073.98809529145,0.0,62.0,437.31393
B11005575,0,38.202247,140273.33720858506,0.0,51.853933,397.03276
B11005576,0,43.478261,188605.4347874476,0.0,73.0,526.46101
B11005577,0,57.575758,258878.9090368014,0.0,88.0,694.23362
B11005578,0,101.1236,412627.13462066057,0.0,124.0,1090.277
B11005579,0,64.130435,228030.77186123823,0.0,86.793478,654.07302
B11005580,0,39.534884,156705.8371267337,0.0,75.0,472.46376
B11005582,0,50.0,190455.50000000026,0.0,66.0,526.8516
B11005583,0,52.808989,204170.80888565836,0.0,66.0,553.78205
B11005584,0,19.565217,106696.73912202203,0.0,42.0,290.31664
B11005585,0,59.375,265273.28125,0.0,83.0,697.55427
B11005586,0,22.5,104721.52499999986,0.0,43.325,295.0431
B11005588,0,57.831325,251635.30112968717,0.0,87.0,681.07668
B11005589,0,30.30303,144239.90909595048,0.0,58.0,401.77813
B11005590,0,30.487805,140402.31716175788,0.0,49.0,377.77876
B11005591,0,47.142857,206731.58561016663,0.0,66.0,547.82191
B11005593,0,26.086957,120536.69554673311,0.0,47.0,334.14066
B11005594,0,48.051948,209672.0262235891,0.0,76.0,574.34825
B11005595,0,50.0,226999.0,0.0,77.0,607.55
B11005596,0,54.929577,227950.43656716964,0.0,74.0,611.7599
B11005598,0,25.0,94943.00000000106,0.0,44.0,285.199
B11005599,0,30.232558,144697.51157617674,0.0,58.0,402.38521
B11005600,0,23.076923,97325.23078658368,0.0,40.0,277.51391
B11005601,0,51.25,261212.97499999957,0.0,85.0,680.67751
B11005602,0,23.255814,120604.46514144998,0.0,49.0,333.26541
