,name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario,DemandClass,DemandClass_detail,cluster,SCR[-],Ech,SSR[-],PBP,Cini,Canu,Rdu,cal_pvcapacity,GHG_prod_ev,GHG_prod_ice,GHG_prod_pv,GHG_prod_charger,GHG_prod_vgi,GHG_prod_BESS,GHG_trvl,GHG_Comsumption,GHG_Total_Production,GHG_Annual_Production,GHG_Total,GHG_Reduction,CPBP,Cost_trvl,Prod_cost,OM_cost,Annual_Prod_cost,ElectricityCost,TotalCost,AnnualCost,GHG_Additional_Production
0,B11000005,0,0.0,658.617,0.0,0.0,0,658617.0,145.0,1346.8031999999998,1053.7872,293.016,False,False,Office,V2B,0,1,600,650,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118411.5,0.0,0.0,0.0,0,35424.543870136135,268715.736,118411.5,7894.1,304.1402798701361,0.0,0.0,94.63005681818181,0.0,0.0,0.0,1346.8032,1441.433256818182,1441.433256818182,
1,B11000005,0,0.0,658.617,144850.4343289944,104.34782576018038,0,520105.6557560685,145.0000000043366,1125.185049218473,832.1690492097098,293.0160000087634,True,False,Office,V2B,0,2,600,650,A,0.9562370185839373,0.0,0.2103063654040934,15.703511608535122,2660.8695568845997,52.17391288009019,221.618150781527,2.5121575694690043e-08,0.0,118411.5,169733.5644254898,0.0,0.0,0,35424.543870136135,212203.10754847593,288145.0644254898,16380.778221274491,247.6276514186121,56512.62845152404,3.0034625724599864,94.63005681818181,2660.8695568845997,52.17391288009019,185.21739072432018,1125.185049218473,3880.6846629212546,1405.0324967609752,169733.5644254898
2,B11000005,15,27829.91638049429,658.617,144850.4343289944,104.34782576018038,0,548135.769597726,165.0885577826976,1210.6281889236368,877.0172313563614,333.61095756727536,False,False,Office,V2B,0,3,600,650,A,0.958411279274396,314.94260535740284,0.20208727413127117,15.414134648888803,3110.8695568845997,53.67391288009019,255.49319289454502,280.19062133132906,229823.20004999998,0.0,169733.5644254898,5325.9870017922085,1.0701695507481306,0,0.0,223639.39399587217,404883.8216468328,24340.930608408784,223.63939399587218,80500.88587426394,3.5586232193056864,0.0,2885.8695568845997,53.67391288009019,209.21739072432018,1210.6281889236368,4096.497745808237,1419.845579647957,286472.3216468328
3,B11000005,15,27829.91638049429,658.617,144850.4343289944,104.34782576018038,0,548135.769597726,165.0885577826976,1210.6281889236368,877.0172313563614,333.61095756727536,False,False,Office,V2B,0,4,600,650,A,0.958411279274396,314.94260535740284,0.20208727413127117,15.414134648888803,3110.8695568845997,53.67391288009019,255.49319289454502,280.19062133132906,229823.20004999998,0.0,169733.5644254898,5325.9870017922085,1.0701695507481306,0,0.0,223639.39399587217,404883.8216468328,24340.930608408784,223.63939399587218,80500.88587426394,3.5586232193056864,0.0,2885.8695568845997,53.67391288009019,209.21739072432018,1210.6281889236368,4096.497745808237,1419.845579647957,286472.3216468328
4,B11000005,15,27829.91638049429,658.617,144850.4343289944,104.34782576018038,0,543163.8191469683,107.7391304543853,1086.7813454573711,869.0621106351493,217.71923482222184,False,False,Office,V2B,1,5,600,650,A,1.0000000000000007,6339.086865648568,0.2105340603011964,11.474727469236136,3650.8695568845997,61.17391288009019,379.3400363608107,-37.657531113304,229823.20004999998,0.0,169733.5644254898,5325.9870017922085,1.0701695507481306,0,0.0,221610.83821196307,404883.8216468328,24340.930608408784,221.61083821196306,82529.44165817305,3.4711530320702577,0.0,3155.8695568845997,61.17391288009019,243.71739072432018,1086.7813454573711,4242.650902341971,1330.4987361816914,286472.3216468328
5,B11000005,15,27829.91638049429,658.617,238527.1706038665,171.83097691450243,0,455459.4746408557,106.47774922774953,943.9053950648056,728.7351594253693,215.17023563943627,True,False,Office,V2B,1,6,600,650,A,0.9889426549340178,47591.62715820184,0.3412019631840161,12.57122313860996,5371.689911319812,94.91548845725121,522.2159867533762,-45.899472198328844,229823.20004999998,0.0,279502.5577000784,5325.9870017922085,1.0701695507481306,0,0.0,185827.46565346912,514652.8149214214,29829.380272138213,185.82746565346912,118312.814216667,3.349098891315206,0.0,4876.689911319812,94.91548845725121,363.49998402324184,943.9053950648056,5820.595306384618,1307.4053790880475,396241.3149214214
6,B11000008,0,0.0,786.786,0.0,0.0,0,786786.0,187.0,1636.7472,1258.8576,377.8896,False,False,Office,V2B,0,1,600,780,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118411.5,0.0,0.0,0.0,0,35424.543870136135,321008.68799999997,118411.5,7894.1,356.4332318701361,0.0,0.0,94.63005681818181,0.0,0.0,0.0,1636.7472,1731.3772568181819,1731.3772568181819,
7,B11000008,0,0.0,786.786,213301.09756345957,153.65853658715525,0,579584.1707387313,172.46341463412824,1275.8487414746166,927.3346731819702,348.5140682926464,True,False,Office,V2B,0,2,600,780,A,0.9714053590774888,0.0,0.2633522066613462,13.793444758212107,3918.292682972459,76.82926829357763,360.8984585253834,-76.79272088043611,0.0,118411.5,249943.02400975407,0.0,0.0,0,35424.543870136135,236470.34166140234,368354.52400975407,20391.251200487706,271.8948855315385,84538.34633859765,2.956563912531107,94.63005681818181,3918.292682972459,76.82926829357763,272.7439024422006,1275.8487414746166,5288.7714812652575,1643.222700734999,249943.02400975407
8,B11000008,15,27829.91638049429,786.786,213301.09756345957,153.65853658715525,0,607420.9751831269,175.18708101311043,1325.8916136042967,971.873560293003,354.0180533112936,False,False,Office,V2B,0,3,600,780,A,0.9737881654354,508.25521142364346,0.2548180222304329,12.415407044765155,4368.292682972458,78.32926829357763,430.17376821388507,89.28944623258889,229823.20004999998,0.0,249943.02400975407,5325.9870017922085,1.0701695507481306,0,0.0,247827.75787471575,485093.28123109706,28351.403587621997,247.82775787471576,108605.47399542035,3.3762734762941986,0.0,4143.292682972458,78.32926829357763,296.7439024422006,1325.8916136042967,5469.1842965767555,1622.6355160464973,366681.78123109706
9,B11000008,15,27829.91638049429,786.786,213301.09756345957,153.65853658715525,0,607420.9751831269,175.18708101311043,1325.8916136042967,971.873560293003,354.0180533112936,False,False,Office,V2B,0,4,600,780,A,0.9737881654354,508.25521142364346,0.2548180222304329,12.415407044765155,4368.292682972458,78.32926829357763,430.17376821388507,89.28944623258889,229823.20004999998,0.0,249943.02400975407,5325.9870017922085,1.0701695507481306,0,0.0,247827.75787471575,485093.28123109706,28351.403587621997,247.82775787471576,108605.47399542035,3.3762734762941986,0.0,4143.292682972458,78.32926829357763,296.7439024422006,1325.8916136042967,5469.1842965767555,1622.6355160464973,366681.78123109706
