,0
B11004489,0
B11004490,2
B11004491,3
B11004492,0
B11004493,3
B11004494,1
B11004495,2
B11004497,1
B11004498,1
B11004499,1
B11004500,1
B11004501,2
B11004509,4
B11004542,0
B11004545,2
B11004558,1
B11004559,4
B11004560,2
B11004561,0
B11004563,0
B11004564,0
B11004565,1
B11004566,2
B11004567,1
B11004575,4
B11004576,4
B11004577,0
B11004578,4
B11004579,1
B11004580,0
B11004581,4
B11004691,1
B11004694,4
B11004859,3
B11004863,3
B11004864,2
B11004874,4
B11004875,0
B11004876,0
B11004877,0
B11004878,0
B11004879,3
B11004880,4
B11004881,4
B11004882,4
B11004883,4
B11004884,4
B11004885,4
B11004886,4
B11004887,3
B11004888,4
B11004889,3
B11004890,4
B11004924,3
B11004927,4
B11004951,4
B11005038,2
B11005167,4
B11005172,4
B11005213,3
B11005215,4
B11005218,3
B11005221,3
B11005223,4
B11005225,3
B11005241,3
B11005250,3
B11005255,4
B11005257,3
B11005263,4
B11005267,4
B11005270,4
B11005273,3
B11005276,3
B11005278,4
B11005281,3
B11005286,4
B11005288,3
B11005290,3
B11005291,4
B11005293,3
B11005295,3
B11005297,3
B11005298,3
B11005300,3
B11005304,4
B11005307,3
B11005309,4
B11005310,4
B11005311,4
B11005313,3
B11005315,4
B11005316,4
B11005317,1
B11005318,3
B11005319,3
B11005320,4
B11005321,3
B11005323,3
B11005324,3
B11005325,4
B11005327,4
B11005328,4
B11005329,1
B11005330,4
B11005331,4
B11005332,4
B11005334,4
B11005336,3
B11005340,3
B11005342,4
B11005344,3
B11005361,4
B11005386,3
B11005388,4
B11005390,3
B11005391,3
B11005395,3
B11005397,4
B11005418,3
B11005421,3
B11005422,4
B11005424,3
B11005426,4
B11005427,4
B11005428,3
B11005432,4
B11005435,4
B11005436,3
B11005438,4
B11005440,4
B11005441,4
B11005443,3
B11005446,3
B11005448,3
B11005450,3
B11005452,4
B11005455,4
B11005459,0
B11005462,4
B11005469,3
B11005477,0
B11005487,4
B11005497,3
B11005505,3
B11005510,3
B11005518,4
B11005519,3
B11005525,3
B11005526,3
B11005528,3
B11005529,4
B11005532,3
B11005534,3
B11005535,3
B11005538,3
B11005539,2
B11005541,0
B11005543,4
B11005546,4
B11005549,3
B11005552,4
B11005553,3
B11005554,3
B11005555,3
B11005556,3
B11005558,4
B11005559,4
B11005560,3
B11005561,1
B11005562,4
B11005563,3
B11005564,3
B11005565,3
B11005566,3
B11005568,3
B11005569,3
B11005570,3
B11005571,3
B11005572,4
B11005573,4
B11005575,3
B11005576,4
B11005577,3
B11005578,2
B11005579,3
B11005580,4
B11005582,3
B11005583,3
B11005584,4
B11005585,3
B11005586,4
B11005588,3
B11005589,4
B11005590,3
B11005591,3
B11005593,4
B11005594,1
B11005595,3
B11005596,3
B11005598,4
B11005599,4
B11005600,4
B11005601,3
B11005602,4
B11005603,4
B11005604,4
B11005605,4
B11005606,4
B11005607,3
B11005608,4
B11005609,3
B11005611,3
B11005612,4
B11005613,1
B11005614,4
B11005615,3
B11005616,3
B11005617,4
B11005618,4
B11005619,3
B11005620,3
B11005621,3
B11005622,3
B11005623,3
B11005624,4
B11005625,3
B11005626,3
B11005627,3
B11005628,4
B11005629,3
B11005630,1
B11005631,3
B11005632,3
B11005633,3
B11005634,3
B11005635,4
B11005636,4
B11005637,3
B11005639,3
B11005640,3
B11005641,3
B11005642,3
B11005643,3
B11005644,4
B11005645,0
B11005646,3
B11005648,3
B11005649,4
B11005650,4
B11005651,3
B11005652,3
B11005653,3
B11005654,4
B11005655,4
B11005656,1
B11005657,3
B11005658,4
B11005659,4
B11005660,4
B11005661,4
B11005662,3
B11005663,3
B11005664,4
B11005665,4
B11005666,3
B11005668,4
B11005669,4
B11005670,4
B11005671,1
B11005672,4
B11005674,4
B11005675,4
B11005676,3
B11005678,4
B11005679,3
B11005680,4
B11005682,4
B11005683,3
B11005684,3
B11005685,4
B11005686,3
B11005687,3
B11005688,4
B11005689,3
B11005690,3
B11005691,1
B11005692,3
B11005693,4
B11005694,3
B11005695,4
B11005696,4
B11005697,3
B11005698,3
B11005699,4
B11005700,3
B11005701,4
B11005702,4
B11005703,4
B11005704,4
B11005705,4
B11005706,4
B11005707,3
B11005708,3
B11005709,3
B11005710,3
B11005711,1
B11005712,3
B11005713,3
B11005714,3
B11005715,4
B11005716,2
B11005717,0
B11005718,4
B11005719,3
B11005720,1
B11005721,2
B11005722,3
B11005723,3
B11005724,3
B11005725,4
B11005726,4
B11005727,4
B11005728,4
B11005729,3
B11005730,3
B11005731,3
B11005732,4
B11005733,3
B11005734,3
B11005735,3
B11005737,3
B11005738,4
B11005739,1
B11005741,4
B11005742,4
B11005743,3
B11005744,4
B11005745,4
B11005746,4
B11005747,4
B11005749,3
B11005750,4
B11005764,4
B11005766,3
B11005768,3
B11005769,3
B11005770,3
B11005774,2
B11005777,4
B11005786,4
B11005790,3
B11005791,3
B11005793,3
B11005795,4
B11005796,4
B11005798,4
B11005801,4
B11005803,3
B11005805,3
B11005806,3
B11005807,4
B11005809,3
B11005810,3
B11005812,4
B11005814,4
B11005815,3
B11005816,4
B11005818,3
B11005819,4
B11005820,3
B11005821,3
B11005822,3
B11005823,4
B11005825,3
B11005826,4
B11005827,3
B11005829,4
B11005830,3
B11005832,3
B11005833,3
B11005835,3
B11005836,3
B11005838,3
B11005839,0
B11005840,3
B11005841,3
B11005842,4
B11005847,4
B11005850,3
B11005851,1
B11005852,4
B11005853,3
B11005854,3
B11005855,3
B11005856,3
B11005857,3
B11005858,4
B11005859,3
B11005860,4
B11005861,4
B11005862,4
B11005863,4
B11005864,1
B11005865,2
B11005866,3
B11005867,3
B11005868,1
B11005869,3
B11005870,4
B11005871,1
B11005872,4
B11005873,1
B11005874,3
B11005875,3
B11005876,4
B11005877,3
B11005878,4
B11005879,0
B11005880,3
B11005881,4
B11005882,4
B11005883,3
B11005884,4
B11005885,4
B11005886,3
B11005887,3
B11005888,3
B11005890,4
B11005891,3
B11005892,3
B11005893,3
B11005894,3
B11005895,3
B11005896,3
B11005897,3
B11005898,3
B11005899,3
B11005900,4
B11005901,3
B11005902,3
B11005903,4
B11005904,4
B11005905,4
B11005906,4
B11005907,4
B11005908,3
B11005909,4
B11005910,0
B11005911,4
B11005912,4
B11005913,4
B11005914,4
B11005915,3
B11005916,2
B11005917,4
B11005918,3
B11005919,3
B11005920,4
B11005921,3
B11005922,3
B11005923,3
B11005924,2
B11005925,4
B11005926,3
B11006058,0
B11006059,0
B11006060,4
B11006061,0
B11006062,0
B11006063,1
B11006064,0
B11006065,0
B11006066,0
B11006354,1
B11006355,1
