DemandClass,Scinario,SSR[-],SCR[-],TotalCost,LCOE,PBP,GHG_Comsumption,GHG_Total_Production
0,1,0.0,,467.1488000000001,,,125664.4448938344,0.0
0,2,0.17663849328515946,0.9465354841571211,487.42733763636204,16.739786988640237,9.666832525890834,104983.01546262662,5123.794023081426
0,3,0.17058449392402958,0.948733308977519,489.1850338164238,18.4725151379446,19.79385271244341,107925.03799781657,9535.62907931888
0,4,0.1709334653468318,0.9450671816890551,488.3978521541953,18.546833514569702,19.963831430080468,107592.97637132752,9629.023146161264
0,5,0.17783737637803906,0.9819522968583413,462.19879380209335,18.47703758015186,15.509351907268345,105942.74872422848,9629.023146161264
0,6,0.2977672013033802,0.8478704334335204,455.2464911482839,20.76701457791713,15.797447436131355,87269.01080462616,12579.194099547052
500,1,0.0,,1559.6880000000003,,,427100.9695685711,0.0
500,2,0.215242169783639,0.9468488617387731,1542.8239496363728,16.73807933441743,13.13321073410496,343757.61812389863,14435.877084717638
500,3,0.21361847362556546,0.9475998744530477,1533.0626988252702,17.099415709925363,16.50034853806021,346799.07996517734,18847.712140955093
500,4,0.21411086115191713,0.9459805291731855,1533.0626039656731,17.141023836476464,16.500985169985476,344824.7859758044,18974.915529485937
500,5,0.22025430029497672,0.9719995625048011,1499.4999789143749,17.059228429910462,13.990472689326184,340671.2278075267,18974.915529485937
500,6,0.26091885538574067,0.9248387586774793,1491.890019733325,17.806708162142883,14.57617899239521,319052.5273746559,22043.844503936718
1000,1,0.0,,2609.9984000000004,,,726739.3467310064,0.0
1000,2,0.22459442301561333,0.9598924550083807,2557.8649854694254,16.503504605311647,13.77989768680361,573859.604322644,24550.302915057997
1000,3,0.2237578125018583,0.960664024763569,2544.5495109862027,16.69908930520136,15.619628858192236,576923.8552990293,28962.137971295455
1000,4,0.22387118849080606,0.9604320602849863,2544.5468057477274,16.70594021778897,15.598626588735232,576644.4404324321,29041.64193928967
1000,5,0.2271885605078034,0.9722626182992562,2506.4208811569097,16.657056448701667,14.116295093400094,572944.4731805264,29041.64193928967
1000,6,0.25053256811350466,0.9494643670473809,2503.3908750190103,17.048583788754172,14.462503900779911,550367.4896483808,31899.913745991187
1500,1,0.0,,3557.664,,,1021616.8770233262,0.0
1500,2,0.22281247865865,0.9650328498774363,3454.5321181666795,16.438880129367192,14.132368180863764,806701.6950369244,33032.28719939246
1500,3,0.22219637000584197,0.9652418478956313,3440.0140037448296,16.589347406215943,15.42493114793007,809751.5478630541,37444.12225562991
1500,4,0.22225571909944955,0.9650117058628518,3440.011938863896,16.593429474983807,15.429702356723773,809453.3017804553,37444.12225562991
1500,5,0.2241467183693547,0.9741928750596808,3414.286569796605,16.5515678801537,14.402101417292865,804417.6382339507,37444.12225562991
1500,6,0.23871688006331737,0.9569742125712981,3412.295971684513,16.826627398984584,14.663164930395956,781698.2060944679,40241.378706740754
2000,1,0.0,,4569.220800000001,,,1311166.1838032994,0.0
2000,2,0.22558994812823974,0.9632932071316677,4434.284923392489,16.481975555317792,14.29698398307303,1024864.2250214551,42811.93198547167
2000,3,0.2251382422327619,0.9635369133494559,4419.717412620995,16.592005021057236,15.29197265357721,1027891.475983937,47223.76704170912
2000,4,0.22523073354304785,0.9634397950740029,4419.7163098412775,16.58045587344718,15.297520670142701,1027709.6244960346,47259.914004616636
2000,5,0.22654834234953983,0.9707132177957363,4391.717214847695,16.547273047752864,14.409060619851893,1022779.7449019381,47259.914004616636
2000,6,0.23796369985282048,0.9580422501578658,4390.195607457982,16.761983136081753,14.605029015704174,1004719.6426673322,50268.274143371134
2500,1,0.0,,5607.144,,,1617853.576129877,0.0
2500,2,0.22816019757457212,0.9615193654538501,5456.270290184817,16.509297836936312,14.523135653316658,1273437.659785148,53635.39130192422
2500,3,0.22777781068281358,0.9616109597050484,5447.02453718339,16.582384154266272,15.308797606774638,1276504.8055599597,58047.22635816167
2500,4,0.22777781068281358,0.9616109597050484,5447.024390105533,16.58491606251271,15.30940849269399,1276238.3931557757,58101.47511722734
2500,5,0.22927535190880644,0.9675053175143469,5404.667455701966,16.554871455151407,14.552418683433217,1271075.6225683792,58101.47511722734
2500,6,0.24259181755319115,0.9565416818292954,5403.212917858564,16.7426696398203,14.739959404656279,1250210.7478018175,61068.05383528748
3000,1,0.0,,6519.484800000001,,,1938570.371795652,0.0
3000,2,0.2304548118647134,0.9593505609645993,6375.539888348953,16.549333702837792,14.580244460869885,1500389.5470548046,63757.706722572635
3000,3,0.23010768876818968,0.9594452708561693,6361.227806458643,16.617047245800364,15.24868480321364,1503460.4515622798,68169.54177881009
3000,4,0.23010768876818968,0.9594452708561693,6361.227558182991,16.62540641354179,15.256862170926379,1503460.451562287,68225.1524909755
3000,5,0.23137847495274874,0.9646015688013584,6296.469489526342,16.59939834225912,14.755459171187962,1499203.7991309054,68225.1524909755
3000,6,0.24150050891147726,0.9541087944748484,6295.208912046539,16.76610151801006,14.958435178224725,1481066.6561357104,71447.89376224796
