name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario
B11000005,0,0.0,658617.0,0.0,0.0,0,658617.0,145.0,1346.8031999999998,1053.7872,293.01599999999996,False,False,Office,V2B,0,1
B11000005,0,0.0,658617.0,144850.4343289944,104.34782576018038,0,520105.65575606853,145.0000000043366,1125.185049218473,832.1690492097097,293.0160000087634,True,False,Office,V2B,0,2
B11000005,15,27829.91638049429,658617.0,144850.4343289944,104.34782576018038,0,548135.769597726,165.0885577826976,1210.6281889236368,877.0172313563614,333.61095756727536,False,False,Office,V2B,0,3
B11000005,15,27829.91638049429,658617.0,144850.4343289944,104.34782576018038,0,548135.769597726,165.0885577826976,1210.6281889236368,877.0172313563614,333.61095756727536,False,False,Office,V2B,0,4
B11000005,15,27829.91638049429,658617.0,144850.4343289944,104.34782576018038,0,543163.8191469683,107.7391304543853,1086.7813454573711,869.0621106351493,217.71923482222186,False,False,Office,V2B,1,5
B11000005,15,27829.91638049429,658617.0,238527.1706038665,171.83097691450243,0,455459.47464085574,106.47774922774951,943.9053950648055,728.7351594253693,215.17023563943624,True,False,Office,V2B,1,6
B11000008,0,0.0,786786.0,0.0,0.0,0,786786.0,187.0,1636.7472,1258.8576,377.8896,False,False,Office,V2B,0,1
B11000008,0,0.0,786786.0,213301.09756345954,153.65853658715525,0,579584.1707387313,172.46341463412824,1275.8487414746166,927.3346731819702,348.5140682926464,True,False,Office,V2B,0,2
B11000008,15,27829.91638049429,786786.0,213301.09756345954,153.65853658715525,0,607420.9751831269,175.18708101311043,1325.8916136042967,971.873560293003,354.0180533112936,False,False,Office,V2B,0,3
B11000008,15,27829.91638049429,786786.0,213301.09756345954,153.65853658715525,0,607420.9751831269,175.18708101311043,1325.8916136042967,971.873560293003,354.0180533112936,False,False,Office,V2B,0,4
B11000008,15,27829.91638049429,786786.0,213301.09756345954,153.65853658715525,0,602450.6586924883,139.78048780473404,1246.3894636637879,963.9210539079812,282.4684097558066,False,False,Office,V2B,1,5
B11000008,15,27829.91638049429,786786.0,321300.4266062284,231.4594435804693,0,505996.8385661224,135.1124333851108,1082.630147090428,809.594941705796,273.0352053846319,True,False,Office,V2B,1,6
B11000010,0,0.0,919481.0,0.0,0.0,0,919481.0,218.0,1911.704,1471.1696,440.5344,False,False,Office,V2B,0,1
B11000010,0,0.0,919481.0,246396.64435220425,177.5000139410037,0,679868.5962722971,206.22499999468343,1504.529234024931,1087.7897540356744,416.73947998925655,True,False,Office,V2B,0,2
B11000010,15,27829.91638049429,919481.0,246396.64435220425,177.5000139410037,0,707842.291993412,209.82470783714157,1556.561436786755,1132.5476671894592,424.0137695972958,False,False,Office,V2B,0,3
B11000010,15,27829.91638049429,919481.0,246396.64435220425,177.5000139410037,0,707842.291993412,209.82470783714157,1556.561436786755,1132.5476671894592,424.0137695972958,False,False,Office,V2B,0,4
B11000010,15,27829.91638049429,919481.0,246396.64435220425,177.5000139410037,0,701844.1680877422,171.124999302926,1468.7600675317403,1122.9506689403875,345.80939859135293,False,False,Office,V2B,1,5
B11000010,15,27829.91638049429,919481.0,356952.8569115186,257.14285697620477,0,602639.1363405962,167.142857151115,1301.9849038759273,964.222618144954,337.76228573097325,True,False,Office,V2B,1,6
B11000012,0,0.0,406370.0,0.0,0.0,0,406370.0,135.0,923.0,650.192,272.808,False,False,Office,V2B,0,1
B11000012,0,0.0,406370.0,32282.5581396542,23.25581395357433,0,377577.7906977029,134.9999999999994,876.9324651163236,604.1244651163247,272.80799999999886,True,False,Office,V2B,0,2
B11000012,15,26933.98670425306,406370.0,32282.5581396542,23.25581395357433,0,404781.2087442604,149.86112749516698,950.4893004330502,647.6499339908166,302.8393664422335,False,False,Office,V2B,0,3
B11000012,15,26933.98670425306,406370.0,32282.5581396542,23.25581395357433,0,404781.2087442604,149.86112749516698,950.4893004330502,647.6499339908166,302.8393664422335,False,False,Office,V2B,0,4
B11000012,15,26933.98670425306,406370.0,32282.5581396542,23.25581395357433,0,402802.5090267235,111.13953488369062,869.0747865357196,644.4840144427576,224.59077209296203,False,False,Office,V2B,1,5
B11000012,15,26933.98670425306,406370.0,193466.2861511804,139.36987080011556,0,249845.97211219935,107.99999999999972,617.9999553795185,399.753555379519,218.2463999999995,True,False,Office,V2B,1,6
B11000021,0,0.0,669362.0,0.0,0.0,0,669362.0,203.0,1481.2015999999999,1070.9792,410.2224,False,False,Office,V2B,0,1
B11000021,0,0.0,669362.0,135578.2141127052,97.61904749447758,0,546681.0009523652,194.07142857559464,1266.869144389346,874.6896015237844,392.17954286556164,True,False,Office,V2B,0,2
B11000021,15,27894.973886490603,669362.0,135578.2141127052,97.61904749447758,0,574092.9555020712,200.3234621561613,1323.3623811284847,918.5487288033139,404.81365232517084,False,False,Office,V2B,0,3
B11000021,15,27894.973886490603,669362.0,135578.2141127052,97.61904749447758,0,574092.9555020712,200.3234621561613,1323.3623811284847,918.5487288033139,404.81365232517084,False,False,Office,V2B,0,4
B11000021,15,27894.973886490603,669362.0,135578.2141127052,97.61904749447758,0,563030.6218178126,168.14285715032184,1240.6320806378706,900.8489949085001,339.7830857293704,False,False,Office,V2B,1,5
B11000021,15,27894.973886490603,669362.0,288295.54425694083,207.57860406591124,0,432070.1440565736,161.54528375603155,1017.7629399047066,691.312230490518,326.45070941418857,True,False,Office,V2B,1,6
B11000022,0,0.0,470130.0,0.0,0.0,0,470130.0,110.0,974.496,752.208,222.288,False,False,Office,V2B,0,1
B11000022,0,0.0,470130.0,101219.26017302953,72.91665898716244,0,373360.61504352157,108.00000000562248,815.6233840809964,597.3769840696344,218.24640001136194,True,False,Office,V2B,0,2
B11000022,15,27970.784699263168,470130.0,101219.26017302953,72.91665898716244,0,401267.43093946134,133.87500138240745,912.5624922967073,642.0278895031382,270.5346027935691,False,False,Office,V2B,0,3
B11000022,15,27970.784699263168,470130.0,101219.26017302953,72.91665898716244,0,401267.43093946134,133.87500138240745,912.5624922967073,642.0278895031382,270.5346027935691,False,False,Office,V2B,0,4
B11000022,15,27970.784699263168,470130.0,101219.26017302953,72.91665898716244,0,398670.3995052349,81.16666728101164,801.8942404498442,637.8726392083759,164.02160124146835,False,False,Office,V2B,1,5
B11000022,15,27970.784699263168,470130.0,213984.97320743106,154.1511891419739,0,299018.9228452058,74.6679048686329,629.3191787108627,478.43027655232936,150.8889021585334,True,False,Office,V2B,1,6
B11000031,0,0.0,563634.0,0.0,0.0,0,563634.0,183.0,1271.6208,901.8144,369.8064,False,False,Office,V2B,0,1
B11000031,0,0.0,563634.0,104882.44449065432,75.55555558884438,0,468908.2667445587,177.22222222048958,1108.3838934544594,750.253226791294,358.13066666316547,True,False,Office,V2B,0,2
