,index,name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario,DemandClass,cluster,SCR[-],SSR[-],LCOE,Edu,Ebc,Ebcc,PBP,Cini,Canu,Rdu,GHG_prod_ev,GHG_prod_ice,GHG_prod_pv,GHG_prod_charger,GHG_prod_vgi,GHG_prod_BESS,GHG_trvl,GHG_Comsumption,GHG_Total_Production,GHG_Annual_Production,GHG_Total,GHG_Reduction,CPBP,Cost_trvl,Prod_cost,OM_cost,Annual_Prod_cost,ElectricityCost,TotalCost,AnnualCost
0,0,B11000005,0,0.0,658.682,0.0,0.0,0,658682.0,145.0,1346.9072,1053.8912,293.016,False,False,Office,V2B,0,1,300,4,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.0882951772467,0.0,0.0,0.0,0.0,5618.970299593252,396520.7230323674,1418.0882951772467,141.80882951772466,403557.7816271379,0.0,0.0,18.926011363636363,0.0,0.0,0.0,1346.9072,1365.8332113636366,1365.8332113636366
0,1,B11000005,0,0.0,658.682,129954.4680224415,93.61702123145302,0,534067.2768289037,145.00000000071705,1147.5236429276952,854.507642926246,293.0160000014491,True,False,Office,V2B,0,2,300,4,0.9589106496333264,0.18918798958245747,19.33596247819056,124614.72335415226,0.0,0.0,18.127464850064197,2387.2340414020523,46.80851061572651,199.38355707230494,0.0,1418.0882951772467,10151.912981896206,0.0,0.0,0.0,5618.970299593252,321503.7647242895,11570.001277073454,649.404478612535,338692.73630095617,64865.045326181746,0.17837035677524465,18.926011363636363,2387.2340414020523,46.80851061572651,166.1702126858291,1147.5236429276952,3553.683695693384,1332.6198669771607
0,2,B11000005,3,2634.761904761904,658.682,129954.4680224415,93.61702123145302,0,536736.3276853337,145.00000000104689,1151.7941242986494,858.7781242965339,293.0160000021157,False,False,Office,V2B,0,3,300,4,0.9594419452688597,0.18850919180335374,19.64283492508464,124614.72335415226,69.04424167838242,0.0,0.0,2432.2340414020523,47.10851061572651,214.03908706498714,4035.8481854928614,0.0,10151.912981896206,106.51974003584417,0.021403391014962612,0.0,0.0,323110.5096716264,14294.302310815927,921.8345819867824,337404.81198244233,66152.96964469558,0.21607952579589304,0.0,2432.2340414020523,47.10851061572651,170.97021268582913,1151.7941242986494,3584.0281657007017,1322.7643369844786
0,3,B11000005,3,2634.761904761904,658.682,130509.82906084972,94.0170940178293,0,536291.8400506426,144.99999999999477,1151.0829440810178,858.0669440810283,293.0159999999895,True,False,Office,V2B,0,4,300,4,0.9587649918055592,0.18918121189684448,19.65535174813523,125058.04273585526,70.21245421393205,0.0,0.0,2442.435897454647,47.308547008914644,214.75026728261878,4035.8481854928614,0.0,10195.297230404556,106.51974003584417,0.021403391014962612,0.0,0.0,322842.9320571073,14337.686559324276,924.0037944121998,337180.61861643154,66377.16301070637,0.21600330458551936,0.0,2442.435897454647,47.308547008914644,171.680341881647,1151.0829440810178,3593.518841535665,1322.7632859626647
0,4,B11000005,3,2634.761904761904,658.682,130509.82906084972,94.0170940178293,0,532799.0238472534,133.999999999981,1123.265638155567,852.4784381556053,270.7871999999617,False,False,Office,V2B,1,5,300,4,0.975142641470456,0.1922920557063095,19.252435573377614,126828.77063838184,3978.384614924217,0.0,15.573122341197376,2496.435897454647,48.808547008914644,242.56757320806946,4035.8481854928614,0.0,10195.297230404556,106.51974003584417,0.021403391014962612,0.0,0.0,320740.28767577145,14337.686559324276,924.0037944121998,335077.9742350957,68479.80739204219,0.20937101176762965,0.0,2496.435897454647,48.808547008914644,178.580341881647,1123.265638155567,3619.7015356102143,1301.845980037214
0,5,B11000005,3,2634.761904761904,658.682,150713.42888234885,108.57142879541034,0,515589.5444735175,133.9999999999341,1095.730471157495,824.943271157628,270.78719999986686,True,False,Office,V2B,1,6,300,4,0.948537985711821,0.2158497486221053,19.226846056008597,143789.53106956254,6675.114325970398,0.0,16.06588980743365,2867.5714342829638,56.08571439770517,270.1027402061418,4035.8481854928614,0.0,11773.5822284509,106.51974003584417,0.021403391014962612,0.0,0.0,310380.3337005841,15915.97155737062,1002.9180443145171,326296.3052579547,77261.47636918322,0.20600139041245294,0.0,2867.5714342829638,56.08571439770517,204.41428611185336,1095.7304711574948,3963.3019054404585,1300.1447572693482
0,6,B11000008,0,0.0,786.858,0.0,0.0,0,786858.0,187.0,1636.8624,1258.9728,377.8896,False,False,Office,V2B,0,1,300,4,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.0882951772467,0.0,0.0,0.0,0.0,5618.970299593252,473681.53841125546,1418.0882951772467,141.80882951772466,480718.59700602596,0.0,0.0,18.926011363636363,0.0,0.0,0.0,1636.8624,1655.7884113636364,1655.7884113636364
0,7,B11000008,0,0.0,786.858,181230.6924630209,130.55555412817128,0,611745.7239377663,177.0833333774526,1336.643158389582,978.793158300426,357.85000008915625,True,False,Office,V2B,0,2,300,4,0.9662396245827195,0.22254622339524727,19.189298254306625,175112.27624833747,0.0,0.0,16.789138891772204,3329.1666302683675,65.27777706408564,300.21924161041784,0.0,1418.0882951772467,14157.560317323328,0.0,0.0,0.0,5618.970299593252,368265.5010578126,15575.648612500576,849.6868453838911,389460.1199699064,91258.47703611956,0.1706761839378037,18.926011363636363,3329.1666302683675,65.27777706408564,231.736108577504,1336.6431583895821,4684.735800021586,1587.3052783307226
0,8,B11000008,3,2634.761904761904,786.858,181230.6924630209,130.55555412817128,0,614412.8866245413,177.6388889336753,1342.033285356437,983.0606185992659,358.9726667571711,False,False,Office,V2B,0,3,300,4,0.966631018213153,0.2218643301853991,19.407560634250615,175112.27624833747,70.9325386690967,0.0,0.0,3374.1666302683675,65.57777706408564,313.75512600719935,4035.8481854928614,0.0,14157.560317323328,106.51974003584417,0.021403391014962612,0.0,0.0,369871.1093437608,18299.94964624305,1122.1169487581385,388171.0589900039,92547.53801602207,0.19773567226688318,0.0,3374.1666302683675,65.57777706408564,236.53610857750402,1342.033285356437,4716.199915624805,1578.5693939339412
0,9,B11000008,3,2634.761904761904,786.858,181384.93272539,130.6666662287145,0,614293.8310621659,177.63555556863585,1341.836060392565,982.8701296994656,358.9659306930994,True,False,Office,V2B,0,4,300,4,0.9664654150631361,0.22201511044678962,19.410693866816345,175231.252864379,71.01142826048238,0.0,0.0,3376.9999888322195,65.63333311435724,313.9523509710716,4035.8481854928614,0.0,14169.609412254063,106.51974003584417,0.021403391014962612,0.0,0.0,369799.43895095505,18311.998741173786,1122.7194035046753,388111.4376921288,92607.15931389714,0.1977384780706235,0.0,3376.9999888322195,65.63333311435724,236.73333255596822,1341.8360603925648,4718.836049224785,1578.569392948533
