DemandClass,Case,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,SSR[-],SCR[-],AnnualCost,LCOE,PBP,GHG_Comsumption,GHG_Total_Production,GHG_trvl,GHG_Total,CPBP
0,1,0.0,0.0,132227.94,0.0,,3205.96,,0.0,79600.05,1418.09,5618.97,86637.11,0.0
0,2,15.13,0.0,112681.64,0.15,0.93,3138.12,19.94,17.54,67833.35,3058.97,5618.97,76511.29,0.38
0,3,15.13,0.0,115482.4,0.15,0.93,3190.23,23.07,0.0,69519.38,5783.27,0.0,75302.65,0.65
0,4,14.92,0.0,115690.04,0.14,0.94,3189.2,23.11,0.0,69644.38,5760.13,0.0,75404.51,0.66
0,5,14.92,0.0,114528.51,0.15,0.98,2980.9,25.82,11.48,68945.15,5760.13,0.0,74705.28,0.63
0,6,29.52,0.0,96513.9,0.27,0.84,2939.6,19.35,14.03,58100.51,7343.41,0.0,65443.92,0.38
100,1,0.0,0.0,277984.12,0.0,,6417.98,,0.0,167343.98,1418.09,5618.97,174381.03,0.0
100,2,38.57,0.0,227993.7,0.18,0.93,6244.8,19.9,17.61,137250.19,5601.09,5618.97,148470.25,0.23
100,3,38.57,0.0,230736.43,0.18,0.94,6220.39,20.91,0.0,138901.29,8325.39,0.0,147226.68,0.36
100,4,38.54,0.0,230762.6,0.18,0.94,6219.8,20.92,0.0,138917.04,8321.28,0.0,147238.31,0.35
100,5,38.54,0.0,228053.68,0.18,0.97,6032.4,20.66,13.52,137286.29,8321.28,0.0,145607.57,0.33
100,6,57.19,0.0,205640.92,0.25,0.89,5989.92,19.16,15.05,123794.01,10343.64,0.0,134137.65,0.27
200,1,0.0,0.0,487711.01,0.0,,11066.16,,0.0,293597.7,1418.09,5618.97,300634.76,0.0
200,2,72.98,0.0,393287.22,0.19,0.93,10725.14,20.0,17.45,236755.42,9331.57,5618.97,251705.96,0.2
200,3,72.98,0.0,396038.91,0.19,0.93,10664.62,20.5,0.0,238411.91,12055.87,0.0,250467.78,0.26
200,4,72.58,0.0,396441.72,0.19,0.93,10663.69,20.48,0.0,238654.4,12013.21,0.0,250667.61,0.26
200,5,72.58,0.0,392298.64,0.2,0.96,10456.63,19.56,14.52,236160.3,12013.21,0.0,248173.51,0.24
200,6,93.04,0.0,368525.44,0.24,0.91,10425.62,19.38,15.55,221849.04,14231.36,0.0,236080.4,0.22
300,1,0.0,0.0,696104.21,0.0,,15505.63,,0.0,419048.56,1418.09,5618.97,426085.62,0.0
300,2,106.69,0.0,557888.85,0.2,0.93,15005.02,20.05,17.49,335844.14,12987.35,5618.97,354450.47,0.19
300,3,106.69,0.0,560622.86,0.2,0.93,14932.44,20.37,0.0,337489.99,15711.65,0.0,353201.64,0.22
300,4,106.7,0.0,560592.63,0.2,0.93,14931.69,20.36,0.0,337471.79,15712.51,0.0,353184.3,0.22
300,5,106.7,0.0,555720.06,0.2,0.95,14715.79,19.41,15.22,334538.55,15712.51,0.0,350251.06,0.21
300,6,127.11,0.0,532525.05,0.23,0.92,14692.08,19.6,15.94,320575.36,17926.16,0.0,338501.51,0.21
400,1,0.0,0.0,894059.3,0.0,,19732.11,,0.0,538215.77,1418.09,5618.97,545252.83,0.0
400,2,141.52,0.0,709173.61,0.21,0.94,19052.67,19.84,17.35,426916.22,16764.84,5618.97,449300.04,0.18
400,3,141.52,0.0,711901.62,0.21,0.94,18973.8,20.09,0.0,428558.46,19489.14,0.0,448047.6,0.21
400,4,141.59,0.0,711825.78,0.21,0.94,18973.49,20.09,0.0,428512.81,19496.84,0.0,448009.64,0.21
400,5,141.59,0.0,706764.24,0.21,0.95,18748.34,19.33,15.51,425465.81,19496.84,0.0,444962.64,0.2
400,6,162.58,0.0,683158.19,0.23,0.93,18727.88,19.5,16.1,411255.17,21772.75,0.0,433027.92,0.2
