,0
B11000525,2
B11000526,2
B11000527,2
B11000528,2
B11000530,2
B11000532,2
B11000533,2
B11000534,2
B11000535,2
B11000536,2
B11000537,2
B11000538,2
B11000539,2
B11000540,2
B11000541,2
B11000542,2
B11000543,2
B11000544,2
B11000545,2
B11000546,2
B11000547,2
B11000548,2
B11000549,2
B11000550,2
B11000551,2
B11000552,2
B11000553,2
B11000554,2
B11000555,2
B11000556,2
B11000557,2
B11000558,2
B11000559,2
B11000561,2
B11000562,2
B11000563,2
B11000564,2
B11000565,2
B11000566,2
B11000567,2
B11000568,2
B11000569,2
B11000570,2
B11000571,2
B11000572,2
B11000573,6
B11000574,2
B11000575,2
B11000576,8
B11000577,8
B11000578,2
B11000579,2
B11000580,2
B11000581,2
B11000582,2
B11000583,2
B11000584,2
B11000585,2
B11000586,2
B11000587,2
B11000588,2
B11000589,2
B11000590,2
B11000591,5
B11000592,2
B11000593,2
B11000594,2
B11000595,2
B11000596,2
B11000597,2
B11000598,2
B11000599,2
B11000600,2
B11000601,7
B11000602,8
B11000603,4
B11000604,4
B11000605,4
B11000606,7
B11000607,7
B11000609,9
B11000612,2
B11000613,7
B11000614,7
B11000615,5
B11000617,7
B11000618,1
B11000619,5
B11000621,9
B11000622,9
B11000623,2
B11000625,8
B11000627,8
B11000628,4
B11000629,2
B11000630,9
B11000631,4
B11000632,9
B11000633,9
B11000634,9
B11000635,8
B11000636,8
B11000637,2
B11000638,2
B11000639,8
B11000640,8
B11000641,8
B11000642,8
B11000643,8
B11000645,2
B11000648,9
B11000653,9
B11000654,6
B11000655,6
B11000656,2
B11000657,8
B11000658,8
B11000659,2
B11000660,2
B11000661,2
B11000662,6
B11000663,8
B11000664,2
B11000665,2
B11000666,6
B11000667,2
B11000670,3
B11000672,5
B11000674,9
B11000675,4
B11000676,2
B11000677,3
B11000678,5
B11000679,9
B11000680,4
B11000681,9
B11000684,4
B11000685,6
B11000686,6
B11000687,6
B11000688,3
B11000689,3
B11000691,3
B11000692,6
B11000693,6
B11000695,6
B11000696,6
B11000698,6
B11000699,2
B11000700,6
B11000701,6
B11000702,6
B11000703,6
B11000704,6
B11000705,6
B11000706,6
B11000708,2
B11000709,3
B11000710,6
B11000711,6
B11000712,3
B11000713,6
B11000714,6
B11000715,6
B11000716,6
B11000717,6
B11000719,6
B11000720,2
B11000721,4
B11000722,8
B11000723,6
B11000724,6
B11000725,6
B11000726,6
B11000729,8
B11000731,2
B11000732,9
B11000733,4
B11000735,4
B11000736,6
B11000737,9
B11000738,8
B11000739,3
B11000740,3
B11000741,3
B11000742,3
B11000743,4
B11000744,1
B11000746,6
B11000748,4
B11000749,1
B11000750,1
B11000751,1
B11000752,4
B11000756,2
B11000757,2
B11000758,2
B11000759,2
B11000760,2
B11000761,2
B11000762,2
B11000763,2
B11000764,2
B11000765,2
B11000766,2
B11000767,2
B11000768,2
B11000769,2
B11000770,2
B11000771,2
B11000772,2
B11000773,2
B11000774,2
B11000775,2
B11000776,2
B11000777,2
B11000778,2
B11000779,2
B11000780,2
B11000782,2
B11000783,2
B11000784,2
B11000785,2
B11000786,2
B11000787,2
B11000788,2
B11000789,2
B11000790,2
B11000791,2
B11000792,2
B11000793,2
B11000794,2
B11000795,2
B11000797,2
B11000798,2
B11000799,2
B11000800,2
B11000801,2
B11000802,2
B11000803,2
B11000804,8
B11000805,2
B11000806,2
B11000807,2
B11000808,2
B11000809,2
B11000810,4
B11000811,2
B11000812,2
B11000813,4
B11000814,4
B11000815,7
B11000816,8
B11000818,2
B11000819,2
B11000820,2
B11000821,2
B11000822,2
B11000823,2
B11000824,2
B11000825,2
B11000826,2
B11000827,2
B11000828,2
B11000829,2
B11000830,2
B11000831,2
B11000832,2
B11000833,2
B11000834,2
B11000835,2
B11000836,2
B11000837,2
B11000838,2
B11000839,2
B11000840,8
B11000841,2
B11000843,2
B11000844,2
B11000845,2
B11000846,2
B11000847,8
B11000848,2
B11000849,2
B11000850,2
B11000851,2
B11000853,2
B11000854,2
B11000855,2
B11000856,2
B11000857,2
B11000858,2
B11000859,2
B11000860,2
B11000861,2
B11000862,2
B11000863,2
B11000864,2
B11000865,2
B11000866,2
B11000867,2
B11000868,2
B11000869,2
B11000870,2
B11000871,8
B11000872,6
B11000873,4
B11000875,2
B11000876,2
B11000877,2
B11000879,4
B11000880,4
B11000881,8
B11000882,2
B11000883,2
B11000884,2
B11000885,2
B11000886,2
B11000888,2
B11000889,6
B11000890,8
B11000891,4
B11000892,4
B11000893,0
B11000894,4
B11000895,9
B11000897,1
B11000898,1
B11000899,6
B11000900,1
B11000901,7
B11000902,1
B11000903,1
B11000904,9
B11000905,1
B11000906,7
B11000907,7
B11000908,4
B11000909,8
B11000910,9
B11000912,6
B11000916,5
B11000917,8
B11000918,2
B11000919,7
B11000920,5
B11000921,8
B11000922,4
B11000923,3
B11000924,6
B11000926,6
B11000927,3
B11000928,2
B11000929,6
B11000930,6
B11000931,4
B11000932,4
B11000933,9
B11000934,4
B11000935,5
B11000936,5
B11000938,5
B11000939,5
B11000942,5
B11000943,5
B11000944,5
B11000945,5
B11000949,5
B11000950,5
B11000952,5
B11000953,5
B11000954,7
B11000955,7
B11000956,7
B11000957,7
B11000958,7
B11000959,7
B11000960,7
B11000961,7
B11000962,7
B11000963,7
B11000964,7
B11000965,7
B11000966,7
B11000967,7
B11000968,7
B11000969,7
B11000970,7
B11000971,7
B11000972,7
B11000973,7
B11000974,7
B11000975,1
B11000976,7
B11000977,7
B11000978,7
B11000979,7
B11000980,7
B11000981,7
B11000982,7
B11000983,7
B11000984,2
B11000985,7
B11000986,1
B11000987,7
B11000988,7
B11000989,7
B11000990,7
B11000991,7
B11000992,1
B11000993,7
B11000994,7
B11000995,7
B11000996,7
B11000997,7
B11000998,7
B11000999,7
B11001000,7
B11001001,7
B11001003,7
