name,Num_EV,Demand,RES,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost,EnergyCost,ContractCost
B11000096,0,111925.0,0.0,0,111925.0,0.0,44.0,267.9952,179.08,88.9152
B11000097,0,38947.0,0.0,0,38947.0,0.0,17.0,96.6688,62.3152,34.3536
B11000098,0,26083.0,0.0,0,26083.0,0.0,19.0,80.128,41.7328,38.3952
B11000099,0,30004.0,0.0,0,30004.0,0.0,21.0,90.4432,48.0064,42.4368
B11000100,0,67039.0,0.0,0,67039.0,0.0,36.0,180.0112,107.2624,72.7488
B11000101,0,25791.0,0.0,0,25791.0,0.0,17.0,75.6192,41.2656,34.3536
B11000102,0,85565.0,0.0,0,85565.0,0.0,39.0,215.7152,136.904,78.8112
B11000103,0,29845.0,0.0,0,29845.0,0.0,14.0,76.0432,47.752,28.2912
B11000104,0,32368.0,0.0,0,32368.0,0.0,22.0,96.2464,51.7888,44.4576
B11000105,0,27708.0,0.0,0,27708.0,0.0,15.0,74.6448,44.3328,30.312
B11000106,0,20538.0,0.0,0,20538.0,0.0,19.0,71.256,32.8608,38.3952
B11000107,0,29658.0,0.0,0,29658.0,0.0,24.0,95.952,47.4528,48.4992
B11000108,0,23410.0,0.0,0,23410.0,0.0,13.0,63.7264,37.456,26.2704
B11000110,0,31333.0,0.0,0,31333.0,0.0,18.0,86.5072,50.1328,36.3744
B11000111,0,28954.0,0.0,0,28954.0,0.0,19.0,84.7216,46.3264,38.3952
B11000112,0,27093.0,0.0,0,27093.0,0.0,11.0,65.5776,43.3488,22.2288
B11000113,0,30591.0,0.0,0,30591.0,0.0,19.0,87.3408,48.9456,38.3952
B11000114,0,24161.0,0.0,0,24161.0,0.0,14.0,66.9488,38.6576,28.2912
B11000115,0,35286.0,0.0,0,35286.0,0.0,21.0,98.8944,56.4576,42.4368
B11000116,0,34504.0,0.0,0,34504.0,0.0,19.0,93.6016,55.2064,38.3952
B11000117,0,57950.0,0.0,0,57950.0,0.0,31.0,155.3648,92.72,62.6448
B11000118,0,32177.0,0.0,0,32177.0,0.0,20.0,91.8992,51.4832,40.416
B11000120,0,44623.0,0.0,0,44623.0,0.0,30.0,132.0208,71.3968,60.624
B11000121,0,36047.0,0.0,0,36047.0,0.0,20.0,98.0912,57.6752,40.416
B11000122,0,31908.0,0.0,0,31908.0,0.0,20.0,91.4688,51.0528,40.416
B11000123,0,33664.0,0.0,0,33664.0,0.0,21.0,96.2992,53.8624,42.4368
B11000124,0,48633.0,0.0,0,48633.0,0.0,25.0,128.3328,77.8128,50.52
B11000125,0,35102.0,0.0,0,35102.0,0.0,18.0,92.5376,56.1632,36.3744
B11000127,0,30468.0,0.0,0,30468.0,0.0,16.0,81.0816,48.7488,32.3328
B11000129,0,25337.0,0.0,0,25337.0,0.0,17.0,74.8928,40.5392,34.3536
B11000131,0,28826.0,0.0,0,28826.0,0.0,22.0,90.5792,46.1216,44.4576
B11000132,0,47700.0,0.0,0,47700.0,0.0,32.0,140.9856,76.32,64.6656
B11000133,0,97163.0,0.0,0,97163.0,0.0,70.0,296.9168,155.4608,141.456
B11000134,0,54202.0,0.0,0,54202.0,0.0,32.0,151.3888,86.7232,64.6656
B11000135,0,25207.0,0.0,0,25207.0,0.0,16.0,72.664,40.3312,32.3328
B11000136,0,32677.0,0.0,0,32677.0,0.0,24.0,100.7824,52.2832,48.4992
B11000137,0,33802.0,0.0,0,33802.0,0.0,18.0,90.4576,54.0832,36.3744
B11000138,0,48031.0,0.0,0,48031.0,0.0,27.0,131.4112,76.8496,54.5616
B11000139,0,28230.0,0.0,0,28230.0,0.0,19.0,83.5632,45.168,38.3952
B11000140,0,35046.0,0.0,0,35046.0,0.0,20.0,96.4896,56.0736,40.416
B11000141,0,41822.0,0.0,0,41822.0,0.0,26.0,119.456,66.9152,52.5408
B11000142,0,28532.0,0.0,0,28532.0,0.0,18.0,82.0256,45.6512,36.3744
