name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario
B11000004,0,0.0,1063827.0,0.0,0.0,0.0,1063827.0,263.0,2233.5936,1702.1232,531.4704000000002,False,False,Office,V2B,0,1
B11000004,0,0.0,1063827.0,215086.978021978,154.94505494505495,0.0,854725.7692307686,254.0,2155.8719032967024,1367.5612307692297,513.2832000000001,True,False,Office,V2B,0,2
B11000004,5,5254.285714285714,1063827.0,215086.978021978,154.94505494505495,0.0,860036.3748473747,254.0,2172.368872283272,1376.0581997557997,513.2832000000001,False,False,Office,V2B,0,3
B11000004,5,5254.285714285714,1063827.0,216635.53030303027,156.06060606060606,0.0,858796.0627705988,254.0,2172.364476190534,1374.073700432958,513.2832000000001,True,False,Office,V2B,0,4
B11000004,5,5254.285714285714,1063827.0,216635.53030303027,156.06060606060606,0.0,854562.9951076925,237.3181818181818,2143.3809497480656,1367.300792172308,479.5725818181819,False,False,Office,V2B,1,5
B11000004,5,5254.285714285714,1063827.0,263017.8947368421,189.47368421052633,0.0,815522.7758460973,236.31578947368422,2138.199178195861,1304.8364413537556,477.5469473684212,True,False,Office,V2B,1,6
B11000004,0,0.0,1063827.0,215086.978021978,154.94505494505495,-0.0,854725.7692307669,254.0,2155.8719032967,1367.5612307692272,513.2832000000001,False,True,Office,V2B,0,7
B11000004,0,0.0,1063827.0,215086.978021978,154.94505494505495,-0.0,854725.7692307662,254.0,2155.8719032966987,1367.561230769226,513.2832000000001,True,True,Office,V2B,0,8
B11000005,0,0.0,658682.0,0.0,0.0,0.0,658682.0,145.0,1346.9072,1053.8912,293.0160000000001,False,False,Office,V2B,0,1
B11000005,0,0.0,658682.0,129954.46808510637,93.61702127659575,0.0,534067.2765957507,145.0,1313.6938553191587,854.5076425532012,293.0160000000001,True,False,Office,V2B,0,2
B11000005,5,5254.285714285714,658682.0,129954.46808510637,93.61702127659575,0.0,539413.3843296212,146.3015873015873,1332.877875312399,863.061414927394,295.64624761904764,False,False,Office,V2B,0,3
B11000005,5,5254.285714285714,658682.0,130552.20238095237,94.04761904761905,0.0,538934.5119047667,146.3015873015873,1332.8759904761982,862.2952190476267,295.64624761904764,True,False,Office,V2B,0,4
B11000005,5,5254.285714285714,658682.0,130552.20238095237,94.04761904761905,0.0,534269.3282407454,132.0,1308.0110489947165,854.8309251851927,266.7456,False,False,Office,V2B,1,5
B11000005,5,5254.285714285714,658682.0,166157.34848484845,119.69696969696969,0.0,503103.0849219777,132.0,1303.6726570872856,804.9649358751644,266.7456,True,False,Office,V2B,1,6
B11000005,0,0.0,658682.0,129954.46808510637,93.61702127659575,-0.0,534067.2765957448,145.0,1313.6938553191492,854.5076425531917,293.0160000000001,False,True,Office,V2B,0,7
B11000005,0,0.0,658682.0,129954.46808510637,93.61702127659575,-0.0,534067.2765957485,145.0,1313.6938553191553,854.5076425531977,293.0160000000001,True,True,Office,V2B,0,8
B11000007,0,0.0,1076601.0,0.0,0.0,0.0,1076601.0,265.0,2258.0736,1722.5616,535.5120000000001,False,False,Office,V2B,0,1
B11000007,0,0.0,1076601.0,241099.73684210522,173.68421052631578,0.0,841435.6315789318,253.0,2165.8488842105016,1346.297010526291,511.26240000000007,True,False,Office,V2B,0,2
B11000007,5,5254.285714285714,1076601.0,241099.73684210522,173.68421052631578,0.0,846770.4912280672,253.0,2182.384659649118,1354.8327859649075,511.26240000000007,False,False,Office,V2B,0,3
B11000007,5,5254.285714285714,1076601.0,241536.00151171582,173.9984882842026,0.0,846421.3529856416,253.0,2182.3838814814862,1354.2741647770265,511.26240000000007,True,False,Office,V2B,0,4
B11000007,5,5254.285714285714,1076601.0,241536.00151171582,173.9984882842026,0.0,842146.7366703065,237.52003023431595,2155.7625724744557,1347.4347786724904,479.98047709750574,False,False,Office,V2B,1,5
B11000007,5,5254.285714285714,1076601.0,286884.3333333333,206.66666666666666,0.0,803497.2953145263,236.86666666666667,2150.5891658365754,1285.5956725032422,478.6601600000001,True,False,Office,V2B,1,6
B11000007,0,0.0,1076601.0,241099.73684210522,173.68421052631578,-0.0,841435.6315789422,253.0,2165.848884210518,1346.2970105263075,511.26240000000007,False,True,Office,V2B,0,7
B11000007,0,0.0,1076601.0,241099.73684210522,173.68421052631578,-0.0,841435.6315789331,253.0,2165.8488842105035,1346.297010526293,511.26240000000007,True,True,Office,V2B,0,8
B11000008,0,0.0,786858.0,0.0,0.0,0.0,786858.0,187.0,1636.8624,1258.9728,377.8896000000001,False,False,Office,V2B,0,1
B11000008,0,0.0,786858.0,181230.69444444444,130.55555555555557,0.0,611745.7222222284,177.08333333333334,1568.3792666666768,978.7931555555655,357.8500000000001,True,False,Office,V2B,0,2
B11000008,5,5254.285714285714,786858.0,181230.69444444444,130.55555555555557,0.0,617046.8928571423,183.03571428571428,1596.8897111111103,987.2750285714277,369.8785714285715,False,False,Office,V2B,0,3
B11000008,5,5254.285714285714,786858.0,181659.1358024691,130.86419753086417,0.0,616715.8589065507,183.026455026455,1596.8891851852254,986.7453742504812,369.85986031746035,True,False,Office,V2B,0,4
B11000008,5,5254.285714285714,786858.0,181659.1358024691,130.86419753086417,0.0,612130.1972003449,171.07407407407408,1576.8987550267248,979.4083155205518,345.70648888888894,False,False,Office,V2B,1,5
B11000008,5,5254.285714285714,786858.0,215304.89795918367,155.10204081632654,0.0,583423.855542945,170.44897959183675,1572.7275892768753,933.478168868712,344.4432979591838,True,False,Office,V2B,1,6
B11000008,0,0.0,786858.0,181230.69444444444,130.55555555555557,-0.0,611745.7222222254,177.08333333333334,1568.3792666666718,978.7931555555607,357.8500000000001,False,True,Office,V2B,0,7
B11000008,0,0.0,786858.0,181230.69444444444,130.55555555555557,-0.0,611745.7222222217,177.08333333333334,1568.379266666666,978.7931555555547,357.8500000000001,True,True,Office,V2B,0,8
B11000010,0,0.0,919555.0,0.0,0.0,0.0,919555.0,218.0,1911.8224,1471.288,440.53440000000006,False,False,Office,V2B,0,1
B11000010,0,0.0,919555.0,209020.28735632182,150.57471264367817,0.0,717156.2068965638,208.0,1835.0464459770308,1147.449931034502,420.3264000000001,True,False,Office,V2B,0,2
B11000010,5,5254.285714285714,919555.0,209020.28735632182,150.57471264367817,0.0,722502.255610294,208.0,1851.6001239189993,1156.0036089764706,420.3264000000001,False,False,Office,V2B,0,3
B11000010,5,5254.285714285714,919555.0,209764.88888888888,151.11111111111111,0.0,721906.733333329,208.0,1851.5993955555487,1155.0507733333263,420.3264000000001,True,False,Office,V2B,0,4
B11000010,5,5254.285714285714,919555.0,209764.88888888888,151.11111111111111,0.0,716866.3945130294,192.0,1822.7020534430694,1146.986231220847,387.9936000000001,False,False,Office,V2B,1,5
B11000010,5,5254.285714285714,919555.0,248976.05486542438,179.35817805383022,0.0,683090.5566647119,192.0,1818.7992567090878,1092.9448906635391,387.9936000000001,True,False,Office,V2B,1,6
B11000010,0,0.0,919555.0,209020.28735632182,150.57471264367817,-0.0,717156.2068965591,208.0,1835.0464459770233,1147.4499310344945,420.3264000000001,False,True,Office,V2B,0,7
B11000010,0,0.0,919555.0,209020.28735632182,150.57471264367817,-0.0,717156.206896562,208.0,1835.046445977028,1147.4499310344993,420.3264000000001,True,True,Office,V2B,0,8
B11000012,0,0.0,406374.0,0.0,0.0,0.0,406374.0,135.0,923.0064,650.1984,272.80800000000005,False,False,Office,V2B,0,1
B11000012,0,0.0,406374.0,33857.31707317073,24.390243902439025,0.0,376213.6829268356,135.0,918.0425756097663,601.941892682937,272.80800000000005,True,False,Office,V2B,0,2
B11000012,5,5239.047619047618,406374.0,33857.31707317073,24.390243902439025,0.0,381581.17692606035,149.3015873015873,963.5312136275735,610.5298830816965,301.70864761904767,False,False,Office,V2B,0,3
B11000012,5,5239.047619047618,406374.0,34703.75,25.0,0.0,380903.96825397224,149.3015873015873,963.5299968254033,609.4463492063556,301.70864761904767,True,False,Office,V2B,0,4
B11000012,5,5239.047619047618,406374.0,34703.75,25.0,0.0,377217.0773853643,128.75,927.6003238165829,603.5473238165829,260.17800000000005,False,False,Office,V2B,1,5
B11000012,5,5239.047619047618,406374.0,121463.12499999999,87.5,0.0,299694.67085317435,128.125,913.238973365079,479.511473365079,258.915,True,False,Office,V2B,1,6
B11000012,0,0.0,406374.0,33857.31707317073,24.390243902439025,-0.0,376213.6829268362,135.0,918.0425756097673,601.9418926829379,272.80800000000005,False,True,Office,V2B,0,7
B11000012,0,0.0,406374.0,33857.31707317073,24.390243902439025,-0.0,376213.68292683404,135.0,918.0425756097638,601.9418926829345,272.80800000000005,True,True,Office,V2B,0,8
B11000014,0,0.0,2652543.0,0.0,0.0,0.0,2652543.0,703.0,5664.6912,4244.0688,1420.6224000000002,False,False,Office,V2B,0,1
B11000014,0,0.0,2652543.0,675968.6956521738,486.95652173913044,0.0,1997461.6956522195,691.1304347826087,5456.922921739204,3195.938713043551,1396.636382608696,True,False,Office,V2B,0,2
B11000014,5,5095.079365079365,2652543.0,675968.6956521738,486.95652173913044,0.0,2002656.616287113,691.1304347826087,5473.234794755033,3204.250586059381,1396.636382608696,False,False,Office,V2B,0,3
B11000014,5,5095.079365079365,2652543.0,675968.6956521738,486.95652173913044,0.0,2002656.6162871332,691.1304347826087,5473.234794755066,3204.2505860594133,1396.636382608696,True,False,Office,V2B,0,4
B11000014,5,5095.079365079365,2652543.0,675968.6956521738,486.95652173913044,0.0,1995207.452035142,661.1304347826087,5412.192131951881,3192.3319232562276,1336.012382608696,False,False,Office,V2B,1,5
B11000014,5,5095.079365079365,2652543.0,717566.7692307691,516.9230769230769,0.0,1961228.1443025377,660.8307692307692,5410.410310884061,3137.9650308840605,1335.4068184615387,True,False,Office,V2B,1,6
B11000014,0,0.0,2652543.0,675968.6956521738,486.95652173913044,-0.0,1997461.6956521976,691.1304347826087,5456.9229217391685,3195.938713043516,1396.636382608696,False,True,Office,V2B,0,7
B11000014,0,0.0,2652543.0,675968.6956521738,486.95652173913044,-0.0,1997461.695652202,691.1304347826087,5456.922921739176,3195.9387130435234,1396.636382608696,True,True,Office,V2B,0,8
B11000015,0,0.0,2058185.0,0.0,0.0,0.0,2058185.0,499.0,4301.4752,3293.096,1008.3792000000002,False,False,Office,V2B,0,1
B11000015,0,0.0,2058185.0,497420.4166666667,358.33333333333337,0.0,1576713.416666684,486.4166666666667,4141.733933333362,2522.7414666666946,982.9508000000002,True,False,Office,V2B,0,2
B11000015,5,5095.079365079365,2058185.0,497420.4166666667,358.33333333333337,0.0,1581911.9563492152,486.4166666666667,4158.051596825411,2531.0591301587447,982.9508000000002,False,False,Office,V2B,0,3
B11000015,5,5095.079365079365,2058185.0,499733.9999999999,359.99999999999994,0.0,1580083.939682519,486.4,4158.05142349203,2528.1343034920305,982.9171200000002,True,False,Office,V2B,0,4
B11000015,5,5095.079365079365,2058185.0,499733.9999999999,359.99999999999994,0.0,1572441.2837460297,456.4,4096.6991739936475,2515.9060539936477,922.2931200000002,False,False,Office,V2B,1,5
B11000015,5,5095.079365079365,2058185.0,544065.2419354838,391.93548387096774,0.0,1535923.0470481366,456.0806451612903,4094.310126889922,2457.4768752770187,921.6477677419356,True,False,Office,V2B,1,6
B11000015,0,0.0,2058185.0,497420.4166666667,358.33333333333337,-0.0,1576713.416666673,486.4166666666667,4141.733933333344,2522.741466666677,982.9508000000002,False,True,Office,V2B,0,7
B11000015,0,0.0,2058185.0,497420.4166666667,358.33333333333337,-0.0,1576713.4166666782,486.4166666666667,4141.733933333352,2522.741466666685,982.9508000000002,True,True,Office,V2B,0,8
B11000016,0,0.0,2059742.0,0.0,0.0,0.0,2059742.0,549.0,4405.0064,3295.5872,1109.4192000000003,False,False,Office,V2B,0,1
B11000016,0,0.0,2059742.0,498866.40624999994,359.375,0.0,1576806.46875,535.0,4241.908975,2522.89035,1081.1280000000002,True,False,Office,V2B,0,2
B11000016,5,5095.079365079365,2059742.0,498866.40624999994,359.375,0.0,1582011.4687500112,535.0,4258.236975000018,2531.218350000018,1081.1280000000002,False,False,Office,V2B,0,3
B11000016,5,5095.079365079365,2059742.0,498866.40624999994,359.375,0.0,1582011.4687500156,535.0,4258.236975000025,2531.218350000025,1081.1280000000002,True,False,Office,V2B,0,4
B11000016,5,5095.079365079365,2059742.0,498866.40624999994,359.375,0.0,1575132.4460664878,505.0,4198.106538706381,2520.2119137063805,1020.5040000000001,False,False,Office,V2B,1,5
B11000016,5,5095.079365079365,2059742.0,544217.8977272727,392.04545454545456,0.0,1537651.1029090628,505.0,4196.126446472683,2460.2417646545005,1020.5040000000001,True,False,Office,V2B,1,6
B11000016,0,0.0,2059742.0,498866.40624999994,359.375,-0.0,1576806.46875,535.0,4241.908975,2522.89035,1081.1280000000002,False,True,Office,V2B,0,7
B11000016,0,0.0,2059742.0,498866.40624999994,359.375,-0.0,1576806.46875,535.0,4241.908975,2522.89035,1081.1280000000002,True,True,Office,V2B,0,8
B11000017,0,0.0,1523197.0,0.0,0.0,0.0,1523197.0,335.0,3114.0832,2437.1152,676.9680000000001,False,False,Office,V2B,0,1
B11000017,0,0.0,1523197.0,398480.7058823529,287.05882352941177,0.0,1140950.1058823455,320.6470588235294,2983.013157647047,1825.520169411753,647.9635764705884,True,False,Office,V2B,0,2
B11000017,5,5095.079365079365,1523197.0,398480.7058823529,287.05882352941177,0.0,1146101.846685347,326.1232492997199,3010.322228646135,1833.7629546965552,659.029862184874,False,False,Office,V2B,0,3
B11000017,5,5095.079365079365,1523197.0,398533.3870967741,287.09677419354836,0.0,1146062.0865335413,326.12135176651304,3010.3221402969843,1833.6993384536663,659.0260276497697,True,False,Office,V2B,0,4
B11000017,5,5095.079365079365,1523197.0,398533.3870967741,287.09677419354836,0.0,1138393.1211458042,308.64516129032256,2974.235909962319,1821.4289938332868,623.710141935484,False,False,Office,V2B,1,5
B11000017,5,5095.079365079365,1523197.0,436275.7142857142,314.2857142857143,0.0,1108436.8340035288,307.2857142857143,2971.8190486913604,1773.4989344056462,620.9629714285716,True,False,Office,V2B,1,6
B11000017,0,0.0,1523197.0,398480.7058823529,287.05882352941177,-0.0,1140950.105882354,320.6470588235294,2983.013157647061,1825.5201694117666,647.9635764705884,False,True,Office,V2B,0,7
B11000017,0,0.0,1523197.0,398480.7058823529,287.05882352941177,-0.0,1140950.105882352,320.6470588235294,2983.0131576470576,1825.5201694117632,647.9635764705884,True,True,Office,V2B,0,8
B11000018,0,0.0,1777138.0,0.0,0.0,0.0,1777138.0,414.0,3680.0320000000006,2843.4208000000003,836.6112000000002,False,False,Office,V2B,0,1
B11000018,0,0.0,1777138.0,414665.3205128205,298.71794871794873,0.0,1375465.2820512834,402.0,3543.3304102564125,2200.7444512820534,812.3616000000002,True,False,Office,V2B,0,2
B11000018,5,5095.079365079365,1777138.0,414665.3205128205,298.71794871794873,0.0,1380648.247863257,410.3015873015873,3576.399003174618,2209.0371965812114,829.1374476190477,False,False,Office,V2B,0,3
B11000018,5,5095.079365079365,1777138.0,415537.7124183006,299.34640522875816,0.0,1379950.5210083993,410.3015873015873,3576.3981505135325,2207.920833613439,829.1374476190477,True,False,Office,V2B,0,4
B11000018,5,5095.079365079365,1777138.0,415537.7124183006,299.34640522875816,0.0,1373855.312992011,374.01960784313724,3504.827193597675,2198.1685007872175,755.8188235294118,False,False,Office,V2B,1,5
B11000018,5,5095.079365079365,1777138.0,466923.18181818177,336.3636363636364,0.0,1331703.6813740763,372.90909090909093,3500.8460356530677,2130.725890198522,753.5746909090911,True,False,Office,V2B,1,6
B11000018,0,0.0,1777138.0,414665.3205128205,298.71794871794873,-0.0,1375465.2820512832,402.0,3543.330410256412,2200.744451282053,812.3616000000002,False,True,Office,V2B,0,7
B11000018,0,0.0,1777138.0,414665.3205128205,298.71794871794873,-0.0,1375465.2820512909,402.0,3543.3304102564243,2200.7444512820653,812.3616000000002,True,True,Office,V2B,0,8
B11000019,0,0.0,1451013.0,0.0,0.0,0.0,1451013.0,301.0,2929.8816,2321.6208,608.2608000000001,False,False,Office,V2B,0,1
B11000019,0,0.0,1451013.0,392145.88235294115,282.35294117647055,0.0,1066022.9411764536,295.0,2802.9491764705613,1705.636705882326,596.1360000000001,True,False,Office,V2B,0,2
B11000019,5,5416.111111111111,1451013.0,392145.88235294115,282.35294117647055,0.0,1071437.5732959795,295.0,2819.6125878618027,1714.3001172735674,596.1360000000001,False,False,Office,V2B,0,3
B11000019,5,5416.111111111111,1451013.0,392709.31034482765,282.7586206896552,0.0,1070986.7307060992,295.0,2819.611320853897,1713.5787691297587,596.1360000000001,True,False,Office,V2B,0,4
B11000019,5,5416.111111111111,1451013.0,392709.31034482765,282.7586206896552,0.0,1066419.9749248968,287.0,2807.638111603973,1706.271959879835,579.9696000000001,False,False,Office,V2B,1,5
B11000019,5,5416.111111111111,1451013.0,424636.89655172423,305.7471264367816,0.0,1039289.8901082383,287.0,2805.034573598469,1662.8638241731815,579.9696000000001,True,False,Office,V2B,1,6
B11000019,0,0.0,1451013.0,392145.88235294115,282.35294117647055,-0.0,1066022.941176464,295.0,2802.949176470578,1705.6367058823425,596.1360000000001,False,True,Office,V2B,0,7
B11000019,0,0.0,1451013.0,392145.88235294115,282.35294117647055,-0.0,1066022.9411764557,295.0,2802.9491764705645,1705.6367058823291,596.1360000000001,True,True,Office,V2B,0,8
B11000020,0,0.0,1416556.0,0.0,0.0,0.0,1416556.0,316.0,2905.0624,2266.4896,638.5728000000001,False,False,Office,V2B,0,1
B11000020,0,0.0,1416556.0,380004.79166666674,273.61111111111114,0.0,1043397.1527777608,286.52777777777777,2734.110499999973,1669.4354444444173,579.0153333333334,True,False,Office,V2B,0,2
B11000020,5,5273.809523809523,1416556.0,380004.79166666674,273.61111111111114,0.0,1048722.7182539608,286.52777777777777,2750.631404761893,1677.9563492063373,579.0153333333334,False,False,Office,V2B,0,3
B11000020,5,5273.809523809523,1416556.0,380995.33783783787,274.3243243243243,0.0,1047948.3530673692,286.5135135135135,2750.6295486915747,1676.7173649077909,578.9865081081082,True,False,Office,V2B,0,4
B11000020,5,5273.809523809523,1416556.0,380995.33783783787,274.3243243243243,0.0,1043002.6663434918,257.5405405405405,2695.667866149587,1668.804266149587,520.4379243243244,False,False,Office,V2B,1,5
B11000020,5,5273.809523809523,1416556.0,418482.43421052635,301.3157894736842,0.0,1011474.2690706054,255.9736842105263,2689.96597788139,1618.3588305129688,517.2716210526316,True,False,Office,V2B,1,6
B11000020,0,0.0,1416556.0,380004.79166666674,273.61111111111114,-0.0,1043397.1527777687,286.52777777777777,2734.1104999999857,1669.43544444443,579.0153333333334,False,True,Office,V2B,0,7
B11000020,0,0.0,1416556.0,380004.79166666674,273.61111111111114,-0.0,1043397.1527777647,286.52777777777777,2734.1104999999793,1669.4354444444236,579.0153333333334,True,True,Office,V2B,0,8
B11000021,0,0.0,669384.0,0.0,0.0,0.0,669384.0,203.0,1481.2368000000001,1071.0144,410.22240000000005,False,False,Office,V2B,0,1
B11000021,0,0.0,669384.0,104163.74999999999,74.99999999999999,0.0,573807.25,196.25,1447.7986,918.0916000000001,396.58200000000005,True,False,Office,V2B,0,2
B11000021,5,5324.285714285715,669384.0,104163.74999999999,74.99999999999999,0.0,579279.3968254026,202.0,1476.1736349206444,926.8470349206442,408.2016000000001,False,False,Office,V2B,0,3
B11000021,5,5324.285714285715,669384.0,97806.33802816903,70.42253521126761,0.0,584328.0847306098,202.0,1476.1265355689757,934.9249355689757,408.2016000000001,True,False,Office,V2B,0,4
B11000021,5,5324.285714285715,669384.0,97806.33802816903,70.42253521126761,0.0,578137.7740658785,196.0,1465.5972385054056,925.0204385054057,396.07680000000005,False,False,Office,V2B,1,5
B11000021,5,5324.285714285715,669384.0,160930.2380952381,115.87301587301586,0.0,524153.60968253395,196.0,1459.8971786666575,838.6457754920543,396.07680000000005,True,False,Office,V2B,1,6
B11000021,0,0.0,669384.0,104163.74999999999,74.99999999999999,-0.0,573807.25,196.25,1447.7986,918.0916000000001,396.58200000000005,False,True,Office,V2B,0,7
B11000021,0,0.0,669384.0,104163.74999999999,74.99999999999999,-0.0,573807.25,196.25,1447.7986,918.0916000000001,396.58200000000005,True,True,Office,V2B,0,8
B11000022,0,0.0,470162.0,0.0,0.0,0.0,470162.0,110.0,974.5472000000001,752.2592000000001,222.28800000000004,False,False,Office,V2B,0,1
B11000022,0,0.0,470162.0,109680.98765432097,79.01234567901234,0.0,365494.91358024336,108.20987654320987,943.7092938271549,584.7918617283894,218.67051851851855,True,False,Office,V2B,0,2
B11000022,5,5416.111111111111,470162.0,109680.98765432097,79.01234567901234,0.0,370909.8430335089,116.38447971781302,976.8924190476178,593.4557488536143,235.1897566137566,False,False,Office,V2B,0,3
B11000022,5,5416.111111111111,470162.0,110421.02272727272,79.54545454545455,0.0,370323.2669552687,116.3791486291486,976.8893924963952,592.5172271284299,235.17898354978354,True,False,Office,V2B,0,4
B11000022,5,5416.111111111111,470162.0,110421.02272727272,79.54545454545455,0.0,366321.88606782525,101.20454545454545,951.3223449812477,586.1150177085204,204.51414545454548,False,False,Office,V2B,1,5
B11000022,5,5416.111111111111,470162.0,145933.71794871794,105.12820512820512,0.0,335720.7939904097,100.94871794871794,947.2530037179889,537.1532703846556,203.99716923076926,True,False,Office,V2B,1,6
B11000022,0,0.0,470162.0,109680.98765432097,79.01234567901234,-0.0,365494.91358024377,108.20987654320987,943.7092938271555,584.79186172839,218.67051851851855,False,True,Office,V2B,0,7
B11000022,0,0.0,470162.0,109680.98765432097,79.01234567901234,-0.0,365494.9135802438,108.20987654320987,943.7092938271555,584.7918617283901,218.67051851851855,True,True,Office,V2B,0,8
B11000024,0,0.0,1277461.0,0.0,0.0,0.0,1277461.0,349.0,2749.1968,2043.9376000000002,705.2592000000001,False,False,Office,V2B,0,1
B11000024,0,0.0,1277461.0,375030.0,270.0,0.0,915908.1000000099,312.7,2576.607120000016,1465.4529600000158,631.90416,True,False,Office,V2B,0,2
B11000024,5,5273.809523809523,1277461.0,375030.0,270.0,0.0,921197.0079365093,312.7,2593.069372698415,1473.915212698415,631.90416,False,False,Office,V2B,0,3
B11000024,5,5273.809523809523,1277461.0,375237.3134328358,270.14925373134326,0.0,921048.1762615602,312.6865671641791,2593.069022317004,1473.6770820184963,631.8770149253733,True,False,Office,V2B,0,4
