計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/09/01,01,63,,0,,,,
2013/09/01,02,63,,0,,,,
2013/09/01,03,58,,0,,,,
2013/09/01,04,60,,0,,,,
2013/09/01,05,60,,0,,,,
2013/09/01,06,60,,0,,,,
2013/09/01,07,71,,0,,,,
2013/09/01,08,104,,0,,,,
2013/09/01,09,111,,0,,,,
2013/09/01,10,117,,0,,,,
2013/09/01,11,133,,0,,,,
2013/09/01,12,133,,0,,,,
2013/09/01,13,133,,0,,,,
2013/09/01,14,134,,0,,,,
2013/09/01,15,122,,0,,,,
2013/09/01,16,127,,0,,,,
2013/09/01,17,128,,0,,,,
2013/09/01,18,124,,0,,,,
2013/09/01,19,131,,0,,,,
2013/09/01,20,128,,0,,,,
2013/09/01,21,123,,0,,,,
2013/09/01,22,76,,0,,,,
2013/09/01,23,57,,0,,,,
2013/09/01,24,57,,0,,,,
2013/09/02,01,56,,0,,,,
2013/09/02,02,57,,0,,,,
2013/09/02,03,53,,0,,,,
2013/09/02,04,55,,0,,,,
2013/09/02,05,54,,0,,,,
2013/09/02,06,53,,0,,,,
2013/09/02,07,57,,0,,,,
2013/09/02,08,90,,0,,,,
2013/09/02,09,105,,0,,,,
2013/09/02,10,110,,0,,,,
2013/09/02,11,125,,0,,,,
2013/09/02,12,125,,0,,,,
2013/09/02,13,125,,0,,,,
2013/09/02,14,117,,0,,,,
2013/09/02,15,113,,0,,,,
2013/09/02,16,119,,0,,,,
2013/09/02,17,122,,0,,,,
2013/09/02,18,118,,0,,,,
2013/09/02,19,130,,0,,,,
2013/09/02,20,125,,0,,,,
2013/09/02,21,121,,0,,,,
2013/09/02,22,62,,0,,,,
2013/09/02,23,55,,0,,,,
2013/09/02,24,56,,0,,,,
2013/09/03,01,55,,0,,,,
2013/09/03,02,55,,0,,,,
2013/09/03,03,51,,0,,,,
2013/09/03,04,53,,0,,,,
2013/09/03,05,54,,0,,,,
2013/09/03,06,53,,0,,,,
2013/09/03,07,56,,0,,,,
2013/09/03,08,70,,0,,,,
2013/09/03,09,78,,0,,,,
2013/09/03,10,95,,0,,,,
2013/09/03,11,136,,0,,,,
2013/09/03,12,134,,0,,,,
2013/09/03,13,138,,0,,,,
2013/09/03,14,2,,0,,,,
2013/09/03,15,0,,0,,,,
2013/09/03,16,0,,0,,,,
2013/09/03,17,0,,0,,,,
2013/09/03,18,0,,0,,,,
2013/09/03,19,0,,0,,,,
2013/09/03,20,0,,0,,,,
2013/09/03,21,0,,0,,,,
2013/09/03,22,0,,0,,,,
2013/09/03,23,0,,0,,,,
2013/09/03,24,0,,0,,,,
2013/09/04,01,0,,0,,,,
2013/09/04,02,0,,0,,,,
2013/09/04,03,0,,0,,,,
2013/09/04,04,0,,0,,,,
2013/09/04,05,0,,0,,,,
2013/09/04,06,0,,0,,,,
2013/09/04,07,0,,0,,,,
2013/09/04,08,0,,0,,,,
2013/09/04,09,0,,0,,,,
2013/09/04,10,0,,0,,,,
2013/09/04,11,108,,0,,,,
2013/09/04,12,144,,0,,,,
2013/09/04,13,149,,0,,,,
2013/09/04,14,149,,0,,,,
2013/09/04,15,141,,0,,,,
2013/09/04,16,141,,0,,,,
2013/09/04,17,146,,0,,,,
2013/09/04,18,138,,0,,,,
2013/09/04,19,145,,0,,,,
2013/09/04,20,137,,0,,,,
2013/09/04,21,130,,0,,,,
2013/09/04,22,66,,0,,,,
2013/09/04,23,61,,0,,,,
2013/09/04,24,61,,0,,,,
2013/09/05,01,60,,0,,,,
2013/09/05,02,60,,0,,,,
2013/09/05,03,54,,0,,,,
2013/09/05,04,56,,0,,,,
2013/09/05,05,56,,0,,,,
2013/09/05,06,54,,0,,,,
2013/09/05,07,58,,0,,,,
2013/09/05,08,76,,0,,,,
2013/09/05,09,102,,0,,,,
2013/09/05,10,106,,0,,,,
2013/09/05,11,124,,0,,,,
2013/09/05,12,124,,0,,,,
2013/09/05,13,123,,0,,,,
2013/09/05,14,123,,0,,,,
2013/09/05,15,117,,0,,,,
2013/09/05,16,122,,0,,,,
2013/09/05,17,127,,0,,,,
2013/09/05,18,126,,0,,,,
2013/09/05,19,133,,0,,,,
2013/09/05,20,129,,0,,,,
2013/09/05,21,125,,0,,,,
2013/09/05,22,71,,0,,,,
2013/09/05,23,56,,0,,,,
2013/09/05,24,57,,0,,,,
2013/09/06,01,57,,0,,,,
2013/09/06,02,56,,0,,,,
2013/09/06,03,51,,0,,,,
2013/09/06,04,54,,0,,,,
2013/09/06,05,54,,0,,,,
2013/09/06,06,52,,0,,,,
2013/09/06,07,55,,0,,,,
2013/09/06,08,72,,0,,,,
2013/09/06,09,80,,0,,,,
2013/09/06,10,92,,0,,,,
2013/09/06,11,128,,0,,,,
2013/09/06,12,127,,0,,,,
2013/09/06,13,131,,0,,,,
2013/09/06,14,128,,0,,,,
2013/09/06,15,124,,0,,,,
2013/09/06,16,129,,0,,,,
2013/09/06,17,131,,0,,,,
2013/09/06,18,135,,0,,,,
2013/09/06,19,132,,0,,,,
2013/09/06,20,130,,0,,,,
2013/09/06,21,124,,0,,,,
2013/09/06,22,67,,0,,,,
2013/09/06,23,57,,0,,,,
2013/09/06,24,59,,0,,,,
2013/09/07,01,57,,0,,,,
2013/09/07,02,58,,0,,,,
