計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/10/01,01,610,,,339,,,
2013/10/01,02,580,,,319,,,
2013/10/01,03,580,,,318,,,
2013/10/01,04,620,,,330,,,
2013/10/01,05,600,,,319,,,
2013/10/01,06,570,,,286,,,
2013/10/01,07,470,,,242,,,
2013/10/01,08,500,,,297,,,
2013/10/01,09,640,,,352,,,
2013/10/01,10,680,,,381,,,
2013/10/01,11,700,,,389,,,
2013/10/01,12,690,,,388,,,
2013/10/01,13,740,,,439,,,
2013/10/01,14,710,,,432,,,
2013/10/01,15,690,,,412,,,
2013/10/01,16,630,,,351,,,
2013/10/01,17,560,,,268,,,
2013/10/01,18,460,,,262,,,
2013/10/01,19,450,,,249,,,
2013/10/01,20,520,,,277,,,
2013/10/01,21,540,,,276,,,
2013/10/01,22,580,,,292,,,
2013/10/01,23,610,,,313,,,
2013/10/01,24,620,,,332,,,
2013/10/02,01,570,,,302,,,
2013/10/02,02,530,,,277,,,
2013/10/02,03,530,,,280,,,
2013/10/02,04,590,,,292,,,
2013/10/02,05,580,,,286,,,
2013/10/02,06,520,,,265,,,
2013/10/02,07,430,,,210,,,
2013/10/02,08,460,,,261,,,
2013/10/02,09,610,,,314,,,
2013/10/02,10,650,,,333,,,
2013/10/02,11,650,,,347,,,
2013/10/02,12,640,,,357,,,
2013/10/02,13,700,,,400,,,
2013/10/02,14,720,,,439,,,
2013/10/02,15,700,,,436,,,
2013/10/02,16,600,,,340,,,
2013/10/02,17,630,,,372,,,
2013/10/02,18,590,,,367,,,
2013/10/02,19,560,,,358,,,
2013/10/02,20,590,,,350,,,
2013/10/02,21,660,,,362,,,
2013/10/02,22,650,,,354,,,
2013/10/02,23,630,,,354,,,
2013/10/02,24,680,,,385,,,
2013/10/03,01,650,,,364,,,
2013/10/03,02,600,,,343,,,
2013/10/03,03,580,,,332,,,
2013/10/03,04,630,,,342,,,
2013/10/03,05,620,,,325,,,
2013/10/03,06,590,,,312,,,
2013/10/03,07,510,,,276,,,
2013/10/03,08,510,,,317,,,
2013/10/03,09,650,,,356,,,
2013/10/03,10,650,,,378,,,
2013/10/03,11,640,,,356,,,
2013/10/03,12,600,,,342,,,
2013/10/03,13,680,,,395,,,
2013/10/03,14,660,,,385,,,
2013/10/03,15,630,,,359,,,
2013/10/03,16,550,,,310,,,
2013/10/03,17,570,,,308,,,
2013/10/03,18,510,,,308,,,
2013/10/03,19,440,,,261,,,
2013/10/03,20,530,,,290,,,
2013/10/03,21,550,,,285,,,
2013/10/03,22,560,,,284,,,
2013/10/03,23,580,,,313,,,
2013/10/03,24,610,,,325,,,
2013/10/04,01,570,,,294,,,
2013/10/04,02,500,,,271,,,
2013/10/04,03,540,,,271,,,
2013/10/04,04,570,,,292,,,
2013/10/04,05,570,,,283,,,
2013/10/04,06,520,,,263,,,
2013/10/04,07,450,,,222,,,
2013/10/04,08,490,,,277,,,
2013/10/04,09,590,,,320,,,
2013/10/04,10,630,,,344,,,
2013/10/04,11,660,,,363,,,
2013/10/04,12,640,,,350,,,
2013/10/04,13,670,,,385,,,
2013/10/04,14,650,,,381,,,
2013/10/04,15,610,,,360,,,
