計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/09/01,01,94,,,55,3,,,
2013/09/01,02,92,,,54,3,,,
2013/09/01,03,90,,,52,3,,,
2013/09/01,04,86,,,49,3,,,
2013/09/01,05,86,,,50,3,,,
2013/09/01,06,90,,,51,3,,,
2013/09/01,07,87,,,49,3,,,
2013/09/01,08,117,,,61,3,,,
2013/09/01,09,165,,,81,5,,,
2013/09/01,10,241,,,101,16,,,
2013/09/01,11,252,,,107,17,,,
2013/09/01,12,244,,,111,16,,,
2013/09/01,13,244,,,113,16,,,
2013/09/01,14,243,,,116,15,,,
2013/09/01,15,240,,,110,15,,,
2013/09/01,16,234,,,102,15,,,
2013/09/01,17,239,,,103,16,,,
2013/09/01,18,242,,,106,17,,,
2013/09/01,19,233,,,93,26,,,
2013/09/01,20,171,,,81,15,,,
2013/09/01,21,97,,,58,4,,,
2013/09/01,22,91,,,54,3,,,
2013/09/01,23,85,,,50,3,,,
2013/09/01,24,81,,,47,3,,,
2013/09/02,01,82,,,49,3,,,
2013/09/02,02,80,,,47,3,,,
2013/09/02,03,79,,,46,3,,,
2013/09/02,04,75,,,43,3,,,
2013/09/02,05,79,,,45,3,,,
2013/09/02,06,81,,,47,3,,,
2013/09/02,07,80,,,44,3,,,
2013/09/02,08,105,,,54,4,,,
2013/09/02,09,141,,,66,5,,,
2013/09/02,10,197,,,79,13,,,
2013/09/02,11,222,,,90,16,,,
2013/09/02,12,224,,,99,15,,,
2013/09/02,13,230,,,107,15,,,
2013/09/02,14,230,,,112,12,,,
2013/09/02,15,231,,,110,13,,,
2013/09/02,16,232,,,101,15,,,
2013/09/02,17,228,,,100,16,,,
2013/09/02,18,236,,,104,16,,,
2013/09/02,19,230,,,91,25,,,
2013/09/02,20,161,,,75,15,,,
2013/09/02,21,97,,,59,4,,,
2013/09/02,22,90,,,55,3,,,
2013/09/02,23,83,,,50,2,,,
2013/09/02,24,82,,,49,2,,,
2013/09/03,01,82,,,49,3,,,
2013/09/03,02,81,,,49,3,,,
2013/09/03,03,82,,,50,3,,,
2013/09/03,04,78,,,47,3,,,
2013/09/03,05,80,,,47,3,,,
2013/09/03,06,84,,,50,3,,,
2013/09/03,07,87,,,49,3,,,
2013/09/03,08,108,,,56,3,,,
2013/09/03,09,157,,,81,5,,,
2013/09/03,10,226,,,103,15,,,
2013/09/03,11,252,,,111,17,,,
2013/09/03,12,255,,,110,17,,,
2013/09/03,13,259,,,115,17,,,
2013/09/03,14,246,,,115,16,,,
2013/09/03,15,229,,,106,15,,,
2013/09/03,16,220,,,94,15,,,
2013/09/03,17,221,,,96,15,,,
2013/09/03,18,220,,,93,16,,,
2013/09/03,19,225,,,90,25,,,
2013/09/03,20,157,,,77,14,,,
2013/09/03,21,91,,,57,3,,,
2013/09/03,22,87,,,54,3,,,
2013/09/03,23,84,,,53,2,,,
2013/09/03,24,81,,,50,3,,,
2013/09/04,01,82,,,45,3,,,
2013/09/04,02,78,,,43,3,,,
2013/09/04,03,80,,,44,3,,,
2013/09/04,04,76,,,41,3,,,
2013/09/04,05,78,,,42,3,,,
2013/09/04,06,81,,,42,3,,,
2013/09/04,07,81,,,40,3,,,
2013/09/04,08,108,,,47,3,,,
2013/09/04,09,152,,,62,6,,,
2013/09/04,10,222,,,71,15,,,
2013/09/04,11,247,,,71,19,,,
2013/09/04,12,245,,,71,22,,,
2013/09/04,13,241,,,72,21,,,
2013/09/04,14,238,,,69,19,,,
2013/09/04,15,232,,,64,18,,,
2013/09/04,16,221,,,59,17,,,
2013/09/04,17,225,,,65,18,,,
2013/09/04,18,219,,,59,30,,,
2013/09/04,19,213,,,53,31,,,
2013/09/04,20,156,,,49,18,,,
2013/09/04,21,90,,,47,4,,,
2013/09/04,22,85,,,42,4,,,
2013/09/04,23,82,,,39,3,,,
2013/09/04,24,77,,,35,3,,,
2013/09/05,01,81,,,41,3,,,
2013/09/05,02,79,,,37,3,,,
2013/09/05,03,77,,,38,3,,,
2013/09/05,04,75,,,33,3,,,
2013/09/05,05,76,,,36,3,,,
