計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/09/01,01,9,,,5,3,,
2013/09/01,02,10,,,5,4,,
2013/09/01,03,10,,,5,3,,
2013/09/01,04,9,,,5,3,,
2013/09/01,05,10,,,5,3,,
2013/09/01,06,10,,,5,4,,
2013/09/01,07,9,,,5,3,,
2013/09/01,08,10,,,5,3,,
2013/09/01,09,12,,,5,5,,
2013/09/01,10,26,,,5,20,,
2013/09/01,11,101,,,13,87,,
2013/09/01,12,118,,,30,87,,
2013/09/01,13,120,,,31,87,,
2013/09/01,14,121,,,33,87,,
2013/09/01,15,122,,,34,87,,
2013/09/01,16,122,,,34,86,,
2013/09/01,17,120,,,34,84,,
2013/09/01,18,112,,,34,77,,
2013/09/01,19,113,,,32,80,,
2013/09/01,20,112,,,31,80,,
2013/09/01,21,109,,,29,78,,
2013/09/01,22,35,,,14,20,,
2013/09/01,23,8,,,3,3,,
2013/09/01,24,8,,,3,3,,
2013/09/02,01,7,,,3,3,,
2013/09/02,02,8,,,3,3,,
2013/09/02,03,7,,,3,3,,
2013/09/02,04,8,,,3,3,,
2013/09/02,05,7,,,3,3,,
2013/09/02,06,8,,,3,3,,
2013/09/02,07,8,,,3,4,,
2013/09/02,08,7,,,3,3,,
2013/09/02,09,14,,,8,4,,
2013/09/02,10,32,,,18,13,,
2013/09/02,11,114,,,30,82,,
2013/09/02,12,116,,,34,81,,
2013/09/02,13,120,,,35,84,,
2013/09/02,14,120,,,36,83,,
2013/09/02,15,119,,,35,83,,
2013/09/02,16,118,,,34,83,,
2013/09/02,17,116,,,33,81,,
2013/09/02,18,108,,,33,74,,
2013/09/02,19,110,,,31,77,,
2013/09/02,20,108,,,30,77,,
2013/09/02,21,102,,,24,76,,
2013/09/02,22,28,,,10,15,,
2013/09/02,23,7,,,3,3,,
2013/09/02,24,7,,,3,3,,
2013/09/03,01,8,,,3,3,,
2013/09/03,02,7,,,3,3,,
2013/09/03,03,7,,,3,3,,
2013/09/03,04,8,,,3,3,,
2013/09/03,05,7,,,3,3,,
2013/09/03,06,8,,,3,3,,
2013/09/03,07,8,,,3,4,,
2013/09/03,08,8,,,3,3,,
2013/09/03,09,8,,,3,3,,
2013/09/03,10,19,,,3,14,,
2013/09/03,11,101,,,16,84,,
2013/09/03,12,107,,,22,83,,
2013/09/03,13,107,,,23,83,,
2013/09/03,14,107,,,22,83,,
2013/09/03,15,107,,,22,83,,
2013/09/03,16,106,,,22,83,,
2013/09/03,17,102,,,21,80,,
2013/09/03,18,95,,,19,74,,
2013/09/03,19,96,,,18,77,,
2013/09/03,20,97,,,18,78,,
2013/09/03,21,95,,,16,77,,
2013/09/03,22,34,,,9,24,,
