計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2014/01/01,01,8,,,4,3,,
2014/01/01,02,8,,,4,3,,
2014/01/01,03,8,,,4,3,,
2014/01/01,04,9,,,4,3,,
2014/01/01,05,8,,,4,3,,
2014/01/01,06,8,,,4,3,,
2014/01/01,07,8,,,4,3,,
2014/01/01,08,8,,,4,3,,
2014/01/01,09,7,,,3,3,,
2014/01/01,10,7,,,2,3,,
2014/01/01,11,7,,,2,3,,
2014/01/01,12,6,,,2,3,,
2014/01/01,13,7,,,2,3,,
2014/01/01,14,7,,,2,3,,
2014/01/01,15,6,,,2,3,,
2014/01/01,16,7,,,2,3,,
2014/01/01,17,12,,,2,9,,
2014/01/01,18,19,,,2,15,,
2014/01/01,19,19,,,2,15,,
2014/01/01,20,19,,,2,15,,
2014/01/01,21,19,,,2,15,,
2014/01/01,22,11,,,2,7,,
2014/01/01,23,6,,,2,3,,
2014/01/01,24,7,,,3,3,,
2014/01/02,01,7,,,3,3,,
2014/01/02,02,8,,,3,3,,
2014/01/02,03,7,,,3,3,,
2014/01/02,04,7,,,3,3,,
2014/01/02,05,8,,,3,3,,
2014/01/02,06,7,,,3,3,,
2014/01/02,07,8,,,3,3,,
2014/01/02,08,7,,,3,3,,
2014/01/02,09,12,,,4,6,,
2014/01/02,10,105,,,63,41,,
2014/01/02,11,140,,,34,106,,
2014/01/02,12,131,,,26,105,,
2014/01/02,13,117,,,12,105,,
2014/01/02,14,112,,,6,105,,
2014/01/02,15,109,,,3,105,,
2014/01/02,16,108,,,3,104,,
2014/01/02,17,111,,,2,109,,
2014/01/02,18,119,,,3,116,,
2014/01/02,19,118,,,2,115,,
2014/01/02,20,118,,,2,115,,
2014/01/02,21,118,,,2,115,,
2014/01/02,22,22,,,2,18,,
2014/01/02,23,6,,,2,3,,
2014/01/02,24,7,,,2,3,,
2014/01/03,01,6,,,3,3,,
2014/01/03,02,7,,,3,3,,
2014/01/03,03,8,,,3,3,,
2014/01/03,04,8,,,4,3,,
2014/01/03,05,9,,,4,3,,
2014/01/03,06,8,,,4,3,,
2014/01/03,07,8,,,4,3,,
2014/01/03,08,9,,,4,3,,
