計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/07/01,01,81,0,0,19,13,0,0
2013/07/01,02,60,0,0,18,12,0,0
2013/07/01,03,55,0,0,18,13,0,0
2013/07/01,04,57,0,0,19,13,0,0
2013/07/01,05,50,0,0,18,13,0,0
2013/07/01,06,57,0,0,19,13,0,0
2013/07/01,07,52,0,0,19,14,0,0
2013/07/01,08,95,0,0,40,20,0,0
2013/07/01,09,180,0,0,77,47,0,0
2013/07/01,10,195,0,0,86,50,0,0
2013/07/01,11,192,0,0,85,51,0,0
2013/07/01,12,182,0,0,83,50,0,0
2013/07/01,13,151,0,0,68,41,0,0
2013/07/01,14,182,0,0,77,51,0,0
2013/07/01,15,222,0,0,80,51,0,0
2013/07/01,16,194,0,0,81,51,0,0
2013/07/01,17,227,0,0,71,48,0,0
2013/07/01,18,216,0,0,64,45,0,0
2013/07/01,19,61,0,0,29,30,0,0
2013/07/01,20,45,0,0,21,22,0,0
2013/07/01,21,41,0,0,22,18,0,0
2013/07/01,22,35,0,0,16,17,0,0
2013/07/01,23,33,0,0,15,17,0,0
2013/07/01,24,116,0,0,15,15,0,0
2013/07/02,01,112,0,0,15,15,0,0
2013/07/02,02,108,0,0,14,14,0,0
2013/07/02,03,107,0,0,14,15,0,0
2013/07/02,04,107,0,0,14,13,0,0
2013/07/02,05,107,0,0,13,14,0,0
2013/07/02,06,108,0,0,14,15,0,0
2013/07/02,07,111,0,0,16,17,0,0
2013/07/02,08,81,0,0,30,22,0,0
2013/07/02,09,161,0,0,66,45,0,0
2013/07/02,10,160,0,0,70,49,0,0
2013/07/02,11,162,0,0,72,48,0,0
2013/07/02,12,163,0,0,72,49,0,0
2013/07/02,13,153,0,0,69,41,0,0
2013/07/02,14,189,0,0,71,49,0,0
2013/07/02,15,202,0,0,66,48,0,0
2013/07/02,16,203,0,0,65,48,0,0
2013/07/02,17,204,0,0,66,49,0,0
2013/07/02,18,192,0,0,62,42,0,0
2013/07/02,19,70,0,0,34,32,0,0
2013/07/02,20,52,0,0,30,21,0,0
2013/07/02,21,41,0,0,23,15,0,0
2013/07/02,22,36,0,0,22,13,0,0
2013/07/02,23,30,0,0,16,13,0,0
2013/07/02,24,113,0,0,14,14,0,0
2013/07/03,01,107,0,0,13,13,0,0
2013/07/03,02,106,0,0,13,12,0,0
2013/07/03,03,104,0,0,13,11,0,0
2013/07/03,04,104,0,0,13,12,0,0
2013/07/03,05,104,0,0,13,12,0,0
2013/07/03,06,103,0,0,14,12,0,0
2013/07/03,07,104,0,0,12,13,0,0
2013/07/03,08,71,0,0,31,17,0,0
2013/07/03,09,142,0,0,59,42,0,0
2013/07/03,10,171,0,0,77,51,0,0
2013/07/03,11,153,0,0,63,49,0,0
2013/07/03,12,150,0,0,62,47,0,0
2013/07/03,13,146,0,0,63,42,0,0
2013/07/03,14,191,0,0,80,52,0,0
2013/07/03,15,212,0,0,71,51,0,0
2013/07/03,16,191,0,0,71,52,0,0
2013/07/03,17,216,0,0,62,47,0,0
2013/07/03,18,186,0,0,52,41,0,0
2013/07/03,19,54,0,0,22,29,0,0
2013/07/03,20,41,0,0,19,20,0,0
2013/07/03,21,35,0,0,17,17,0,0
2013/07/03,22,32,0,0,15,16,0,0
2013/07/03,23,32,0,0,14,16,0,0
2013/07/03,24,114,0,0,14,15,0,0
2013/07/04,01,109,0,0,14,14,0,0
2013/07/04,02,109,0,0,14,14,0,0
2013/07/04,03,108,0,0,14,13,0,0
2013/07/04,04,107,0,0,13,14,0,0
2013/07/04,05,107,0,0,14,14,0,0
2013/07/04,06,108,0,0,14,14,0,0
2013/07/04,07,112,0,0,15,18,0,0
2013/07/04,08,79,0,0,33,21,0,0
2013/07/04,09,151,0,0,66,44,0,0
2013/07/04,10,169,0,0,78,49,0,0
2013/07/04,11,171,0,0,79,51,0,0
2013/07/04,12,174,0,0,80,51,0,0
2013/07/04,13,152,0,0,69,41,0,0
2013/07/04,14,199,0,0,89,53,0,0
2013/07/04,15,227,0,0,84,53,0,0
2013/07/04,16,193,0,0,83,54,0,0
2013/07/04,17,232,0,0,81,53,0,0
2013/07/04,18,227,0,0,77,47,0,0
2013/07/04,19,84,0,0,45,37,0,0
2013/07/04,20,63,0,0,35,26,0,0
2013/07/04,21,55,0,0,27,25,0,0
2013/07/04,22,51,0,0,29,21,0,0
2013/07/04,23,39,0,0,20,17,0,0
2013/07/04,24,114,0,0,14,15,0,0
2013/07/05,01,111,0,0,16,14,0,0
2013/07/05,02,108,0,0,13,14,0,0
2013/07/05,03,106,0,0,13,13,0,0
2013/07/05,04,107,0,0,13,13,0,0
2013/07/05,05,106,0,0,13,14,0,0
2013/07/05,06,106,0,0,14,14,0,0
2013/07/05,07,113,0,0,15,17,0,0
2013/07/05,08,79,0,0,34,21,0,0
2013/07/05,09,155,0,0,67,45,0,0
2013/07/05,10,158,0,0,70,48,0,0
