計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/07/01,01,49,41,,,3,,,
2013/07/01,02,49,41,,,3,,,
2013/07/01,03,49,41,,,3,,,
2013/07/01,04,49,41,,,3,,,
2013/07/01,05,49,40,,,3,,,
2013/07/01,06,49,40,,,3,,,
2013/07/01,07,12,0,,,5,,,
2013/07/01,08,7,0,,,3,,,
2013/07/01,09,16,6,,,7,,,
2013/07/01,10,26,8,,,10,,,
2013/07/01,11,30,8,,,11,,,
2013/07/01,12,31,8,,,11,,,
2013/07/01,13,31,8,,,9,,,
2013/07/01,14,31,8,,,9,,,
2013/07/01,15,30,8,,,9,,,
2013/07/01,16,23,8,,,7,,,
2013/07/01,17,20,9,,,5,,,
2013/07/01,18,19,5,,,5,,,
2013/07/01,19,11,0,,,3,,,
2013/07/01,20,7,0,,,3,,,
2013/07/01,21,6,0,,,3,,,
2013/07/01,22,6,0,,,3,,,
2013/07/01,23,86,71,,,3,,,
2013/07/01,24,97,81,,,3,,,
2013/07/02,01,96,62,,,3,,,
2013/07/02,02,95,40,,,3,,,
2013/07/02,03,93,33,,,3,,,
2013/07/02,04,73,0,,,3,,,
2013/07/02,05,50,0,,,3,,,
2013/07/02,06,14,0,,,3,,,
2013/07/02,07,8,0,,,5,,,
2013/07/02,08,7,0,,,3,,,
2013/07/02,09,32,7,,,10,,,
2013/07/02,10,46,15,,,21,,,
2013/07/02,11,56,15,,,27,,,
2013/07/02,12,61,15,,,25,,,
2013/07/02,13,58,15,,,21,,,
2013/07/02,14,58,15,,,23,,,
2013/07/02,15,58,14,,,23,,,
2013/07/02,16,75,14,,,19,,,
2013/07/02,17,63,11,,,15,,,
2013/07/02,18,27,9,,,6,,,
2013/07/02,19,16,2,,,4,,,
2013/07/02,20,7,0,,,3,,,
2013/07/02,21,7,0,,,3,,,
2013/07/02,22,6,0,,,3,,,
2013/07/02,23,85,73,,,3,,,
2013/07/02,24,97,83,,,3,,,
2013/07/03,01,58,52,,,3,,,
2013/07/03,02,47,41,,,3,,,
2013/07/03,03,22,16,,,3,,,
2013/07/03,04,6,0,,,3,,,
2013/07/03,05,6,0,,,3,,,
2013/07/03,06,6,0,,,3,,,
2013/07/03,07,8,0,,,5,,,
2013/07/03,08,7,0,,,3,,,
2013/07/03,09,17,0,,,13,,,
2013/07/03,10,38,6,,,25,,,
2013/07/03,11,51,11,,,27,,,
2013/07/03,12,60,15,,,28,,,
2013/07/03,13,57,15,,,25,,,
2013/07/03,14,58,15,,,26,,,
2013/07/03,15,56,15,,,25,,,
2013/07/03,16,38,13,,,17,,,
2013/07/03,17,26,9,,,12,,,
2013/07/03,18,19,9,,,6,,,
2013/07/03,19,9,1,,,4,,,
2013/07/03,20,7,0,,,3,,,
2013/07/03,21,7,0,,,3,,,
2013/07/03,22,7,0,,,3,,,
2013/07/03,23,82,74,,,3,,,
2013/07/03,24,92,85,,,3,,,
2013/07/04,01,81,74,,,3,,,
2013/07/04,02,27,21,,,3,,,
2013/07/04,03,7,0,,,3,,,
2013/07/04,04,6,0,,,3,,,
2013/07/04,05,7,0,,,3,,,
2013/07/04,06,6,0,,,3,,,
2013/07/04,07,9,0,,,6,,,
2013/07/04,08,7,0,,,4,,,
2013/07/04,09,23,6,,,12,,,
2013/07/04,10,42,7,,,23,,,
2013/07/04,11,54,10,,,28,,,
2013/07/04,12,59,15,,,27,,,
2013/07/04,13,56,15,,,24,,,
2013/07/04,14,59,14,,,27,,,
2013/07/04,15,59,14,,,27,,,
2013/07/04,16,51,15,,,25,,,
2013/07/04,17,38,15,,,19,,,
2013/07/04,18,19,8,,,6,,,
2013/07/04,19,7,0,,,3,,,
2013/07/04,20,8,0,,,3,,,
2013/07/04,21,6,0,,,3,,,
2013/07/04,22,6,0,,,3,,,
2013/07/04,23,80,73,,,3,,,
2013/07/04,24,91,84,,,3,,,
2013/07/05,01,90,83,,,3,,,
2013/07/05,02,50,44,,,3,,,
2013/07/05,03,49,42,,,3,,,
2013/07/05,04,37,30,,,3,,,
2013/07/05,05,6,0,,,3,,,
2013/07/05,06,7,0,,,3,,,
2013/07/05,07,9,0,,,6,,,
2013/07/05,08,7,0,,,4,,,
2013/07/05,09,28,9,,,12,,,
2013/07/05,10,51,15,,,23,,,
2013/07/05,11,55,15,,,24,,,
2013/07/05,12,60,15,,,27,,,
2013/07/05,13,57,14,,,24,,,
2013/07/05,14,57,14,,,24,,,
2013/07/05,15,53,14,,,22,,,
2013/07/05,16,49,19,,,21,,,
2013/07/05,17,37,18,,,14,,,
2013/07/05,18,22,11,,,6,,,
2013/07/05,19,18,8,,,5,,,
2013/07/05,20,15,6,,,5,,,
2013/07/05,21,6,0,,,3,,,
2013/07/05,22,7,0,,,3,,,
2013/07/05,23,45,38,,,3,,,
2013/07/05,24,51,44,,,3,,,
2013/07/06,01,51,44,,,3,,,
2013/07/06,02,50,44,,,3,,,
2013/07/06,03,50,44,,,3,,,
2013/07/06,04,50,43,,,3,,,
2013/07/06,05,19,13,,,3,,,
2013/07/06,06,7,0,,,3,,,
2013/07/06,07,9,0,,,5,,,
2013/07/06,08,7,0,,,3,,,
2013/07/06,09,21,6,,,9,,,
2013/07/06,10,39,7,,,19,,,
2013/07/06,11,45,7,,,22,,,
2013/07/06,12,48,7,,,23,,,
2013/07/06,13,45,7,,,19,,,
2013/07/06,14,48,7,,,22,,,
2013/07/06,15,46,7,,,22,,,
2013/07/06,16,37,6,,,19,,,
2013/07/06,17,30,9,,,16,,,
2013/07/06,18,8,0,,,4,,,
2013/07/06,19,7,0,,,3,,,
2013/07/06,20,8,0,,,3,,,
2013/07/06,21,6,0,,,3,,,
2013/07/06,22,7,0,,,3,,,
2013/07/06,23,44,38,,,3,,,
2013/07/06,24,51,44,,,3,,,
2013/07/07,01,49,43,,,3,,,
2013/07/07,02,49,43,,,3,,,
2013/07/07,03,49,43,,,3,,,
2013/07/07,04,9,3,,,3,,,
2013/07/07,05,6,0,,,3,,,
2013/07/07,06,6,0,,,3,,,
2013/07/07,07,8,0,,,5,,,
2013/07/07,08,7,0,,,3,,,
2013/07/07,09,20,6,,,6,,,
2013/07/07,10,37,7,,,18,,,
2013/07/07,11,49,7,,,26,,,
2013/07/07,12,53,7,,,27,,,
2013/07/07,13,53,7,,,28,,,
2013/07/07,14,60,6,,,34,,,
2013/07/07,15,59,7,,,34,,,
2013/07/07,16,50,10,,,29,,,
2013/07/07,17,26,8,,,12,,,
2013/07/07,18,8,0,,,3,,,
2013/07/07,19,7,0,,,3,,,
2013/07/07,20,7,0,,,3,,,
2013/07/07,21,6,0,,,3,,,
2013/07/07,22,6,0,,,3,,,
2013/07/07,23,46,39,,,3,,,
2013/07/07,24,50,44,,,3,,,
2013/07/08,01,49,43,,,3,,,
2013/07/08,02,49,43,,,3,,,
2013/07/08,03,49,43,,,3,,,
2013/07/08,04,49,43,,,3,,,
2013/07/08,05,49,42,,,3,,,
2013/07/08,06,49,42,,,3,,,
2013/07/08,07,12,4,,,5,,,
2013/07/08,08,7,0,,,3,,,
2013/07/08,09,16,7,,,5,,,
2013/07/08,10,26,8,,,15,,,
2013/07/08,11,30,8,,,18,,,
2013/07/08,12,31,8,,,19,,,
2013/07/08,13,31,9,,,17,,,
2013/07/08,14,31,8,,,19,,,
2013/07/08,15,30,8,,,17,,,
2013/07/08,16,23,8,,,11,,,
2013/07/08,17,20,9,,,7,,,
2013/07/08,18,19,9,,,5,,,
2013/07/08,19,11,3,,,4,,,
2013/07/08,20,7,0,,,3,,,
2013/07/08,21,6,0,,,3,,,
2013/07/08,22,6,0,,,3,,,
2013/07/08,23,86,79,,,3,,,
2013/07/08,24,97,90,,,3,,,
2013/07/09,01,96,90,,,3,,,
2013/07/09,02,95,88,,,3,,,
2013/07/09,03,93,86,,,3,,,
2013/07/09,04,73,67,,,3,,,
2013/07/09,05,50,43,,,3,,,
2013/07/09,06,14,7,,,3,,,
2013/07/09,07,8,0,,,5,,,
