計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2014/01/01,01,140,14,,,,,
2014/01/01,02,135,12,,,,,
2014/01/01,03,130,13,,,,,
2014/01/01,04,140,14,,,,,
2014/01/01,05,141,16,,,,,
2014/01/01,06,138,14,,,,,
2014/01/01,07,135,13,,,,,
2014/01/01,08,133,14,,,,,
2014/01/01,09,125,12,,,,,
2014/01/01,10,108,10,,,,,
2014/01/01,11,103,10,,,,,
2014/01/01,12,104,10,,,,,
2014/01/01,13,101,6,,,,,
2014/01/01,14,95,1,,,,,
2014/01/01,15,96,1,,,,,
2014/01/01,16,99,4,,,,,
2014/01/01,17,103,6,,,,,
2014/01/01,18,114,7,,,,,
2014/01/01,19,121,10,,,,,
2014/01/01,20,122,12,,,,,
2014/01/01,21,130,14,,,,,
2014/01/01,22,133,16,,,,,
2014/01/01,23,134,17,,,,,
2014/01/01,24,135,19,,,,,
2014/01/02,01,123,17,,,,,
2014/01/02,02,117,12,,,,,
2014/01/02,03,116,12,,,,,
2014/01/02,04,74,3,,,,,
2014/01/02,05,47,1,,,,,
2014/01/02,06,35,1,,,,,
2014/01/02,07,24,1,,,,,
2014/01/02,08,11,1,,,,,
2014/01/02,09,91,12,,,,,
2014/01/02,10,107,15,,,,,
2014/01/02,11,108,15,,,,,
2014/01/02,12,112,16,,,,,
2014/01/02,13,102,7,,,,,
2014/01/02,14,100,5,,,,,
2014/01/02,15,97,1,,,,,
2014/01/02,16,97,1,,,,,
2014/01/02,17,100,1,,,,,
2014/01/02,18,114,5,,,,,
2014/01/02,19,122,9,,,,,
2014/01/02,20,123,10,,,,,
2014/01/02,21,131,12,,,,,
2014/01/02,22,130,11,,,,,
2014/01/02,23,132,14,,,,,
2014/01/02,24,132,16,,,,,
2014/01/03,01,124,17,,,,,
2014/01/03,02,81,1,,,,,
2014/01/03,03,67,1,,,,,
2014/01/03,04,46,1,,,,,
2014/01/03,05,36,1,,,,,
2014/01/03,06,9,1,,,,,
2014/01/03,07,9,1,,,,,
2014/01/03,08,11,1,,,,,
2014/01/03,09,69,8,,,,,
2014/01/03,10,111,20,,,,,
2014/01/03,11,107,13,,,,,
2014/01/03,12,100,5,,,,,
2014/01/03,13,95,1,,,,,
2014/01/03,14,95,1,,,,,
2014/01/03,15,96,1,,,,,
2014/01/03,16,96,1,,,,,
2014/01/03,17,103,3,,,,,
2014/01/03,18,120,8,,,,,
2014/01/03,19,129,11,,,,,
2014/01/03,20,133,14,,,,,
2014/01/03,21,130,12,,,,,
2014/01/03,22,132,13,,,,,
2014/01/03,23,131,13,,,,,
2014/01/03,24,132,16,,,,,
2014/01/04,01,117,16,,,,,
2014/01/04,02,78,5,,,,,
2014/01/04,03,68,4,,,,,
2014/01/04,04,9,1,,,,,
2014/01/04,05,9,1,,,,,
2014/01/04,06,9,1,,,,,
2014/01/04,07,9,1,,,,,
2014/01/04,08,11,1,,,,,
2014/01/04,09,66,5,,,,,
2014/01/04,10,106,16,,,,,
2014/01/04,11,100,5,,,,,
2014/01/04,12,96,1,,,,,
2014/01/04,13,98,1,,,,,
2014/01/04,14,97,1,,,,,
2014/01/04,15,96,1,,,,,
2014/01/04,16,97,1,,,,,
2014/01/04,17,106,2,,,,,
2014/01/04,18,139,22,,,,,
2014/01/04,19,165,45,,,,,
2014/01/04,20,162,42,,,,,
2014/01/04,21,162,42,,,,,
2014/01/04,22,158,40,,,,,
2014/01/04,23,162,44,,,,,
2014/01/04,24,163,46,,,,,
2014/01/05,01,110,12,,,,,
2014/01/05,02,86,7,,,,,
2014/01/05,03,78,5,,,,,
2014/01/05,04,26,1,,,,,
2014/01/05,05,9,1,,,,,
2014/01/05,06,9,1,,,,,
2014/01/05,07,9,1,,,,,
2014/01/05,08,11,1,,,,,
2014/01/05,09,64,4,,,,,
2014/01/05,10,103,14,,,,,
2014/01/05,11,101,7,,,,,
2014/01/05,12,98,3,,,,,
2014/01/05,13,97,1,,,,,
2014/01/05,14,97,1,,,,,
2014/01/05,15,103,7,,,,,
2014/01/05,16,105,9,,,,,
2014/01/05,17,104,1,,,,,
2014/01/05,18,118,7,,,,,
2014/01/05,19,124,10,,,,,
2014/01/05,20,128,13,,,,,
2014/01/05,21,129,14,,,,,
2014/01/05,22,130,16,,,,,
2014/01/05,23,127,17,,,,,
2014/01/05,24,120,19,,,,,
2014/01/06,01,122,21,,,,,
2014/01/06,02,94,13,,,,,
2014/01/06,03,85,10,,,,,
2014/01/06,04,82,9,,,,,
2014/01/06,05,74,8,,,,,
2014/01/06,06,31,4,,,,,
2014/01/06,07,10,1,,,,,
2014/01/06,08,10,1,,,,,
2014/01/06,09,73,10,,,,,
2014/01/06,10,104,15,,,,,
2014/01/06,11,100,7,,,,,
2014/01/06,12,103,10,,,,,
2014/01/06,13,102,7,,,,,
2014/01/06,14,103,8,,,,,
2014/01/06,15,103,10,,,,,
2014/01/06,16,100,7,,,,,
2014/01/06,17,109,8,,,,,
2014/01/06,18,127,11,,,,,
2014/01/06,19,130,12,,,,,
2014/01/06,20,130,13,,,,,
2014/01/06,21,131,14,,,,,
2014/01/06,22,131,14,,,,,
2014/01/06,23,134,18,,,,,
2014/01/06,24,134,21,,,,,
2014/01/07,01,122,20,,,,,
2014/01/07,02,88,9,,,,,
2014/01/07,03,88,10,,,,,
2014/01/07,04,88,10,,,,,
2014/01/07,05,50,6,,,,,
2014/01/07,06,9,1,,,,,
2014/01/07,07,10,1,,,,,
2014/01/07,08,9,1,,,,,
2014/01/07,09,117,42,,,,,
2014/01/07,10,128,37,,,,,
2014/01/07,11,121,26,,,,,
2014/01/07,12,112,16,,,,,
2014/01/07,13,105,9,,,,,
2014/01/07,14,100,4,,,,,
2014/01/07,15,101,5,,,,,
2014/01/07,16,103,7,,,,,
2014/01/07,17,118,11,,,,,
2014/01/07,18,144,27,,,,,
2014/01/07,19,149,30,,,,,
2014/01/07,20,148,28,,,,,
2014/01/07,21,129,12,,,,,
2014/01/07,22,129,11,,,,,
2014/01/07,23,129,12,,,,,
2014/01/07,24,133,17,,,,,
2014/01/08,01,115,14,,,,,
2014/01/08,02,85,5,,,,,
2014/01/08,03,74,3,,,,,
2014/01/08,04,67,1,,,,,
2014/01/08,05,16,1,,,,,
2014/01/08,06,9,1,,,,,
2014/01/08,07,10,1,,,,,
2014/01/08,08,10,1,,,,,
2014/01/08,09,55,2,,,,,
2014/01/08,10,92,9,,,,,
2014/01/08,11,94,9,,,,,
2014/01/08,12,93,8,,,,,
2014/01/08,13,100,12,,,,,
2014/01/08,14,105,12,,,,,
2014/01/08,15,104,10,,,,,
2014/01/08,16,103,10,,,,,
2014/01/08,17,113,9,,,,,
2014/01/08,18,124,8,,,,,
2014/01/08,19,126,8,,,,,
2014/01/08,20,125,8,,,,,
2014/01/08,21,123,6,,,,,
2014/01/08,22,123,7,,,,,
2014/01/08,23,123,8,,,,,
2014/01/08,24,125,9,,,,,
2014/01/09,01,114,9,,,,,
2014/01/09,02,82,3,,,,,
2014/01/09,03,50,1,,,,,
2014/01/09,04,27,1,,,,,
2014/01/09,05,12,1,,,,,
2014/01/09,06,9,1,,,,,
2014/01/09,07,9,1,,,,,
2014/01/09,08,9,1,,,,,
2014/01/09,09,63,4,,,,,
2014/01/09,10,92,6,,,,,
2014/01/09,11,96,3,,,,,
2014/01/09,12,95,1,,,,,
2014/01/09,13,95,1,,,,,
2014/01/09,14,96,3,,,,,
2014/01/09,15,94,1,,,,,
2014/01/09,16,95,1,,,,,
2014/01/09,17,99,1,,,,,
2014/01/09,18,120,7,,,,,
2014/01/09,19,128,11,,,,,
2014/01/09,20,130,12,,,,,
2014/01/09,21,131,12,,,,,
2014/01/09,22,132,15,,,,,
2014/01/09,23,132,15,,,,,
2014/01/09,24,134,17,,,,,
2014/01/10,01,120,17,,,,,
2014/01/10,02,72,2,,,,,
2014/01/10,03,64,1,,,,,
2014/01/10,04,12,1,,,,,
2014/01/10,05,9,1,,,,,
2014/01/10,06,9,1,,,,,
2014/01/10,07,9,1,,,,,
2014/01/10,08,10,1,,,,,
2014/01/10,09,68,8,,,,,
2014/01/10,10,120,28,,,,,
2014/01/10,11,121,24,,,,,
2014/01/10,12,112,16,,,,,
2014/01/10,13,108,12,,,,,
2014/01/10,14,109,13,,,,,
2014/01/10,15,109,12,,,,,
2014/01/10,16,109,13,,,,,
2014/01/10,17,124,17,,,,,
2014/01/10,18,140,19,,,,,
2014/01/10,19,140,20,,,,,
2014/01/10,20,141,20,,,,,
2014/01/10,21,143,22,,,,,
2014/01/10,22,138,17,,,,,
2014/01/10,23,144,24,,,,,
2014/01/10,24,121,15,,,,,
2014/01/11,01,88,7,,,,,
2014/01/11,02,52,3,,,,,
2014/01/11,03,37,1,,,,,
2014/01/11,04,37,1,,,,,
2014/01/11,05,34,1,,,,,
2014/01/11,06,9,1,,,,,
2014/01/11,07,9,1,,,,,
2014/01/11,08,10,1,,,,,
2014/01/11,09,70,8,,,,,
2014/01/11,10,110,17,,,,,
2014/01/11,11,106,11,,,,,
2014/01/11,12,103,7,,,,,
2014/01/11,13,105,7,,,,,
2014/01/11,14,105,8,,,,,
2014/01/11,15,104,7,,,,,
2014/01/11,16,101,6,,,,,
2014/01/11,17,118,8,,,,,
2014/01/11,18,132,12,,,,,
2014/01/11,19,134,12,,,,,
2014/01/11,20,133,12,,,,,
2014/01/11,21,135,13,,,,,
2014/01/11,22,131,11,,,,,
2014/01/11,23,129,11,,,,,
2014/01/11,24,120,12,,,,,
2014/01/12,01,87,4,,,,,
2014/01/12,02,42,3,,,,,
2014/01/12,03,11,1,,,,,
2014/01/12,04,11,1,,,,,
2014/01/12,05,10,1,,,,,
2014/01/12,06,9,1,,,,,
2014/01/12,07,9,1,,,,,
2014/01/12,08,10,1,,,,,
2014/01/12,09,76,9,,,,,
2014/01/12,10,110,18,,,,,
2014/01/12,11,105,12,,,,,
2014/01/12,12,100,5,,,,,
2014/01/12,13,98,1,,,,,
2014/01/12,14,102,5,,,,,
2014/01/12,15,103,7,,,,,
2014/01/12,16,99,4,,,,,
2014/01/12,17,110,3,,,,,
2014/01/12,18,129,11,,,,,
2014/01/12,19,131,11,,,,,
2014/01/12,20,130,10,,,,,
2014/01/12,21,132,12,,,,,
2014/01/12,22,128,11,,,,,
2014/01/12,23,124,9,,,,,
2014/01/12,24,111,8,,,,,
2014/01/13,01,66,1,,,,,
2014/01/13,02,36,1,,,,,
2014/01/13,03,11,1,,,,,
2014/01/13,04,11,1,,,,,
2014/01/13,05,10,1,,,,,
2014/01/13,06,10,1,,,,,
2014/01/13,07,9,1,,,,,
2014/01/13,08,10,1,,,,,
2014/01/13,09,64,6,,,,,
2014/01/13,10,108,17,,,,,
2014/01/13,11,103,11,,,,,
2014/01/13,12,105,10,,,,,
2014/01/13,13,103,7,,,,,
2014/01/13,14,104,9,,,,,
2014/01/13,15,106,10,,,,,
2014/01/13,16,105,10,,,,,
2014/01/13,17,121,13,,,,,
2014/01/13,18,138,18,,,,,
2014/01/13,19,142,20,,,,,
2014/01/13,20,144,22,,,,,
2014/01/13,21,144,24,,,,,
2014/01/13,22,144,23,,,,,
2014/01/13,23,145,27,,,,,
2014/01/13,24,124,19,,,,,
2014/01/14,01,66,5,,,,,
2014/01/14,02,34,1,,,,,
2014/01/14,03,10,1,,,,,
2014/01/14,04,11,1,,,,,
2014/01/14,05,11,1,,,,,
2014/01/14,06,9,1,,,,,
2014/01/14,07,9,1,,,,,
2014/01/14,08,9,1,,,,,
2014/01/14,09,67,11,,,,,
2014/01/14,10,125,32,,,,,
2014/01/14,11,131,33,,,,,
2014/01/14,12,122,24,,,,,
2014/01/14,13,120,22,,,,,
2014/01/14,14,113,15,,,,,
2014/01/14,15,96,1,,,,,
2014/01/14,16,95,1,,,,,
2014/01/14,17,111,4,,,,,
2014/01/14,18,131,12,,,,,
2014/01/14,19,136,16,,,,,
2014/01/14,20,135,18,,,,,
2014/01/14,21,138,19,,,,,
2014/01/14,22,139,20,,,,,
2014/01/14,23,136,19,,,,,
2014/01/14,24,113,13,,,,,
2014/01/15,01,80,1,,,,,
2014/01/15,02,55,1,,,,,
2014/01/15,03,10,1,,,,,
2014/01/15,04,10,1,,,,,
2014/01/15,05,9,1,,,,,
2014/01/15,06,9,1,,,,,
2014/01/15,07,10,1,,,,,
2014/01/15,08,10,1,,,,,
2014/01/15,09,68,11,,,,,
2014/01/15,10,114,23,,,,,
2014/01/15,11,126,32,,,,,
2014/01/15,12,128,32,,,,,
2014/01/15,13,117,20,,,,,
2014/01/15,14,97,3,,,,,
2014/01/15,15,96,3,,,,,
2014/01/15,16,99,4,,,,,
2014/01/15,17,110,4,,,,,
2014/01/15,18,125,7,,,,,
2014/01/15,19,133,14,,,,,
2014/01/15,20,138,20,,,,,
2014/01/15,21,139,20,,,,,
2014/01/15,22,138,21,,,,,
2014/01/15,23,138,21,,,,,
2014/01/15,24,120,17,,,,,
2014/01/16,01,82,5,,,,,
2014/01/16,02,69,1,,,,,
2014/01/16,03,69,1,,,,,
2014/01/16,04,55,1,,,,,
2014/01/16,05,10,1,,,,,
2014/01/16,06,8,1,,,,,
2014/01/16,07,8,1,,,,,
2014/01/16,08,8,1,,,,,
2014/01/16,09,75,10,,,,,
2014/01/16,10,107,15,,,,,
2014/01/16,11,111,15,,,,,
2014/01/16,12,103,8,,,,,
2014/01/16,13,98,1,,,,,
2014/01/16,14,99,3,,,,,
2014/01/16,15,100,4,,,,,
2014/01/16,16,100,4,,,,,
2014/01/16,17,115,8,,,,,
2014/01/16,18,131,10,,,,,
2014/01/16,19,131,11,,,,,
2014/01/16,20,129,10,,,,,
2014/01/16,21,135,15,,,,,
2014/01/16,22,134,13,,,,,
2014/01/16,23,130,10,,,,,
2014/01/16,24,110,7,,,,,
2014/01/17,01,72,1,,,,,
2014/01/17,02,36,1,,,,,
2014/01/17,03,10,1,,,,,
2014/01/17,04,10,1,,,,,
2014/01/17,05,9,1,,,,,
2014/01/17,06,9,1,,,,,
2014/01/17,07,10,1,,,,,
2014/01/17,08,9,1,,,,,
2014/01/17,09,97,22,,,,,
2014/01/17,10,111,20,,,,,
2014/01/17,11,108,15,,,,,
2014/01/17,12,102,9,,,,,
2014/01/17,13,100,6,,,,,
2014/01/17,14,97,3,,,,,
2014/01/17,15,95,1,,,,,
2014/01/17,16,95,1,,,,,
2014/01/17,17,109,6,,,,,
2014/01/17,18,128,12,,,,,
2014/01/17,19,129,11,,,,,
2014/01/17,20,132,13,,,,,
2014/01/17,21,131,12,,,,,
2014/01/17,22,134,13,,,,,
2014/01/17,23,134,16,,,,,
2014/01/17,24,124,16,,,,,
2014/01/18,01,92,9,,,,,
2014/01/18,02,40,2,,,,,
2014/01/18,03,9,1,,,,,
2014/01/18,04,10,1,,,,,
2014/01/18,05,9,1,,,,,
2014/01/18,06,9,1,,,,,
2014/01/18,07,10,1,,,,,
2014/01/18,08,11,2,,,,,
2014/01/18,09,83,17,,,,,
2014/01/18,10,113,22,,,,,
2014/01/18,11,109,15,,,,,
2014/01/18,12,102,7,,,,,
2014/01/18,13,106,10,,,,,
2014/01/18,14,100,5,,,,,
2014/01/18,15,103,8,,,,,
2014/01/18,16,104,9,,,,,
2014/01/18,17,119,7,,,,,
