計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2014/01/01,01,9,,,2,7,,
2014/01/01,02,9,,,2,7,,
2014/01/01,03,9,,,2,7,,
2014/01/01,04,9,,,2,7,,
2014/01/01,05,10,,,2,7,,
2014/01/01,06,9,,,1,8,,
2014/01/01,07,10,,,2,8,,
2014/01/01,08,10,,,2,7,,
2014/01/01,09,9,,,2,7,,
2014/01/01,10,8,,,1,7,,
2014/01/01,11,9,,,2,7,,
2014/01/01,12,8,,,2,6,,
2014/01/01,13,8,,,1,7,,
2014/01/01,14,9,,,2,7,,
2014/01/01,15,8,,,2,6,,
2014/01/01,16,8,,,2,6,,
2014/01/01,17,9,,,1,8,,
2014/01/01,18,10,,,2,8,,
2014/01/01,19,9,,,1,8,,
2014/01/01,20,11,,,2,8,,
2014/01/01,21,10,,,2,8,,
2014/01/01,22,8,,,1,7,,
2014/01/01,23,9,,,2,7,,
2014/01/01,24,10,,,2,8,,
2014/01/02,01,10,,,2,8,,
2014/01/02,02,10,,,2,8,,
2014/01/02,03,10,,,2,8,,
2014/01/02,04,10,,,2,8,,
2014/01/02,05,10,,,2,8,,
2014/01/02,06,18,,,3,15,,
2014/01/02,07,65,,,14,51,,
2014/01/02,08,114,,,40,74,,
2014/01/02,09,210,,,95,115,,
2014/01/02,10,205,,,86,119,,
2014/01/02,11,183,,,87,96,,
2014/01/02,12,179,,,84,95,,
2014/01/02,13,173,,,77,96,,
2014/01/02,14,174,,,76,97,,
2014/01/02,15,171,,,74,97,,
2014/01/02,16,187,,,77,110,,
2014/01/02,17,201,,,76,125,,
2014/01/02,18,202,,,78,124,,
2014/01/02,19,197,,,72,124,,
2014/01/02,20,180,,,78,102,,
2014/01/02,21,31,,,11,20,,
2014/01/02,22,9,,,1,8,,
2014/01/02,23,10,,,2,8,,
2014/01/02,24,10,,,2,8,,
2014/01/03,01,10,,,2,8,,
2014/01/03,02,10,,,2,8,,
2014/01/03,03,10,,,2,8,,
2014/01/03,04,10,,,2,8,,
2014/01/03,05,10,,,2,8,,
2014/01/03,06,10,,,2,8,,
2014/01/03,07,10,,,2,8,,
2014/01/03,08,12,,,2,9,,
2014/01/03,09,66,,,43,23,,
2014/01/03,10,163,,,84,79,,
2014/01/03,11,183,,,85,98,,
2014/01/03,12,167,,,71,96,,
2014/01/03,13,161,,,63,98,,
2014/01/03,14,154,,,57,97,,
2014/01/03,15,150,,,55,95,,
2014/01/03,16,150,,,54,96,,
2014/01/03,17,175,,,58,117,,
2014/01/03,18,182,,,59,122,,
2014/01/03,19,187,,,63,124,,
2014/01/03,20,185,,,65,119,,
2014/01/03,21,183,,,65,118,,
2014/01/03,22,86,,,39,46,,
2014/01/03,23,10,,,4,6,,
2014/01/03,24,12,,,5,7,,
2014/01/04,01,13,,,5,7,,
2014/01/04,02,11,,,4,7,,
2014/01/04,03,13,,,5,7,,
2014/01/04,04,11,,,4,7,,
2014/01/04,05,13,,,5,8,,
2014/01/04,06,13,,,5,8,,
2014/01/04,07,13,,,5,8,,
2014/01/04,08,13,,,5,8,,
2014/01/04,09,28,,,11,17,,
2014/01/04,10,132,,,54,78,,
2014/01/04,11,172,,,74,98,,
2014/01/04,12,162,,,65,97,,
2014/01/04,13,160,,,61,99,,
2014/01/04,14,158,,,59,99,,
2014/01/04,15,158,,,60,97,,
2014/01/04,16,169,,,61,108,,
2014/01/04,17,186,,,64,122,,
2014/01/04,18,190,,,68,122,,
2014/01/04,19,191,,,69,122,,
2014/01/04,20,196,,,73,123,,
2014/01/04,21,188,,,69,119,,
2014/01/04,22,85,,,19,66,,
2014/01/04,23,10,,,2,8,,
2014/01/04,24,10,,,2,8,,
2014/01/05,01,10,,,2,8,,
2014/01/05,02,10,,,2,8,,
2014/01/05,03,10,,,2,8,,
2014/01/05,04,10,,,2,8,,
2014/01/05,05,10,,,2,8,,
2014/01/05,06,10,,,2,8,,
2014/01/05,07,10,,,2,8,,
2014/01/05,08,10,,,2,8,,
2014/01/05,09,25,,,9,16,,
2014/01/05,10,161,,,99,62,,
2014/01/05,11,182,,,88,94,,
2014/01/05,12,169,,,75,94,,
2014/01/05,13,160,,,65,95,,
2014/01/05,14,158,,,62,96,,
2014/01/05,15,158,,,63,95,,
2014/01/05,16,171,,,65,106,,
2014/01/05,17,187,,,66,121,,
2014/01/05,18,190,,,70,120,,
2014/01/05,19,192,,,70,121,,
2014/01/05,20,193,,,71,122,,
2014/01/05,21,157,,,42,114,,
2014/01/05,22,35,,,2,33,,
2014/01/05,23,10,,,2,8,,
2014/01/05,24,10,,,2,8,,
2014/01/06,01,11,,,2,8,,
2014/01/06,02,10,,,2,8,,
2014/01/06,03,11,,,2,9,,
2014/01/06,04,10,,,2,8,,
2014/01/06,05,10,,,1,9,,
2014/01/06,06,11,,,2,9,,
2014/01/06,07,10,,,2,8,,
2014/01/06,08,10,,,2,8,,
2014/01/06,09,31,,,15,15,,
2014/01/06,10,102,,,56,46,,
2014/01/06,11,184,,,91,93,,
2014/01/06,12,163,,,71,92,,
2014/01/06,13,159,,,67,92,,
2014/01/06,14,162,,,70,92,,
2014/01/06,15,160,,,68,92,,
2014/01/06,16,169,,,65,104,,
2014/01/06,17,187,,,67,120,,
2014/01/06,18,188,,,68,120,,
2014/01/06,19,188,,,68,120,,
2014/01/06,20,188,,,66,121,,
2014/01/06,21,172,,,55,117,,
2014/01/06,22,26,,,2,23,,
2014/01/06,23,9,,,1,8,,
2014/01/06,24,11,,,2,9,,
2014/01/07,01,10,,,2,8,,
2014/01/07,02,10,,,2,8,,
2014/01/07,03,10,,,2,8,,
2014/01/07,04,9,,,1,8,,
2014/01/07,05,10,,,2,8,,
2014/01/07,06,10,,,2,8,,
2014/01/07,07,10,,,2,8,,
2014/01/07,08,9,,,2,7,,
2014/01/07,09,59,,,41,18,,
2014/01/07,10,115,,,70,45,,
2014/01/07,11,152,,,65,87,,
2014/01/07,12,142,,,53,88,,
2014/01/07,13,131,,,42,89,,
2014/01/07,14,130,,,41,89,,
2014/01/07,15,128,,,40,88,,
2014/01/07,16,142,,,41,100,,
2014/01/07,17,159,,,44,115,,
2014/01/07,18,166,,,50,116,,
2014/01/07,19,166,,,50,116,,
2014/01/07,20,170,,,54,115,,
2014/01/07,21,165,,,55,110,,
2014/01/07,22,24,,,10,14,,
2014/01/07,23,9,,,2,7,,
2014/01/07,24,9,,,2,7,,
2014/01/08,01,9,,,2,7,,
2014/01/08,02,9,,,2,7,,
2014/01/08,03,10,,,2,8,,
2014/01/08,04,10,,,2,8,,
2014/01/08,05,11,,,2,9,,
2014/01/08,06,10,,,2,8,,
2014/01/08,07,10,,,2,8,,
2014/01/08,08,10,,,2,8,,
2014/01/08,09,29,,,18,11,,
2014/01/08,10,114,,,65,49,,
2014/01/08,11,177,,,87,90,,
2014/01/08,12,149,,,60,89,,
2014/01/08,13,141,,,51,90,,
2014/01/08,14,143,,,51,92,,
2014/01/08,15,144,,,52,92,,
2014/01/08,16,157,,,52,104,,
2014/01/08,17,171,,,53,118,,
2014/01/08,18,171,,,52,118,,
2014/01/08,19,170,,,52,118,,
2014/01/08,20,172,,,54,117,,
2014/01/08,21,164,,,48,116,,
2014/01/08,22,55,,,15,39,,
2014/01/08,23,7,,,1,6,,
2014/01/08,24,9,,,2,7,,
2014/01/09,01,9,,,2,7,,
2014/01/09,02,8,,,1,7,,
2014/01/09,03,9,,,2,7,,
2014/01/09,04,10,,,2,7,,
2014/01/09,05,9,,,1,8,,
2014/01/09,06,10,,,2,8,,
2014/01/09,07,9,,,2,7,,
2014/01/09,08,9,,,2,7,,
2014/01/09,09,22,,,8,14,,
2014/01/09,10,78,,,33,45,,
2014/01/09,11,181,,,89,92,,
2014/01/09,12,157,,,67,90,,
2014/01/09,13,152,,,61,91,,
2014/01/09,14,148,,,55,92,,
2014/01/09,15,149,,,57,92,,
2014/01/09,16,167,,,63,104,,
2014/01/09,17,185,,,66,119,,
2014/01/09,18,194,,,74,120,,
2014/01/09,19,195,,,74,121,,
2014/01/09,20,196,,,75,121,,
2014/01/09,21,186,,,71,115,,
2014/01/09,22,20,,,2,18,,
2014/01/09,23,10,,,2,8,,
2014/01/09,24,11,,,2,9,,
2014/01/10,01,11,,,2,9,,
2014/01/10,02,10,,,2,8,,
2014/01/10,03,10,,,2,8,,
