計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2014/01/01,01,10,,,4,4,,
2014/01/01,02,11,,,4,4,,
2014/01/01,03,10,,,5,4,,
2014/01/01,04,12,,,5,4,,
2014/01/01,05,11,,,5,4,,
2014/01/01,06,11,,,5,4,,
2014/01/01,07,11,,,5,5,,
2014/01/01,08,21,,,12,6,,
2014/01/01,09,22,,,14,6,,
2014/01/01,10,22,,,13,8,,
2014/01/01,11,34,,,15,17,,
2014/01/01,12,30,,,12,17,,
2014/01/01,13,30,,,10,17,,
2014/01/01,14,31,,,12,17,,
2014/01/01,15,30,,,11,17,,
2014/01/01,16,31,,,11,17,,
2014/01/01,17,33,,,11,20,,
2014/01/01,18,41,,,12,26,,
2014/01/01,19,43,,,12,26,,
2014/01/01,20,34,,,7,25,,
2014/01/01,21,32,,,4,24,,
2014/01/01,22,21,,,5,14,,
2014/01/01,23,11,,,4,4,,
2014/01/01,24,10,,,4,5,,
2014/01/02,01,11,,,4,4,,
2014/01/02,02,11,,,5,4,,
2014/01/02,03,11,,,5,4,,
2014/01/02,04,11,,,5,4,,
2014/01/02,05,11,,,4,4,,
2014/01/02,06,10,,,4,4,,
2014/01/02,07,10,,,5,4,,
2014/01/02,08,28,,,17,9,,
2014/01/02,09,167,,,121,39,,
2014/01/02,10,196,,,125,64,,
2014/01/02,11,255,,,127,119,,
2014/01/02,12,264,,,134,120,,
2014/01/02,13,257,,,126,122,,
2014/01/02,14,254,,,123,122,,
2014/01/02,15,248,,,118,121,,
2014/01/02,16,254,,,125,122,,
2014/01/02,17,258,,,126,122,,
2014/01/02,18,253,,,124,122,,
2014/01/02,19,255,,,125,121,,
2014/01/02,20,248,,,122,118,,
2014/01/02,21,239,,,116,115,,
2014/01/02,22,75,,,41,31,,
2014/01/02,23,10,,,4,4,,
2014/01/02,24,10,,,4,5,,
2014/01/03,01,9,,,3,4,,
2014/01/03,02,10,,,3,4,,
2014/01/03,03,9,,,4,4,,
2014/01/03,04,10,,,4,4,,
2014/01/03,05,11,,,5,4,,
2014/01/03,06,10,,,4,4,,
2014/01/03,07,10,,,4,4,,
2014/01/03,08,19,,,11,6,,
2014/01/03,09,79,,,55,20,,
2014/01/03,10,187,,,117,64,,
2014/01/03,11,255,,,129,117,,
2014/01/03,12,234,,,107,118,,
2014/01/03,13,220,,,92,120,,
2014/01/03,14,210,,,82,122,,
2014/01/03,15,207,,,79,122,,
2014/01/03,16,204,,,76,121,,
2014/01/03,17,209,,,80,122,,
2014/01/03,18,214,,,81,126,,
2014/01/03,19,221,,,88,127,,
2014/01/03,20,210,,,80,123,,
2014/01/03,21,206,,,79,120,,
2014/01/03,22,86,,,28,55,,
2014/01/03,23,9,,,3,4,,
2014/01/03,24,10,,,3,5,,
2014/01/04,01,9,,,3,4,,
2014/01/04,02,10,,,4,4,,
2014/01/04,03,10,,,4,4,,
2014/01/04,04,10,,,4,4,,
2014/01/04,05,11,,,5,4,,
2014/01/04,06,9,,,3,4,,
2014/01/04,07,10,,,4,4,,
2014/01/04,08,19,,,11,6,,
2014/01/04,09,30,,,12,15,,
2014/01/04,10,175,,,125,44,,
2014/01/04,11,247,,,123,115,,
2014/01/04,12,230,,,109,113,,
2014/01/04,13,226,,,104,115,,
2014/01/04,14,229,,,107,114,,
2014/01/04,15,230,,,106,116,,
2014/01/04,16,231,,,108,116,,
2014/01/04,17,230,,,104,118,,
2014/01/04,18,255,,,123,125,,
2014/01/04,19,251,,,118,124,,
2014/01/04,20,247,,,116,123,,
2014/01/04,21,229,,,100,121,,
2014/01/04,22,49,,,4,42,,
2014/01/04,23,10,,,5,4,,
2014/01/04,24,10,,,3,5,,
2014/01/05,01,9,,,4,4,,
2014/01/05,02,10,,,3,4,,
2014/01/05,03,10,,,4,4,,
2014/01/05,04,10,,,5,4,,
2014/01/05,05,11,,,4,4,,
2014/01/05,06,9,,,4,4,,
2014/01/05,07,10,,,3,4,,
2014/01/05,08,19,,,11,6,,
2014/01/05,09,105,,,76,24,,
2014/01/05,10,198,,,141,50,,
2014/01/05,11,252,,,128,115,,
2014/01/05,12,249,,,124,116,,
2014/01/05,13,241,,,116,117,,
2014/01/05,14,232,,,109,116,,
2014/01/05,15,225,,,104,112,,
2014/01/05,16,225,,,106,113,,
2014/01/05,17,230,,,105,117,,
2014/01/05,18,243,,,108,126,,
2014/01/05,19,247,,,116,124,,
2014/01/05,20,240,,,109,123,,
2014/01/05,21,238,,,110,120,,
2014/01/05,22,66,,,10,53,,
2014/01/05,23,12,,,4,6,,
2014/01/05,24,10,,,4,5,,
2014/01/06,01,9,,,3,4,,
2014/01/06,02,9,,,4,4,,
2014/01/06,03,10,,,4,4,,
2014/01/06,04,11,,,4,4,,
2014/01/06,05,10,,,4,4,,
2014/01/06,06,10,,,5,4,,
2014/01/06,07,10,,,4,4,,
2014/01/06,08,18,,,10,6,,
2014/01/06,09,88,,,63,20,,
2014/01/06,10,204,,,147,50,,
2014/01/06,11,298,,,173,114,,
2014/01/06,12,283,,,159,114,,
2014/01/06,13,278,,,153,115,,
2014/01/06,14,276,,,149,117,,
2014/01/06,15,273,,,149,115,,
2014/01/06,16,261,,,137,114,,
2014/01/06,17,260,,,136,116,,
2014/01/06,18,268,,,136,123,,
2014/01/06,19,272,,,139,122,,
2014/01/06,20,256,,,128,120,,
2014/01/06,21,257,,,128,120,,
2014/01/06,22,103,,,45,55,,
2014/01/06,23,11,,,3,6,,
2014/01/06,24,11,,,4,5,,
2014/01/07,01,10,,,4,5,,
2014/01/07,02,9,,,3,5,,
2014/01/07,03,10,,,4,4,,
2014/01/07,04,10,,,4,4,,
2014/01/07,05,10,,,4,4,,
2014/01/07,06,10,,,5,4,,
2014/01/07,07,10,,,4,4,,
2014/01/07,08,20,,,10,7,,
2014/01/07,09,127,,,100,22,,
2014/01/07,10,253,,,201,42,,
2014/01/07,11,290,,,167,112,,
2014/01/07,12,260,,,139,112,,
2014/01/07,13,223,,,105,112,,
2014/01/07,14,211,,,90,114,,
2014/01/07,15,203,,,82,114,,
2014/01/07,16,191,,,70,114,,
2014/01/07,17,194,,,73,115,,
2014/01/07,18,210,,,79,123,,
2014/01/07,19,215,,,88,121,,
2014/01/07,20,215,,,88,120,,
2014/01/07,21,211,,,86,117,,
2014/01/07,22,33,,,8,23,,
2014/01/07,23,9,,,3,5,,
2014/01/07,24,10,,,3,5,,
2014/01/08,01,9,,,4,5,,
2014/01/08,02,10,,,4,4,,
2014/01/08,03,10,,,4,4,,
2014/01/08,04,11,,,4,4,,
2014/01/08,05,10,,,4,4,,
2014/01/08,06,9,,,4,4,,
2014/01/08,07,12,,,5,5,,
2014/01/08,08,19,,,11,6,,
2014/01/08,09,101,,,73,23,,
2014/01/08,10,180,,,125,47,,
2014/01/08,11,247,,,128,111,,
2014/01/08,12,236,,,115,113,,
2014/01/08,13,221,,,98,115,,
2014/01/08,14,218,,,97,114,,
2014/01/08,15,211,,,89,115,,
2014/01/08,16,206,,,87,113,,
2014/01/08,17,209,,,86,116,,
2014/01/08,18,214,,,84,123,,
2014/01/08,19,210,,,82,122,,
2014/01/08,20,206,,,78,120,,
2014/01/08,21,196,,,72,118,,
2014/01/08,22,44,,,4,36,,
2014/01/08,23,9,,,3,5,,
2014/01/08,24,10,,,4,5,,
2014/01/09,01,10,,,3,5,,
2014/01/09,02,10,,,3,5,,
2014/01/09,03,10,,,4,5,,
2014/01/09,04,11,,,5,5,,
2014/01/09,05,10,,,4,4,,
2014/01/09,06,10,,,3,4,,
2014/01/09,07,10,,,4,5,,
2014/01/09,08,20,,,12,6,,
2014/01/09,09,55,,,39,13,,
2014/01/09,10,117,,,69,43,,
2014/01/09,11,185,,,70,109,,
2014/01/09,12,182,,,66,110,,
2014/01/09,13,187,,,68,113,,
2014/01/09,14,188,,,69,113,,
2014/01/09,15,189,,,72,113,,
2014/01/09,16,190,,,71,112,,
2014/01/09,17,235,,,112,115,,
2014/01/09,18,259,,,128,122,,
2014/01/09,19,261,,,132,120,,
2014/01/09,20,250,,,124,118,,
2014/01/09,21,244,,,120,116,,
2014/01/09,22,108,,,43,61,,
2014/01/09,23,10,,,3,4,,
2014/01/09,24,10,,,5,5,,
2014/01/10,01,10,,,3,5,,
2014/01/10,02,10,,,4,4,,
2014/01/10,03,9,,,3,4,,
2014/01/10,04,10,,,5,4,,
2014/01/10,05,10,,,4,4,,
2014/01/10,06,10,,,4,4,,
2014/01/10,07,13,,,6,5,,
2014/01/10,08,19,,,11,6,,
2014/01/10,09,87,,,64,19,,
2014/01/10,10,178,,,130,40,,
2014/01/10,11,270,,,149,111,,
2014/01/10,12,272,,,150,112,,
2014/01/10,13,278,,,154,115,,
2014/01/10,14,268,,,144,114,,
2014/01/10,15,261,,,138,114,,
2014/01/10,16,254,,,132,112,,
2014/01/10,17,258,,,136,113,,
2014/01/10,18,275,,,144,122,,
2014/01/10,19,280,,,149,122,,
2014/01/10,20,270,,,139,122,,
2014/01/10,21,262,,,136,117,,
2014/01/10,22,168,,,82,80,,
2014/01/10,23,14,,,3,9,,
2014/01/10,24,9,,,3,5,,
2014/01/11,01,10,,,4,4,,
2014/01/11,02,10,,,3,4,,
2014/01/11,03,10,,,4,4,,
2014/01/11,04,10,,,5,4,,
2014/01/11,05,10,,,4,4,,
2014/01/11,06,10,,,4,4,,
2014/01/11,07,11,,,5,4,,
2014/01/11,08,19,,,11,6,,
2014/01/11,09,35,,,16,17,,
2014/01/11,10,138,,,84,48,,
2014/01/11,11,272,,,150,113,,
2014/01/11,12,260,,,138,113,,
2014/01/11,13,261,,,135,116,,
2014/01/11,14,254,,,129,116,,
2014/01/11,15,248,,,124,116,,
2014/01/11,16,244,,,121,115,,
2014/01/11,17,230,,,107,115,,
2014/01/11,18,234,,,103,123,,
2014/01/11,19,240,,,111,122,,
2014/01/11,20,244,,,115,121,,
2014/01/11,21,237,,,108,120,,
2014/01/11,22,64,,,39,22,,
2014/01/11,23,11,,,5,5,,
2014/01/11,24,10,,,4,5,,
2014/01/12,01,10,,,3,5,,
2014/01/12,02,10,,,4,4,,
2014/01/12,03,10,,,4,5,,
2014/01/12,04,10,,,4,5,,
2014/01/12,05,10,,,4,4,,
2014/01/12,06,10,,,4,4,,
2014/01/12,07,11,,,5,4,,
2014/01/12,08,18,,,10,6,,
2014/01/12,09,66,,,48,14,,
2014/01/12,10,143,,,95,43,,
2014/01/12,11,255,,,136,110,,
2014/01/12,12,273,,,150,113,,
2014/01/12,13,252,,,129,114,,
2014/01/12,14,238,,,118,112,,
2014/01/12,15,228,,,107,112,,
2014/01/12,16,224,,,104,113,,
2014/01/12,17,230,,,109,113,,
2014/01/12,18,238,,,110,120,,
2014/01/12,19,242,,,113,120,,
2014/01/12,20,244,,,115,120,,
2014/01/12,21,233,,,109,116,,
2014/01/12,22,70,,,34,33,,
2014/01/12,23,9,,,3,5,,
2014/01/12,24,10,,,3,5,,
2014/01/13,01,9,,,3,4,,
2014/01/13,02,10,,,4,4,,
2014/01/13,03,10,,,4,4,,
2014/01/13,04,10,,,4,5,,
2014/01/13,05,11,,,4,4,,
2014/01/13,06,10,,,5,4,,
2014/01/13,07,10,,,4,4,,
2014/01/13,08,18,,,10,6,,
2014/01/13,09,104,,,76,24,,
2014/01/13,10,179,,,119,53,,
2014/01/13,11,266,,,142,116,,
2014/01/13,12,279,,,151,118,,
2014/01/13,13,299,,,170,118,,
2014/01/13,14,298,,,170,118,,
2014/01/13,15,291,,,163,118,,
2014/01/13,16,278,,,151,116,,
2014/01/13,17,275,,,150,116,,
2014/01/13,18,280,,,149,122,,
2014/01/13,19,283,,,149,123,,
2014/01/13,20,281,,,151,121,,
2014/01/13,21,272,,,144,118,,
2014/01/13,22,174,,,90,78,,
2014/01/13,23,11,,,3,7,,
2014/01/13,24,10,,,3,5,,
2014/01/14,01,10,,,3,5,,
2014/01/14,02,9,,,4,4,,
2014/01/14,03,10,,,4,4,,
2014/01/14,04,10,,,4,5,,
2014/01/14,05,11,,,5,4,,
2014/01/14,06,11,,,4,5,,
2014/01/14,07,10,,,4,5,,
2014/01/14,08,19,,,10,7,,
2014/01/14,09,82,,,53,25,,
2014/01/14,10,181,,,120,54,,
2014/01/14,11,248,,,126,113,,
2014/01/14,12,246,,,123,114,,
2014/01/14,13,245,,,122,115,,
2014/01/14,14,241,,,118,116,,
2014/01/14,15,230,,,106,116,,
2014/01/14,16,230,,,106,116,,
2014/01/14,17,230,,,106,116,,
2014/01/14,18,245,,,115,121,,
2014/01/14,19,247,,,119,120,,
2014/01/14,20,245,,,118,119,,
2014/01/14,21,235,,,111,117,,
2014/01/14,22,55,,,26,26,,
2014/01/14,23,9,,,3,5,,
2014/01/14,24,10,,,4,5,,
2014/01/15,01,11,,,4,5,,
2014/01/15,02,11,,,4,5,,
2014/01/15,03,10,,,5,4,,
2014/01/15,04,11,,,4,4,,
2014/01/15,05,10,,,4,4,,
2014/01/15,06,10,,,4,4,,
2014/01/15,07,10,,,4,5,,
2014/01/15,08,20,,,11,7,,
2014/01/15,09,60,,,34,23,,
2014/01/15,10,237,,,177,50,,
2014/01/15,11,281,,,156,115,,
2014/01/15,12,261,,,138,114,,
2014/01/15,13,258,,,133,116,,
2014/01/15,14,250,,,125,117,,
2014/01/15,15,239,,,114,117,,
