計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/08/01,01,78,23,10,21,14,,
2013/08/01,02,66,23,10,16,8,,
2013/08/01,03,64,23,10,14,8,,
2013/08/01,04,43,9,4,17,4,,
2013/08/01,05,13,0,0,1,4,,
2013/08/01,06,13,0,0,1,4,,
2013/08/01,07,14,0,0,1,4,,
2013/08/01,08,60,11,5,21,13,,
2013/08/01,09,84,11,7,17,40,,
2013/08/01,10,127,17,10,43,44,,
2013/08/01,11,134,17,11,42,45,,
2013/08/01,12,127,17,11,36,46,,
2013/08/01,13,135,17,10,42,46,,
2013/08/01,14,146,19,10,53,46,,
2013/08/01,15,141,19,10,47,46,,
2013/08/01,16,147,19,10,53,47,,
2013/08/01,17,142,17,11,52,47,,
2013/08/01,18,138,18,11,48,47,,
2013/08/01,19,148,20,19,47,47,,
2013/08/01,20,152,20,21,47,47,,
2013/08/01,21,155,20,21,49,47,,
2013/08/01,22,141,19,21,38,47,,
2013/08/01,23,128,17,21,33,42,,
2013/08/01,24,101,23,20,26,21,,
2013/08/02,01,95,23,20,23,20,,
2013/08/02,02,50,12,11,10,7,,
2013/08/02,03,13,0,1,1,4,,
2013/08/02,04,13,0,0,1,4,,
2013/08/02,05,13,0,0,1,4,,
2013/08/02,06,13,0,0,1,4,,
2013/08/02,07,18,2,1,2,6,,
2013/08/02,08,93,23,10,38,12,,
2013/08/02,09,116,20,10,35,41,,
2013/08/02,10,114,17,10,31,44,,
2013/08/02,11,125,17,11,36,45,,
2013/08/02,12,130,17,10,40,45,,
2013/08/02,13,147,19,10,53,46,,
2013/08/02,14,147,19,10,53,46,,
2013/08/02,15,152,20,10,56,47,,
2013/08/02,16,151,20,10,58,48,,
2013/08/02,17,149,20,10,56,47,,
2013/08/02,18,145,19,10,57,47,,
2013/08/02,19,136,21,11,46,47,,
2013/08/02,20,153,21,19,49,48,,
2013/08/02,21,152,21,21,46,48,,
2013/08/02,22,148,20,21,43,47,,
2013/08/02,23,133,18,21,36,43,,
2013/08/02,24,98,23,20,24,20,,
2013/08/03,01,79,23,15,23,8,,
2013/08/03,02,64,23,12,16,4,,
2013/08/03,03,60,23,12,12,4,,
2013/08/03,04,17,2,2,1,4,,
2013/08/03,05,13,0,0,1,4,,
2013/08/03,06,13,0,0,1,4,,
2013/08/03,07,23,3,2,5,5,,
2013/08/03,08,88,22,6,32,18,,
2013/08/03,09,110,20,7,30,42,,
2013/08/03,10,120,17,11,35,45,,
2013/08/03,11,137,17,10,46,47,,
2013/08/03,12,144,19,10,47,49,,
2013/08/03,13,155,20,10,57,48,,
2013/08/03,14,154,18,10,58,48,,
2013/08/03,15,152,17,10,56,49,,
2013/08/03,16,153,17,10,57,49,,
2013/08/03,17,149,17,10,56,48,,
2013/08/03,18,150,19,10,58,48,,
2013/08/03,19,148,19,11,57,48,,
2013/08/03,20,160,19,20,57,48,,
2013/08/03,21,156,18,21,51,48,,
2013/08/03,22,152,18,21,49,47,,
2013/08/03,23,143,17,21,46,42,,
2013/08/03,24,107,23,20,35,19,,
2013/08/04,01,95,23,20,24,19,,
2013/08/04,02,74,15,17,22,12,,
2013/08/04,03,15,0,2,2,4,,
2013/08/04,04,13,0,0,1,4,,
2013/08/04,05,20,3,1,4,4,,
2013/08/04,06,62,11,6,21,14,,
2013/08/04,07,51,11,6,16,8,,
2013/08/04,08,90,19,6,25,30,,
2013/08/04,09,104,20,7,25,42,,
2013/08/04,10,124,17,10,40,46,,
2013/08/04,11,134,22,10,37,47,,
2013/08/04,12,154,21,10,55,49,,
2013/08/04,13,157,23,10,55,49,,
2013/08/04,14,157,21,10,57,49,,
2013/08/04,15,155,20,10,56,49,,
2013/08/04,16,156,20,11,57,49,,
2013/08/04,17,156,22,11,58,49,,
2013/08/04,18,146,23,11,49,49,,
2013/08/04,19,141,21,11,47,48,,
2013/08/04,20,154,21,19,49,48,,
2013/08/04,21,144,20,21,39,47,,
2013/08/04,22,142,19,21,39,47,,
2013/08/04,23,131,17,21,37,41,,
2013/08/04,24,105,23,20,32,19,,
2013/08/05,01,54,12,12,12,9,,
2013/08/05,02,14,0,1,1,4,,
2013/08/05,03,13,0,0,1,4,,
2013/08/05,04,13,0,0,1,4,,
2013/08/05,05,13,0,0,1,4,,
2013/08/05,06,13,0,0,1,4,,
2013/08/05,07,18,2,1,3,4,,
2013/08/05,08,95,20,6,36,23,,
2013/08/05,09,106,20,7,28,42,,
