計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/12/01,01,35,,,11,21,,
2013/12/01,02,35,,,12,20,,
2013/12/01,03,33,,,12,20,,
2013/12/01,04,34,,,12,20,,
2013/12/01,05,33,,,13,19,,
2013/12/01,06,32,,,14,18,,
2013/12/01,07,33,,,13,19,,
2013/12/01,08,33,,,13,19,,
2013/12/01,09,37,,,13,23,,
2013/12/01,10,49,,,20,28,,
2013/12/01,11,59,,,23,33,,
2013/12/01,12,53,,,17,35,,
2013/12/01,13,59,,,21,35,,
2013/12/01,14,64,,,26,38,,
2013/12/01,15,61,,,22,38,,
2013/12/01,16,62,,,23,37,,
2013/12/01,17,64,,,25,39,,
2013/12/01,18,66,,,22,42,,
2013/12/01,19,68,,,28,40,,
2013/12/01,20,61,,,23,37,,
2013/12/01,21,54,,,18,34,,
2013/12/01,22,54,,,23,29,,
2013/12/01,23,51,,,19,29,,
2013/12/01,24,46,,,20,24,,
2013/12/02,01,46,,,21,23,,
2013/12/02,02,40,,,18,22,,
2013/12/02,03,32,,,13,19,,
2013/12/02,04,35,,,11,21,,
2013/12/02,05,32,,,13,19,,
2013/12/02,06,33,,,13,19,,
2013/12/02,07,37,,,14,22,,
2013/12/02,08,114,,,60,52,,
2013/12/02,09,206,,,104,100,,
2013/12/02,10,274,,,140,132,,
2013/12/02,11,231,,,115,115,,
2013/12/02,12,205,,,90,114,,
2013/12/02,13,210,,,94,114,,
2013/12/02,14,184,,,67,114,,
2013/12/02,15,161,,,50,110,,
2013/12/02,16,193,,,82,110,,
2013/12/02,17,197,,,86,110,,
2013/12/02,18,216,,,102,114,,
2013/12/02,19,156,,,61,95,,
2013/12/02,20,126,,,48,76,,
2013/12/02,21,116,,,51,65,,
2013/12/02,22,98,,,42,54,,
2013/12/02,23,71,,,28,40,,
2013/12/02,24,49,,,19,29,,
2013/12/03,01,47,,,16,28,,
2013/12/03,02,47,,,17,27,,
2013/12/03,03,41,,,17,23,,
2013/12/03,04,38,,,16,20,,
2013/12/03,05,38,,,16,20,,
2013/12/03,06,45,,,22,22,,
2013/12/03,07,40,,,20,20,,
2013/12/03,08,88,,,42,46,,
2013/12/03,09,199,,,101,95,,
2013/12/03,10,228,,,115,113,,
2013/12/03,11,226,,,110,114,,
2013/12/03,12,177,,,61,115,,
2013/12/03,13,181,,,67,113,,
2013/12/03,14,157,,,45,111,,
2013/12/03,15,166,,,51,113,,
2013/12/03,16,178,,,67,109,,
2013/12/03,17,181,,,69,111,,
2013/12/03,18,175,,,56,116,,
2013/12/03,19,146,,,38,106,,
2013/12/03,20,137,,,38,98,,
2013/12/03,21,103,,,28,72,,
2013/12/03,22,72,,,22,50,,
2013/12/03,23,47,,,13,31,,
2013/12/03,24,41,,,13,27,,
2013/12/04,01,40,,,15,25,,
2013/12/04,02,38,,,12,24,,
2013/12/04,03,38,,,13,23,,
2013/12/04,04,34,,,12,20,,
2013/12/04,05,34,,,12,20,,
2013/12/04,06,33,,,12,20,,
2013/12/04,07,39,,,12,24,,
2013/12/04,08,64,,,19,45,,
2013/12/04,09,187,,,89,95,,
2013/12/04,10,231,,,111,117,,
2013/12/04,11,225,,,109,115,,
2013/12/04,12,174,,,58,114,,
2013/12/04,13,190,,,76,112,,
2013/12/04,14,176,,,67,109,,
2013/12/04,15,160,,,52,108,,
2013/12/04,16,183,,,69,111,,
