計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/07/01,01,12,,,3,8,,
2013/07/01,02,11,,,3,8,,
2013/07/01,03,11,,,3,8,,
2013/07/01,04,11,,,3,8,,
2013/07/01,05,14,,,3,10,,
2013/07/01,06,21,,,4,17,,
2013/07/01,07,19,,,4,15,,
2013/07/01,08,28,,,6,22,,
2013/07/01,09,154,,,117,34,,
2013/07/01,10,158,,,111,44,,
2013/07/01,11,160,,,110,47,,
2013/07/01,12,165,,,114,47,,
2013/07/01,13,160,,,112,45,,
2013/07/01,14,169,,,117,47,,
2013/07/01,15,167,,,117,47,,
2013/07/01,16,172,,,120,48,,
2013/07/01,17,173,,,119,51,,
2013/07/01,18,152,,,100,49,,
2013/07/01,19,138,,,94,41,,
2013/07/01,20,96,,,62,33,,
2013/07/01,21,69,,,47,21,,
2013/07/01,22,17,,,5,12,,
2013/07/01,23,12,,,3,9,,
2013/07/01,24,12,,,3,9,,
2013/07/02,01,12,,,3,8,,
2013/07/02,02,11,,,3,8,,
2013/07/02,03,12,,,3,8,,
2013/07/02,04,11,,,3,8,,
2013/07/02,05,14,,,3,10,,
2013/07/02,06,21,,,4,17,,
2013/07/02,07,19,,,4,14,,
2013/07/02,08,27,,,7,20,,
2013/07/02,09,146,,,109,34,,
2013/07/02,10,155,,,108,44,,
2013/07/02,11,155,,,106,45,,
2013/07/02,12,157,,,106,48,,
2013/07/02,13,158,,,109,46,,
2013/07/02,14,166,,,112,50,,
2013/07/02,15,162,,,110,48,,
2013/07/02,16,167,,,113,50,,
2013/07/02,17,163,,,107,53,,
2013/07/02,18,151,,,97,51,,
2013/07/02,19,94,,,52,40,,
2013/07/02,20,81,,,49,30,,
2013/07/02,21,69,,,48,20,,
2013/07/02,22,19,,,4,14,,
2013/07/02,23,15,,,3,12,,
2013/07/02,24,14,,,4,10,,
2013/07/03,01,11,,,3,8,,
2013/07/03,02,11,,,3,8,,
2013/07/03,03,11,,,3,8,,
2013/07/03,04,11,,,3,8,,
2013/07/03,05,15,,,4,11,,
2013/07/03,06,21,,,4,17,,
2013/07/03,07,20,,,5,14,,
2013/07/03,08,26,,,5,20,,
2013/07/03,09,136,,,99,33,,
2013/07/03,10,165,,,118,45,,
2013/07/03,11,168,,,116,48,,
2013/07/03,12,166,,,112,50,,
2013/07/03,13,160,,,111,44,,
2013/07/03,14,156,,,106,47,,
2013/07/03,15,153,,,102,48,,
2013/07/03,16,160,,,107,50,,
2013/07/03,17,161,,,104,54,,
2013/07/03,18,152,,,96,53,,
2013/07/03,19,107,,,66,39,,
2013/07/03,20,74,,,47,27,,
2013/07/03,21,65,,,45,19,,
2013/07/03,22,16,,,4,12,,
2013/07/03,23,12,,,3,9,,
2013/07/03,24,13,,,3,9,,
2013/07/04,01,12,,,3,8,,
2013/07/04,02,12,,,3,8,,
2013/07/04,03,11,,,3,8,,
2013/07/04,04,12,,,3,8,,
2013/07/04,05,12,,,3,9,,
2013/07/04,06,24,,,5,19,,
2013/07/04,07,22,,,4,17,,
2013/07/04,08,28,,,6,21,,
2013/07/04,09,149,,,113,33,,
2013/07/04,10,156,,,108,44,,
2013/07/04,11,163,,,111,49,,
2013/07/04,12,166,,,112,51,,
2013/07/04,13,160,,,110,46,,
2013/07/04,14,165,,,113,48,,
2013/07/04,15,169,,,113,53,,
2013/07/04,16,175,,,118,53,,
2013/07/04,17,174,,,116,55,,
2013/07/04,18,163,,,104,56,,
2013/07/04,19,143,,,95,45,,
2013/07/04,20,97,,,63,33,,
