計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/08/01,01,15,,,2,4,,
2013/08/01,02,15,,,3,4,,
2013/08/01,03,16,,,4,4,,
2013/08/01,04,15,,,2,4,,
2013/08/01,05,16,,,3,4,,
2013/08/01,06,15,,,3,4,,
2013/08/01,07,14,,,3,4,,
2013/08/01,08,20,,,3,4,,
2013/08/01,09,38,,,4,15,,
2013/08/01,10,79,,,12,19,,
2013/08/01,11,158,,,56,21,,
2013/08/01,12,166,,,81,24,,
2013/08/01,13,170,,,80,28,,
2013/08/01,14,170,,,85,28,,
2013/08/01,15,165,,,84,25,,
2013/08/01,16,135,,,79,23,,
2013/08/01,17,111,,,52,20,,
2013/08/01,18,98,,,49,16,,
2013/08/01,19,93,,,48,10,,
2013/08/01,20,66,,,45,10,,
2013/08/01,21,26,,,14,4,,
2013/08/01,22,16,,,6,3,,
2013/08/01,23,17,,,5,3,,
2013/08/01,24,18,,,5,4,,
2013/08/02,01,16,,,5,3,,
2013/08/02,02,15,,,3,3,,
2013/08/02,03,15,,,4,3,,
2013/08/02,04,15,,,3,3,,
2013/08/02,05,16,,,5,3,,
2013/08/02,06,17,,,5,3,,
2013/08/02,07,16,,,5,3,,
2013/08/02,08,21,,,4,3,,
2013/08/02,09,35,,,6,15,,
2013/08/02,10,56,,,8,19,,
2013/08/02,11,112,,,41,20,,
2013/08/02,12,113,,,50,19,,
2013/08/02,13,117,,,46,29,,
2013/08/02,14,114,,,44,30,,
2013/08/02,15,112,,,43,26,,
2013/08/02,16,127,,,43,24,,
2013/08/02,17,108,,,65,23,,
2013/08/02,18,55,,,37,14,,
2013/08/02,19,53,,,14,7,,
2013/08/02,20,67,,,22,7,,
2013/08/02,21,43,,,23,6,,
2013/08/02,22,18,,,9,5,,
2013/08/02,23,15,,,3,3,,
2013/08/02,24,15,,,3,4,,
2013/08/03,01,15,,,3,3,,
2013/08/03,02,14,,,2,3,,
2013/08/03,03,15,,,3,3,,
2013/08/03,04,16,,,3,3,,
2013/08/03,05,16,,,4,3,,
2013/08/03,06,16,,,4,3,,
2013/08/03,07,14,,,3,3,,
2013/08/03,08,15,,,2,3,,
2013/08/03,09,53,,,7,4,,
2013/08/03,10,104,,,34,17,,
2013/08/03,11,162,,,55,26,,
2013/08/03,12,172,,,87,30,,
2013/08/03,13,169,,,83,27,,
2013/08/03,14,164,,,81,25,,
2013/08/03,15,140,,,76,23,,
2013/08/03,16,118,,,52,24,,
2013/08/03,17,134,,,49,25,,
2013/08/03,18,135,,,51,26,,
2013/08/03,19,130,,,50,25,,
2013/08/03,20,138,,,44,25,,
2013/08/03,21,120,,,48,24,,
2013/08/03,22,115,,,47,18,,
2013/08/03,23,81,,,49,17,,
2013/08/03,24,26,,,12,8,,
2013/08/04,01,15,,,4,3,,
2013/08/04,02,15,,,4,3,,
2013/08/04,03,15,,,4,3,,
2013/08/04,04,15,,,4,3,,
2013/08/04,05,17,,,4,3,,
2013/08/04,06,15,,,5,3,,
2013/08/04,07,16,,,4,3,,
2013/08/04,08,19,,,4,3,,
2013/08/04,09,36,,,5,13,,
2013/08/04,10,106,,,27,17,,
2013/08/04,11,128,,,63,19,,
2013/08/04,12,87,,,51,23,,
2013/08/04,13,81,,,20,23,,
2013/08/04,14,78,,,22,23,,
2013/08/04,15,78,,,21,21,,
