計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2014/01/01,01,48,,,26,20,,
2014/01/01,02,47,,,25,20,,
2014/01/01,03,46,,,25,20,,
2014/01/01,04,46,,,25,19,,
2014/01/01,05,47,,,27,19,,
2014/01/01,06,224,,,202,19,,
2014/01/01,07,239,,,216,20,,
2014/01/01,08,230,,,183,44,,
2014/01/01,09,297,,,141,156,,
2014/01/01,10,280,,,122,156,,
2014/01/01,11,260,,,102,158,,
2014/01/01,12,258,,,96,161,,
2014/01/01,13,259,,,98,160,,
2014/01/01,14,258,,,94,162,,
2014/01/01,15,254,,,93,161,,
2014/01/01,16,257,,,93,162,,
2014/01/01,17,267,,,98,168,,
2014/01/01,18,270,,,101,168,,
2014/01/01,19,248,,,80,167,,
2014/01/01,20,266,,,98,166,,
2014/01/01,21,259,,,99,158,,
2014/01/01,22,77,,,29,47,,
2014/01/01,23,44,,,25,17,,
2014/01/01,24,46,,,28,17,,
2014/01/02,01,45,,,26,17,,
2014/01/02,02,45,,,26,17,,
2014/01/02,03,45,,,26,17,,
2014/01/02,04,45,,,26,17,,
2014/01/02,05,45,,,26,18,,
2014/01/02,06,80,,,61,17,,
2014/01/02,07,263,,,241,17,,
2014/01/02,08,243,,,223,17,,
2014/01/02,09,268,,,190,77,,
2014/01/02,10,308,,,153,153,,
2014/01/02,11,306,,,144,160,,
2014/01/02,12,280,,,116,163,,
2014/01/02,13,278,,,112,164,,
2014/01/02,14,265,,,98,165,,
2014/01/02,15,262,,,96,165,,
2014/01/02,16,258,,,91,166,,
2014/01/02,17,266,,,97,167,,
2014/01/02,18,266,,,99,166,,
2014/01/02,19,267,,,100,165,,
2014/01/02,20,266,,,98,167,,
2014/01/02,21,266,,,100,164,,
2014/01/02,22,264,,,111,151,,
2014/01/02,23,156,,,34,121,,
2014/01/02,24,52,,,28,22,,
2014/01/03,01,50,,,29,20,,
2014/01/03,02,49,,,27,19,,
2014/01/03,03,47,,,26,19,,
2014/01/03,04,47,,,26,19,,
2014/01/03,05,48,,,26,20,,
2014/01/03,06,47,,,26,19,,
2014/01/03,07,48,,,26,20,,
2014/01/03,08,155,,,111,43,,
