計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/07/01,01,11,,,,2,,,
2013/07/01,02,11,,,,2,,,
2013/07/01,03,11,,,,2,,,
2013/07/01,04,11,,,,2,,,
2013/07/01,05,12,,,,3,,,
2013/07/01,06,11,,,,3,,,
2013/07/01,07,15,,,,4,,,
2013/07/01,08,12,,,,4,,,
2013/07/01,09,59,,,,19,,,
2013/07/01,10,107,,,,36,,,
2013/07/01,11,122,,,,41,,,
2013/07/01,12,117,,,,39,,,
2013/07/01,13,125,,,,40,,,
2013/07/01,14,165,,,,47,,,
2013/07/01,15,186,,,,49,,,
2013/07/01,16,151,,,,41,,,
2013/07/01,17,81,,,,24,,,
2013/07/01,18,74,,,,25,,,
2013/07/01,19,68,,,,24,,,
2013/07/01,20,85,,,,32,,,
2013/07/01,21,82,,,,28,,,
2013/07/01,22,45,,,,14,,,
2013/07/01,23,13,,,,4,,,
2013/07/01,24,11,,,,3,,,
2013/07/02,01,12,,,,3,,,
2013/07/02,02,12,,,,3,,,
2013/07/02,03,12,,,,3,,,
2013/07/02,04,11,,,,3,,,
2013/07/02,05,15,,,,5,,,
2013/07/02,06,12,,,,4,,,
2013/07/02,07,12,,,,5,,,
2013/07/02,08,11,,,,2,,,
2013/07/02,09,46,,,,11,,,
2013/07/02,10,57,,,,15,,,
2013/07/02,11,59,,,,16,,,
2013/07/02,12,58,,,,13,,,
2013/07/02,13,58,,,,14,,,
2013/07/02,14,56,,,,14,,,
2013/07/02,15,57,,,,14,,,
2013/07/02,16,58,,,,16,,,
2013/07/02,17,52,,,,14,,,
2013/07/02,18,14,,,,4,,,
2013/07/02,19,12,,,,3,,,
2013/07/02,20,15,,,,4,,,
2013/07/02,21,17,,,,5,,,
2013/07/02,22,15,,,,3,,,
2013/07/02,23,13,,,,3,,,
2013/07/02,24,11,,,,2,,,
2013/07/03,01,11,,,,2,,,
2013/07/03,02,11,,,,2,,,
2013/07/03,03,11,,,,3,,,
2013/07/03,04,11,,,,2,,,
2013/07/03,05,11,,,,3,,,
2013/07/03,06,12,,,,2,,,
2013/07/03,07,13,,,,1,,,
2013/07/03,08,13,,,,1,,,
2013/07/03,09,58,,,,6,,,
2013/07/03,10,74,,,,8,,,
2013/07/03,11,76,,,,8,,,
2013/07/03,12,77,,,,12,,,
2013/07/03,13,71,,,,18,,,
2013/07/03,14,73,,,,17,,,
2013/07/03,15,73,,,,19,,,
2013/07/03,16,74,,,,19,,,
2013/07/03,17,75,,,,26,,,
2013/07/03,18,78,,,,21,,,
2013/07/03,19,72,,,,20,,,
