計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/09/01,01,58,,,45,11,,
2013/09/01,02,58,,,44,11,,
2013/09/01,03,54,,,41,11,,
2013/09/01,04,56,,,43,11,,
2013/09/01,05,59,,,46,11,,
2013/09/01,06,58,,,42,13,,
2013/09/01,07,64,,,45,16,,
2013/09/01,08,84,,,51,31,,
2013/09/01,09,98,,,58,38,,
2013/09/01,10,113,,,65,47,,
2013/09/01,11,113,,,63,48,,
2013/09/01,12,109,,,59,48,,
2013/09/01,13,116,,,67,48,,
2013/09/01,14,117,,,68,48,,
2013/09/01,15,117,,,67,48,,
2013/09/01,16,113,,,64,48,,
2013/09/01,17,121,,,72,47,,
2013/09/01,18,117,,,67,48,,
2013/09/01,19,115,,,64,50,,
2013/09/01,20,109,,,56,51,,
2013/09/01,21,113,,,61,51,,
2013/09/01,22,110,,,59,50,,
2013/09/01,23,71,,,47,22,,
2013/09/01,24,54,,,40,13,,
2013/09/02,01,55,,,42,11,,
2013/09/02,02,54,,,41,11,,
2013/09/02,03,54,,,41,11,,
2013/09/02,04,54,,,42,10,,
2013/09/02,05,60,,,47,11,,
2013/09/02,06,59,,,45,13,,
2013/09/02,07,68,,,51,15,,
2013/09/02,08,91,,,58,30,,
2013/09/02,09,106,,,68,37,,
2013/09/02,10,117,,,68,47,,
2013/09/02,11,124,,,74,48,,
2013/09/02,12,115,,,66,48,,
2013/09/02,13,123,,,74,48,,
2013/09/02,14,119,,,70,47,,
2013/09/02,15,116,,,67,47,,
2013/09/02,16,113,,,64,47,,
2013/09/02,17,124,,,75,47,,
2013/09/02,18,116,,,67,47,,
2013/09/02,19,113,,,62,50,,
2013/09/02,20,108,,,56,51,,
2013/09/02,21,111,,,60,49,,
2013/09/02,22,111,,,60,49,,
2013/09/02,23,77,,,50,24,,
2013/09/02,24,56,,,40,13,,
2013/09/03,01,57,,,44,11,,
2013/09/03,02,53,,,40,11,,
2013/09/03,03,52,,,39,11,,
2013/09/03,04,53,,,40,11,,
2013/09/03,05,59,,,46,11,,
2013/09/03,06,59,,,43,13,,
2013/09/03,07,62,,,45,14,,
2013/09/03,08,84,,,53,30,,
2013/09/03,09,101,,,61,38,,
2013/09/03,10,113,,,65,47,,
2013/09/03,11,117,,,68,48,,
2013/09/03,12,107,,,58,48,,
2013/09/03,13,110,,,61,48,,
2013/09/03,14,107,,,58,47,,
2013/09/03,15,105,,,57,47,,
2013/09/03,16,105,,,57,47,,
2013/09/03,17,112,,,63,47,,
2013/09/03,18,107,,,58,48,,
2013/09/03,19,106,,,56,49,,
2013/09/03,20,101,,,50,50,,
2013/09/03,21,103,,,53,49,,
2013/09/03,22,101,,,51,49,,
2013/09/03,23,65,,,40,23,,
2013/09/03,24,48,,,34,13,,
2013/09/04,01,51,,,38,11,,
2013/09/04,02,48,,,35,11,,
2013/09/04,03,48,,,35,11,,
2013/09/04,04,47,,,35,11,,
2013/09/04,05,51,,,39,11,,
2013/09/04,06,53,,,37,13,,
2013/09/04,07,57,,,40,15,,
2013/09/04,08,77,,,45,31,,
2013/09/04,09,96,,,57,37,,
2013/09/04,10,109,,,61,47,,
2013/09/04,11,111,,,62,48,,
2013/09/04,12,98,,,49,48,,
2013/09/04,13,100,,,52,47,,
2013/09/04,14,96,,,48,48,,
2013/09/04,15,98,,,50,47,,
2013/09/04,16,99,,,50,47,,
2013/09/04,17,103,,,54,48,,
2013/09/04,18,101,,,52,48,,
2013/09/04,19,103,,,52,50,,
2013/09/04,20,100,,,48,51,,
2013/09/04,21,106,,,54,51,,
2013/09/04,22,103,,,52,51,,
2013/09/04,23,64,,,40,21,,
2013/09/04,24,47,,,33,13,,
2013/09/05,01,51,,,38,11,,
2013/09/05,02,47,,,34,11,,
2013/09/05,03,46,,,34,10,,
2013/09/05,04,45,,,32,11,,
2013/09/05,05,51,,,39,10,,
2013/09/05,06,51,,,36,14,,
2013/09/05,07,53,,,37,15,,
2013/09/05,08,81,,,47,33,,
2013/09/05,09,98,,,59,38,,
2013/09/05,10,113,,,64,47,,
2013/09/05,11,119,,,68,49,,
2013/09/05,12,112,,,62,49,,
2013/09/05,13,118,,,69,49,,
2013/09/05,14,110,,,62,47,,
2013/09/05,15,111,,,62,48,,
2013/09/05,16,108,,,60,47,,
2013/09/05,17,117,,,68,47,,
2013/09/05,18,113,,,64,48,,
2013/09/05,19,112,,,62,49,,
2013/09/05,20,105,,,54,50,,
2013/09/05,21,109,,,58,49,,
2013/09/05,22,105,,,55,49,,
2013/09/05,23,63,,,43,18,,
2013/09/05,24,51,,,37,13,,
2013/09/06,01,52,,,39,11,,
2013/09/06,02,49,,,36,11,,
2013/09/06,03,51,,,38,11,,
2013/09/06,04,48,,,35,11,,
2013/09/06,05,55,,,42,11,,
2013/09/06,06,51,,,37,12,,
2013/09/06,07,54,,,37,15,,
2013/09/06,08,68,,,43,24,,
2013/09/06,09,96,,,60,35,,
2013/09/06,10,115,,,66,48,,
2013/09/06,11,124,,,72,49,,
2013/09/06,12,120,,,70,49,,
2013/09/06,13,125,,,75,48,,
2013/09/06,14,122,,,72,48,,
2013/09/06,15,120,,,70,48,,
2013/09/06,16,110,,,62,47,,
2013/09/06,17,121,,,70,49,,
2013/09/06,18,115,,,66,48,,
2013/09/06,19,115,,,64,50,,
2013/09/06,20,111,,,58,51,,
2013/09/06,21,112,,,60,51,,
2013/09/06,22,107,,,57,50,,
2013/09/06,23,68,,,46,20,,
2013/09/06,24,53,,,39,13,,
2013/09/07,01,54,,,41,11,,
2013/09/07,02,50,,,38,11,,
2013/09/07,03,51,,,39,11,,
2013/09/07,04,50,,,37,11,,
2013/09/07,05,56,,,43,11,,
2013/09/07,06,51,,,38,11,,
2013/09/07,07,53,,,38,12,,
2013/09/07,08,77,,,48,27,,
2013/09/07,09,94,,,56,35,,
2013/09/07,10,107,,,58,48,,
2013/09/07,11,112,,,63,48,,
2013/09/07,12,106,,,58,48,,
2013/09/07,13,112,,,63,48,,
2013/09/07,14,107,,,58,48,,
2013/09/07,15,109,,,60,48,,
2013/09/07,16,106,,,57,48,,
2013/09/07,17,114,,,64,48,,
2013/09/07,18,108,,,58,48,,
2013/09/07,19,109,,,58,50,,
2013/09/07,20,103,,,52,50,,
2013/09/07,21,109,,,58,50,,
2013/09/07,22,105,,,54,49,,
2013/09/07,23,61,,,43,16,,
2013/09/07,24,53,,,38,13,,
2013/09/08,01,54,,,41,11,,
2013/09/08,02,51,,,38,11,,
2013/09/08,03,52,,,40,11,,
2013/09/08,04,48,,,36,11,,
2013/09/08,05,54,,,41,11,,
2013/09/08,06,54,,,39,13,,
2013/09/08,07,57,,,40,15,,
2013/09/08,08,80,,,49,29,,
2013/09/08,09,97,,,56,40,,
2013/09/08,10,107,,,58,48,,
2013/09/08,11,114,,,65,48,,
2013/09/08,12,109,,,60,48,,
2013/09/08,13,115,,,65,48,,
2013/09/08,14,112,,,63,48,,
2013/09/08,15,116,,,66,49,,
2013/09/08,16,113,,,64,48,,
2013/09/08,17,121,,,71,48,,
2013/09/08,18,114,,,64,48,,
2013/09/08,19,115,,,64,50,,
2013/09/08,20,109,,,56,51,,
2013/09/08,21,110,,,59,50,,
2013/09/08,22,103,,,53,49,,
2013/09/08,23,66,,,44,21,,
2013/09/08,24,52,,,37,13,,
2013/09/09,01,52,,,39,11,,
2013/09/09,02,50,,,37,11,,
2013/09/09,03,50,,,38,11,,
2013/09/09,04,46,,,34,11,,
2013/09/09,05,54,,,41,11,,
2013/09/09,06,51,,,36,13,,
2013/09/09,07,54,,,37,15,,
2013/09/09,08,80,,,48,30,,
2013/09/09,09,98,,,59,37,,
2013/09/09,10,113,,,63,48,,
2013/09/09,11,122,,,71,49,,
2013/09/09,12,120,,,70,49,,
2013/09/09,13,124,,,74,49,,
2013/09/09,14,119,,,69,48,,
2013/09/09,15,120,,,70,48,,
2013/09/09,16,115,,,66,48,,
2013/09/09,17,122,,,72,48,,
2013/09/09,18,115,,,65,48,,
2013/09/09,19,114,,,62,50,,
2013/09/09,20,109,,,56,51,,
2013/09/09,21,112,,,60,50,,
2013/09/09,22,106,,,55,50,,
2013/09/09,23,69,,,45,22,,
2013/09/09,24,54,,,39,13,,
2013/09/10,01,54,,,41,11,,
2013/09/10,02,51,,,38,11,,
2013/09/10,03,51,,,38,11,,
2013/09/10,04,49,,,36,11,,
2013/09/10,05,55,,,42,11,,
2013/09/10,06,52,,,38,11,,
2013/09/10,07,53,,,38,12,,
2013/09/10,08,80,,,49,30,,
2013/09/10,09,99,,,60,37,,
2013/09/10,10,112,,,63,48,,
2013/09/10,11,124,,,73,49,,
2013/09/10,12,119,,,68,49,,
2013/09/10,13,123,,,73,49,,
2013/09/10,14,119,,,69,48,,
2013/09/10,15,118,,,69,48,,
2013/09/10,16,115,,,66,48,,
2013/09/10,17,124,,,74,48,,
2013/09/10,18,116,,,67,48,,
2013/09/10,19,114,,,63,50,,
2013/09/10,20,110,,,58,51,,
2013/09/10,21,115,,,63,51,,
2013/09/10,22,108,,,58,50,,
2013/09/10,23,64,,,45,17,,
2013/09/10,24,56,,,42,13,,
2013/09/11,01,53,,,40,11,,
2013/09/11,02,53,,,40,11,,
2013/09/11,03,54,,,41,11,,
2013/09/11,04,51,,,38,11,,
2013/09/11,05,55,,,43,11,,
2013/09/11,06,54,,,40,12,,
2013/09/11,07,57,,,40,15,,
2013/09/11,08,81,,,49,30,,
2013/09/11,09,100,,,61,37,,
2013/09/11,10,117,,,67,49,,
2013/09/11,11,125,,,74,50,,
2013/09/11,12,124,,,72,50,,
2013/09/11,13,128,,,76,50,,
2013/09/11,14,121,,,71,48,,
2013/09/11,15,120,,,70,49,,
2013/09/11,16,116,,,65,49,,
2013/09/11,17,120,,,70,48,,
2013/09/11,18,120,,,69,49,,
2013/09/11,19,116,,,64,51,,
2013/09/11,20,112,,,60,52,,
2013/09/11,21,115,,,62,52,,
2013/09/11,22,110,,,58,51,,
2013/09/11,23,72,,,48,22,,
2013/09/11,24,58,,,43,13,,
2013/09/12,01,55,,,42,11,,
2013/09/12,02,55,,,42,11,,
2013/09/12,03,54,,,41,11,,
2013/09/12,04,54,,,41,11,,
2013/09/12,05,58,,,45,11,,
2013/09/12,06,57,,,42,14,,
2013/09/12,07,61,,,44,15,,
2013/09/12,08,87,,,55,30,,
2013/09/12,09,101,,,64,35,,
2013/09/12,10,117,,,67,48,,
2013/09/12,11,128,,,76,50,,
2013/09/12,12,128,,,77,49,,
2013/09/12,13,131,,,79,49,,
2013/09/12,14,128,,,77,48,,
2013/09/12,15,125,,,75,48,,
2013/09/12,16,122,,,72,48,,
2013/09/12,17,127,,,77,48,,
2013/09/12,18,121,,,72,48,,
2013/09/12,19,118,,,65,50,,
2013/09/12,20,116,,,63,51,,
2013/09/12,21,116,,,64,50,,
2013/09/12,22,110,,,60,48,,
2013/09/12,23,68,,,49,17,,
2013/09/12,24,61,,,45,13,,
2013/09/13,01,58,,,45,11,,
2013/09/13,02,57,,,44,11,,
2013/09/13,03,55,,,42,11,,
2013/09/13,04,54,,,42,11,,
2013/09/13,05,58,,,46,11,,
2013/09/13,06,59,,,44,13,,
2013/09/13,07,62,,,45,15,,
2013/09/13,08,96,,,61,33,,
2013/09/13,09,104,,,65,38,,
2013/09/13,10,121,,,71,49,,
2013/09/13,11,128,,,77,49,,
2013/09/13,12,133,,,81,50,,
2013/09/13,13,133,,,82,50,,
2013/09/13,14,129,,,78,49,,
2013/09/13,15,129,,,79,48,,
2013/09/13,16,125,,,74,49,,
2013/09/13,17,132,,,82,49,,
2013/09/13,18,125,,,75,48,,
2013/09/13,19,123,,,70,50,,
2013/09/13,20,121,,,67,52,,
2013/09/13,21,119,,,66,51,,
