計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/10/01,01,54,1,,,,,
2013/10/01,02,52,1,,,,,
2013/10/01,03,51,1,,,,,
2013/10/01,04,54,1,,,,,
2013/10/01,05,52,1,,,,,
2013/10/01,06,53,1,,,,,
2013/10/01,07,54,2,,,,,
2013/10/01,08,60,4,,,,,
2013/10/01,09,83,9,,,,,
2013/10/01,10,105,12,,,,,
2013/10/01,11,108,11,,,,,
2013/10/01,12,106,11,,,,,
2013/10/01,13,107,11,,,,,
2013/10/01,14,113,12,,,,,
2013/10/01,15,113,12,,,,,
2013/10/01,16,113,12,,,,,
2013/10/01,17,108,11,,,,,
2013/10/01,18,103,9,,,,,
2013/10/01,19,88,8,,,,,
2013/10/01,20,75,5,,,,,
2013/10/01,21,70,5,,,,,
2013/10/01,22,66,4,,,,,
2013/10/01,23,62,4,,,,,
2013/10/01,24,59,3,,,,,
2013/10/02,01,56,2,,,,,
2013/10/02,02,55,2,,,,,
2013/10/02,03,54,2,,,,,
2013/10/02,04,54,2,,,,,
2013/10/02,05,55,2,,,,,
2013/10/02,06,55,2,,,,,
2013/10/02,07,52,2,,,,,
2013/10/02,08,60,3,,,,,
2013/10/02,09,79,7,,,,,
2013/10/02,10,104,12,,,,,
2013/10/02,11,107,10,,,,,
2013/10/02,12,100,10,,,,,
2013/10/02,13,103,10,,,,,
2013/10/02,14,107,12,,,,,
2013/10/02,15,103,9,,,,,
2013/10/02,16,108,10,,,,,
2013/10/02,17,108,13,,,,,
2013/10/02,18,98,7,,,,,
2013/10/02,19,87,6,,,,,
2013/10/02,20,76,5,,,,,
2013/10/02,21,68,3,,,,,
2013/10/02,22,59,2,,,,,
2013/10/02,23,53,1,,,,,
2013/10/02,24,53,1,,,,,
2013/10/03,01,53,1,,,,,
2013/10/03,02,53,1,,,,,
2013/10/03,03,53,1,,,,,
2013/10/03,04,53,1,,,,,
2013/10/03,05,51,1,,,,,
2013/10/03,06,52,1,,,,,
2013/10/03,07,54,2,,,,,
2013/10/03,08,60,4,,,,,
2013/10/03,09,75,5,,,,,
2013/10/03,10,92,5,,,,,
2013/10/03,11,91,5,,,,,
2013/10/03,12,92,5,,,,,
2013/10/03,13,91,6,,,,,
2013/10/03,14,96,6,,,,,
2013/10/03,15,97,6,,,,,
2013/10/03,16,96,6,,,,,
2013/10/03,17,93,6,,,,,
2013/10/03,18,87,4,,,,,
