計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2014/01/01,01,8,,,3,5,,
2014/01/01,02,8,,,3,5,,
2014/01/01,03,8,,,3,5,,
2014/01/01,04,7,,,2,5,,
2014/01/01,05,7,,,2,5,,
2014/01/01,06,7,,,2,5,,
2014/01/01,07,13,,,2,11,,
2014/01/01,08,33,,,2,31,,
2014/01/01,09,37,,,4,33,,
2014/01/01,10,61,,,14,47,,
2014/01/01,11,111,,,29,82,,
2014/01/01,12,99,,,15,84,,
2014/01/01,13,96,,,12,84,,
2014/01/01,14,101,,,17,84,,
2014/01/01,15,102,,,18,84,,
2014/01/01,16,96,,,11,85,,
2014/01/01,17,101,,,11,90,,
2014/01/01,18,99,,,9,90,,
2014/01/01,19,94,,,7,87,,
2014/01/01,20,92,,,7,85,,
2014/01/01,21,84,,,8,76,,
2014/01/01,22,31,,,2,29,,
2014/01/01,23,33,,,2,31,,
2014/01/01,24,23,,,2,21,,
2014/01/02,01,8,,,3,5,,
2014/01/02,02,7,,,2,5,,
2014/01/02,03,6,,,2,4,,
2014/01/02,04,6,,,2,4,,
2014/01/02,05,7,,,2,5,,
2014/01/02,06,7,,,2,5,,
2014/01/02,07,14,,,2,12,,
2014/01/02,08,35,,,2,33,,
2014/01/02,09,40,,,6,34,,
2014/01/02,10,92,,,33,59,,
2014/01/02,11,109,,,27,82,,
2014/01/02,12,106,,,23,83,,
2014/01/02,13,105,,,22,83,,
2014/01/02,14,101,,,16,85,,
2014/01/02,15,98,,,14,84,,
2014/01/02,16,94,,,10,84,,
2014/01/02,17,100,,,10,90,,
2014/01/02,18,103,,,13,90,,
2014/01/02,19,100,,,9,91,,
2014/01/02,20,97,,,9,88,,
2014/01/02,21,101,,,14,87,,
2014/01/02,22,97,,,9,88,,
2014/01/02,23,94,,,8,86,,
2014/01/02,24,84,,,5,79,,
2014/01/03,01,28,,,2,26,,
2014/01/03,02,12,,,2,10,,
2014/01/03,03,26,,,2,24,,
2014/01/03,04,6,,,2,4,,
2014/01/03,05,6,,,2,4,,
2014/01/03,06,7,,,2,5,,
2014/01/03,07,18,,,2,16,,
2014/01/03,08,36,,,3,33,,
2014/01/03,09,42,,,7,35,,
2014/01/03,10,89,,,23,66,,
2014/01/03,11,105,,,25,80,,
2014/01/03,12,97,,,15,82,,
2014/01/03,13,93,,,10,83,,
2014/01/03,14,92,,,9,83,,
2014/01/03,15,93,,,10,83,,
2014/01/03,16,91,,,9,82,,
2014/01/03,17,97,,,9,88,,
2014/01/03,18,97,,,9,88,,
2014/01/03,19,96,,,8,88,,
2014/01/03,20,99,,,9,90,,
2014/01/03,21,98,,,9,89,,
2014/01/03,22,95,,,8,87,,
2014/01/03,23,96,,,9,87,,
2014/01/03,24,83,,,5,78,,
2014/01/04,01,42,,,3,39,,
2014/01/04,02,33,,,3,30,,
2014/01/04,03,32,,,3,29,,
2014/01/04,04,7,,,2,5,,
2014/01/04,05,6,,,2,4,,
2014/01/04,06,7,,,2,5,,
2014/01/04,07,22,,,3,19,,
2014/01/04,08,62,,,4,58,,
2014/01/04,09,85,,,8,77,,
2014/01/04,10,97,,,17,80,,
2014/01/04,11,98,,,18,80,,
2014/01/04,12,93,,,11,82,,
2014/01/04,13,91,,,9,82,,
2014/01/04,14,90,,,9,81,,
2014/01/04,15,94,,,14,80,,
2014/01/04,16,91,,,9,82,,
2014/01/04,17,97,,,9,88,,
2014/01/04,18,98,,,10,88,,
2014/01/04,19,99,,,11,88,,
2014/01/04,20,96,,,9,87,,
2014/01/04,21,97,,,11,86,,
2014/01/04,22,96,,,9,87,,
2014/01/04,23,94,,,10,84,,
2014/01/04,24,87,,,9,78,,
2014/01/05,01,69,,,3,66,,
2014/01/05,02,68,,,3,65,,
2014/01/05,03,68,,,3,65,,
2014/01/05,04,16,,,3,13,,
2014/01/05,05,6,,,2,4,,
2014/01/05,06,7,,,2,5,,
2014/01/05,07,15,,,4,11,,
2014/01/05,08,64,,,15,49,,
2014/01/05,09,110,,,28,82,,
2014/01/05,10,101,,,18,83,,
2014/01/05,11,92,,,9,83,,
2014/01/05,12,93,,,10,83,,
2014/01/05,13,97,,,14,83,,
2014/01/05,14,92,,,9,83,,
2014/01/05,15,92,,,9,83,,
2014/01/05,16,93,,,9,84,,
2014/01/05,17,100,,,11,89,,
2014/01/05,18,98,,,9,89,,
2014/01/05,19,101,,,12,89,,
2014/01/05,20,103,,,13,90,,
2014/01/05,21,97,,,8,89,,
2014/01/05,22,99,,,10,89,,
2014/01/05,23,95,,,10,85,,
2014/01/05,24,88,,,9,79,,
2014/01/06,01,64,,,4,60,,
2014/01/06,02,34,,,4,30,,
2014/01/06,03,30,,,4,26,,
2014/01/06,04,8,,,3,5,,
2014/01/06,05,8,,,3,5,,
2014/01/06,06,8,,,3,5,,
2014/01/06,07,21,,,3,18,,
2014/01/06,08,35,,,3,32,,
2014/01/06,09,37,,,4,33,,
2014/01/06,10,73,,,24,49,,
2014/01/06,11,109,,,26,83,,
2014/01/06,12,102,,,18,84,,
2014/01/06,13,94,,,10,84,,
2014/01/06,14,98,,,14,84,,
2014/01/06,15,98,,,14,84,,
2014/01/06,16,94,,,10,84,,
2014/01/06,17,101,,,10,91,,
2014/01/06,18,101,,,11,90,,
2014/01/06,19,102,,,11,91,,
2014/01/06,20,100,,,10,90,,
2014/01/06,21,102,,,12,90,,
2014/01/06,22,99,,,9,90,,
2014/01/06,23,100,,,12,88,,
2014/01/06,24,85,,,6,79,,
2014/01/07,01,71,,,5,66,,
2014/01/07,02,70,,,4,66,,
2014/01/07,03,70,,,4,66,,
2014/01/07,04,59,,,5,54,,
