計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/07/01,01,4,2,0,,,,,
2013/07/01,02,4,2,0,,,,,
2013/07/01,03,4,2,0,,,,,
2013/07/01,04,4,2,0,,,,,
2013/07/01,05,4,2,0,,,,,
2013/07/01,06,3,1,0,,,,,
2013/07/01,07,3,1,0,,,,,
2013/07/01,08,1,1,0,,,,,
2013/07/01,09,16,12,2,,,,,
2013/07/01,10,36,19,4,,,,,
2013/07/01,11,36,19,4,,,,,
2013/07/01,12,34,18,4,,,,,
2013/07/01,13,37,18,4,,,,,
2013/07/01,14,48,20,19,,,,,
2013/07/01,15,70,20,24,,,,,
2013/07/01,16,110,23,26,,,,,
2013/07/01,17,111,23,26,,,,,
2013/07/01,18,102,16,18,,,,,
2013/07/01,19,79,1,0,,,,,
2013/07/01,20,11,2,0,,,,,
2013/07/01,21,5,2,0,,,,,
2013/07/01,22,4,2,0,,,,,
2013/07/01,23,51,2,0,,,,,
2013/07/01,24,57,2,0,,,,,
2013/07/02,01,55,2,0,,,,,
2013/07/02,02,53,2,0,,,,,
2013/07/02,03,52,2,0,,,,,
2013/07/02,04,52,2,0,,,,,
2013/07/02,05,52,2,0,,,,,
2013/07/02,06,51,1,0,,,,,
2013/07/02,07,51,1,0,,,,,
2013/07/02,08,2,1,0,,,,,
2013/07/02,09,4,1,0,,,,,
2013/07/02,10,15,1,0,,,,,
2013/07/02,11,15,1,0,,,,,
2013/07/02,12,14,1,0,,,,,
2013/07/02,13,14,1,0,,,,,
2013/07/02,14,18,1,0,,,,,
2013/07/02,15,20,1,0,,,,,
2013/07/02,16,43,1,0,,,,,
2013/07/02,17,60,1,0,,,,,
2013/07/02,18,55,1,0,,,,,
2013/07/02,19,52,1,0,,,,,
2013/07/02,20,7,3,0,,,,,
2013/07/02,21,5,2,0,,,,,
2013/07/02,22,4,2,0,,,,,
2013/07/02,23,46,2,0,,,,,
2013/07/02,24,4,2,0,,,,,
2013/07/03,01,4,2,0,,,,,
2013/07/03,02,4,2,0,,,,,
2013/07/03,03,4,2,0,,,,,
2013/07/03,04,4,2,0,,,,,
2013/07/03,05,4,2,0,,,,,
2013/07/03,06,4,1,0,,,,,
2013/07/03,07,4,1,0,,,,,
2013/07/03,08,3,1,0,,,,,
2013/07/03,09,26,18,5,,,,,
2013/07/03,10,55,21,22,,,,,
2013/07/03,11,55,22,24,,,,,
2013/07/03,12,54,21,24,,,,,
2013/07/03,13,55,22,24,,,,,
2013/07/03,14,55,22,22,,,,,
2013/07/03,15,57,22,24,,,,,
2013/07/03,16,60,25,24,,,,,
2013/07/03,17,61,24,25,,,,,
2013/07/03,18,37,15,14,,,,,
2013/07/03,19,4,2,0,,,,,
2013/07/03,20,5,2,0,,,,,
2013/07/03,21,5,2,0,,,,,
2013/07/03,22,4,2,0,,,,,
2013/07/03,23,49,2,0,,,,,
2013/07/03,24,54,2,0,,,,,
2013/07/04,01,53,2,0,,,,,
2013/07/04,02,53,2,0,,,,,
2013/07/04,03,53,2,0,,,,,
2013/07/04,04,50,2,0,,,,,
2013/07/04,05,5,2,0,,,,,
2013/07/04,06,4,1,0,,,,,
2013/07/04,07,4,1,0,,,,,
2013/07/04,08,4,1,0,,,,,
2013/07/04,09,34,20,8,,,,,
2013/07/04,10,56,22,22,,,,,
2013/07/04,11,58,21,28,,,,,
2013/07/04,12,58,21,26,,,,,
2013/07/04,13,54,21,24,,,,,
2013/07/04,14,55,21,23,,,,,
2013/07/04,15,55,20,23,,,,,
2013/07/04,16,56,21,23,,,,,
2013/07/04,17,56,21,23,,,,,
2013/07/04,18,33,12,13,,,,,
2013/07/04,19,4,1,0,,,,,
2013/07/04,20,5,3,0,,,,,
2013/07/04,21,5,2,0,,,,,
2013/07/04,22,4,2,0,,,,,
2013/07/04,23,49,2,0,,,,,
2013/07/04,24,53,2,0,,,,,
2013/07/05,01,53,2,0,,,,,
2013/07/05,02,53,2,0,,,,,
2013/07/05,03,50,2,0,,,,,
2013/07/05,04,5,2,0,,,,,
2013/07/05,05,4,2,0,,,,,
2013/07/05,06,4,1,0,,,,,
2013/07/05,07,4,1,0,,,,,
2013/07/05,08,4,1,0,,,,,
2013/07/05,09,23,18,4,,,,,
2013/07/05,10,35,18,10,,,,,
2013/07/05,11,48,20,17,,,,,
2013/07/05,12,47,20,16,,,,,
2013/07/05,13,49,21,18,,,,,
2013/07/05,14,50,20,18,,,,,
2013/07/05,15,52,21,19,,,,,
2013/07/05,16,53,22,19,,,,,
