計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/05/01,01,3,,,2,0,,
2013/05/01,02,3,,,3,0,,
2013/05/01,03,3,,,2,0,,
2013/05/01,04,3,,,2,0,,
2013/05/01,05,3,,,2,0,,
2013/05/01,06,3,,,3,0,,
2013/05/01,07,3,,,2,0,,
2013/05/01,08,3,,,3,0,,
2013/05/01,09,3,,,2,0,,
2013/05/01,10,4,,,3,0,,
2013/05/01,11,64,,,5,58,,
2013/05/01,12,66,,,6,59,,
2013/05/01,13,66,,,5,59,,
2013/05/01,14,66,,,6,59,,
2013/05/01,15,67,,,5,60,,
2013/05/01,16,66,,,5,60,,
2013/05/01,17,67,,,5,60,,
2013/05/01,18,73,,,5,66,,
2013/05/01,19,78,,,6,70,,
2013/05/01,20,78,,,6,70,,
2013/05/01,21,30,,,4,25,,
2013/05/01,22,3,,,3,0,,
2013/05/01,23,3,,,2,0,,
2013/05/01,24,3,,,3,0,,
2013/05/02,01,4,,,3,0,,
2013/05/02,02,3,,,2,0,,
2013/05/02,03,3,,,3,0,,
2013/05/02,04,3,,,2,0,,
2013/05/02,05,3,,,3,0,,
2013/05/02,06,3,,,2,0,,
2013/05/02,07,3,,,3,0,,
2013/05/02,08,3,,,3,0,,
2013/05/02,09,3,,,3,0,,
2013/05/02,10,11,,,3,7,,
2013/05/02,11,65,,,5,59,,
2013/05/02,12,66,,,5,59,,
2013/05/02,13,67,,,6,60,,
2013/05/02,14,72,,,11,59,,
2013/05/02,15,67,,,6,59,,
2013/05/02,16,67,,,6,59,,
2013/05/02,17,66,,,5,59,,
2013/05/02,18,66,,,6,59,,
2013/05/02,19,79,,,6,71,,
2013/05/02,20,78,,,5,72,,
2013/05/02,21,62,,,5,55,,
2013/05/02,22,9,,,3,6,,
2013/05/02,23,3,,,2,0,,
2013/05/02,24,3,,,2,0,,
2013/05/03,01,3,,,3,0,,
2013/05/03,02,3,,,2,0,,
2013/05/03,03,3,,,3,0,,
2013/05/03,04,3,,,2,0,,
2013/05/03,05,3,,,2,0,,
2013/05/03,06,3,,,2,0,,
2013/05/03,07,3,,,3,0,,
2013/05/03,08,3,,,2,0,,
2013/05/03,09,3,,,3,0,,
2013/05/03,10,31,,,3,26,,
2013/05/03,11,66,,,5,59,,
2013/05/03,12,67,,,6,60,,
2013/05/03,13,67,,,6,60,,
2013/05/03,14,68,,,6,60,,
2013/05/03,15,67,,,6,59,,
2013/05/03,16,69,,,9,59,,
2013/05/03,17,72,,,10,60,,
2013/05/03,18,70,,,9,60,,
2013/05/03,19,81,,,8,71,,
2013/05/03,20,81,,,9,70,,
2013/05/03,21,69,,,9,59,,
2013/05/03,22,30,,,8,21,,
2013/05/03,23,11,,,5,6,,
2013/05/03,24,3,,,3,0,,
2013/05/04,01,4,,,3,0,,
2013/05/04,02,3,,,3,0,,
2013/05/04,03,3,,,3,0,,
2013/05/04,04,3,,,3,0,,
2013/05/04,05,3,,,3,0,,
2013/05/04,06,4,,,3,0,,
2013/05/04,07,3,,,3,0,,
2013/05/04,08,3,,,3,0,,
2013/05/04,09,3,,,3,0,,
2013/05/04,10,29,,,3,25,,
2013/05/04,11,66,,,5,60,,
2013/05/04,12,67,,,5,60,,
2013/05/04,13,67,,,6,60,,
2013/05/04,14,67,,,6,59,,
2013/05/04,15,67,,,6,59,,
2013/05/04,16,67,,,6,59,,
2013/05/04,17,67,,,6,59,,
2013/05/04,18,67,,,6,59,,
2013/05/04,19,78,,,6,71,,
2013/05/04,20,78,,,6,71,,
2013/05/04,21,70,,,5,62,,
2013/05/04,22,53,,,4,48,,
2013/05/04,23,4,,,3,0,,
2013/05/04,24,4,,,3,0,,
2013/05/05,01,4,,,3,0,,
2013/05/05,02,4,,,3,0,,
2013/05/05,03,4,,,3,0,,
2013/05/05,04,4,,,3,0,,
2013/05/05,05,4,,,3,0,,
2013/05/05,06,4,,,3,0,,
2013/05/05,07,4,,,3,0,,
2013/05/05,08,4,,,3,0,,
2013/05/05,09,4,,,3,0,,
2013/05/05,10,12,,,4,7,,
2013/05/05,11,66,,,5,59,,
2013/05/05,12,65,,,5,59,,
2013/05/05,13,66,,,5,59,,
2013/05/05,14,66,,,5,59,,
2013/05/05,15,68,,,7,60,,
2013/05/05,16,69,,,7,60,,
2013/05/05,17,68,,,7,59,,
2013/05/05,18,67,,,7,59,,
2013/05/05,19,79,,,6,71,,
2013/05/05,20,81,,,6,73,,
2013/05/05,21,49,,,5,43,,
2013/05/05,22,3,,,3,0,,
