計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/11/01,01,174,1,,,,,
2013/11/01,02,172,1,,,,,
2013/11/01,03,173,1,,,,,
2013/11/01,04,173,1,,,,,
2013/11/01,05,180,1,,,,,
2013/11/01,06,188,1,,,,,
2013/11/01,07,223,1,,,,,
2013/11/01,08,239,2,,,,,
2013/11/01,09,304,3,,,,,
2013/11/01,10,358,3,,,,,
2013/11/01,11,369,3,,,,,
2013/11/01,12,367,3,,,,,
2013/11/01,13,362,2,,,,,
2013/11/01,14,352,2,,,,,
2013/11/01,15,373,2,,,,,
2013/11/01,16,360,1,,,,,
2013/11/01,17,359,1,,,,,
2013/11/01,18,358,2,,,,,
2013/11/01,19,354,1,,,,,
2013/11/01,20,337,1,,,,,
2013/11/01,21,292,1,,,,,
2013/11/01,22,227,1,,,,,
2013/11/01,23,191,1,,,,,
2013/11/01,24,183,1,,,,,
2013/11/02,01,171,1,,,,,
2013/11/02,02,169,1,,,,,
2013/11/02,03,171,1,,,,,
2013/11/02,04,169,1,,,,,
2013/11/02,05,178,1,,,,,
2013/11/02,06,196,1,,,,,
2013/11/02,07,217,1,,,,,
2013/11/02,08,249,1,,,,,
2013/11/02,09,314,4,,,,,
2013/11/02,10,372,5,,,,,
2013/11/02,11,367,4,,,,,
2013/11/02,12,363,3,,,,,
2013/11/02,13,360,2,,,,,
2013/11/02,14,358,1,,,,,
2013/11/02,15,371,1,,,,,
2013/11/02,16,361,1,,,,,
2013/11/02,17,351,2,,,,,
2013/11/02,18,337,2,,,,,
2013/11/02,19,325,1,,,,,
2013/11/02,20,305,1,,,,,
2013/11/02,21,289,3,,,,,
2013/11/02,22,219,2,,,,,
2013/11/02,23,181,1,,,,,
2013/11/02,24,180,1,,,,,
2013/11/03,01,175,1,,,,,
2013/11/03,02,176,1,,,,,
2013/11/03,03,176,1,,,,,
2013/11/03,04,177,1,,,,,
2013/11/03,05,183,1,,,,,
2013/11/03,06,192,1,,,,,
2013/11/03,07,214,1,,,,,
2013/11/03,08,221,1,,,,,
2013/11/03,09,250,1,,,,,
2013/11/03,10,293,1,,,,,
2013/11/03,11,305,1,,,,,
2013/11/03,12,287,1,,,,,
2013/11/03,13,292,1,,,,,
2013/11/03,14,281,1,,,,,
2013/11/03,15,275,1,,,,,
2013/11/03,16,281,1,,,,,
2013/11/03,17,282,1,,,,,
2013/11/03,18,274,1,,,,,
2013/11/03,19,254,1,,,,,
2013/11/03,20,248,1,,,,,
2013/11/03,21,242,3,,,,,
2013/11/03,22,217,3,,,,,
2013/11/03,23,204,2,,,,,
2013/11/03,24,178,2,,,,,
2013/11/04,01,174,3,,,,,
2013/11/04,02,174,3,,,,,
2013/11/04,03,174,3,,,,,
2013/11/04,04,177,3,,,,,
2013/11/04,05,179,2,,,,,
2013/11/04,06,190,1,,,,,
2013/11/04,07,214,1,,,,,
2013/11/04,08,231,2,,,,,
2013/11/04,09,255,3,,,,,
2013/11/04,10,286,3,,,,,
2013/11/04,11,296,3,,,,,
2013/11/04,12,294,3,,,,,
2013/11/04,13,280,2,,,,,
2013/11/04,14,275,1,,,,,
2013/11/04,15,276,1,,,,,
2013/11/04,16,262,1,,,,,
2013/11/04,17,254,1,,,,,
2013/11/04,18,237,2,,,,,
2013/11/04,19,240,2,,,,,
