計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/03/01,01,10,1,7,,,,0
2013/03/01,02,9,1,7,,,,0
2013/03/01,03,10,1,7,,,,0
2013/03/01,04,10,1,7,,,,0
2013/03/01,05,10,1,7,,,,0
2013/03/01,06,10,1,8,,,,0
2013/03/01,07,10,1,8,,,,0
2013/03/01,08,64,38,22,,,,2
2013/03/01,09,152,85,64,,,,3
2013/03/01,10,163,70,88,,,,3
2013/03/01,11,149,58,88,,,,3
2013/03/01,12,139,48,87,,,,3
2013/03/01,13,128,39,85,,,,3
2013/03/01,14,119,31,83,,,,3
2013/03/01,15,115,28,83,,,,3
2013/03/01,16,118,30,83,,,,3
2013/03/01,17,115,25,84,,,,5
2013/03/01,18,131,30,84,,,,15
2013/03/01,19,132,32,84,,,,15
2013/03/01,20,118,30,72,,,,15
2013/03/01,21,32,5,23,,,,3
2013/03/01,22,8,0,6,,,,0
2013/03/01,23,8,0,6,,,,0
2013/03/01,24,8,0,5,,,,0
2013/03/02,01,8,1,5,,,,0
2013/03/02,02,8,1,5,,,,0
2013/03/02,03,12,1,9,,,,1
2013/03/02,04,9,1,6,,,,0
2013/03/02,05,9,1,6,,,,0
2013/03/02,06,9,1,7,,,,0
2013/03/02,07,10,1,7,,,,0
2013/03/02,08,64,36,25,,,,1
2013/03/02,09,145,84,57,,,,3
2013/03/02,10,155,68,82,,,,3
2013/03/02,11,152,58,89,,,,3
2013/03/02,12,150,57,87,,,,4
2013/03/02,13,155,62,87,,,,5
2013/03/02,14,153,60,86,,,,5
2013/03/02,15,154,61,86,,,,5
2013/03/02,16,149,56,87,,,,5
2013/03/02,17,163,66,89,,,,7
2013/03/02,18,173,68,88,,,,16
2013/03/02,19,165,59,89,,,,16
2013/03/02,20,154,62,75,,,,16
2013/03/02,21,19,1,14,,,,3
2013/03/02,22,9,0,6,,,,0
2013/03/02,23,9,0,7,,,,0
2013/03/02,24,9,1,6,,,,0
2013/03/03,01,9,1,6,,,,0
2013/03/03,02,9,1,7,,,,0
2013/03/03,03,10,1,7,,,,0
2013/03/03,04,10,1,7,,,,0
2013/03/03,05,10,1,8,,,,0
2013/03/03,06,11,1,8,,,,0
2013/03/03,07,12,1,9,,,,0
2013/03/03,08,80,50,26,,,,2
2013/03/03,09,157,88,65,,,,2
2013/03/03,10,160,67,88,,,,3
2013/03/03,11,146,54,88,,,,3
2013/03/03,12,141,50,87,,,,3
2013/03/03,13,134,44,86,,,,3
2013/03/03,14,131,42,84,,,,3
2013/03/03,15,129,39,85,,,,3
2013/03/03,16,137,48,85,,,,3
2013/03/03,17,138,47,85,,,,5
2013/03/03,18,149,47,86,,,,15
2013/03/03,19,144,43,86,,,,15
2013/03/03,20,130,41,73,,,,15
2013/03/03,21,35,7,23,,,,3
2013/03/03,22,9,0,6,,,,0
2013/03/03,23,9,1,7,,,,0
2013/03/03,24,10,1,7,,,,0
2013/03/04,01,10,1,7,,,,0
2013/03/04,02,10,1,7,,,,0
2013/03/04,03,10,1,8,,,,0
2013/03/04,04,10,1,8,,,,0
2013/03/04,05,11,1,8,,,,0
2013/03/04,06,11,1,9,,,,0
2013/03/04,07,12,1,9,,,,0
2013/03/04,08,73,45,24,,,,2
2013/03/04,09,155,89,62,,,,3
2013/03/04,10,156,65,87,,,,3
2013/03/04,11,128,40,85,,,,3
2013/03/04,12,123,35,84,,,,3
2013/03/04,13,118,30,83,,,,3
2013/03/04,14,109,22,83,,,,3
2013/03/04,15,111,24,83,,,,3
2013/03/04,16,119,31,84,,,,3
2013/03/04,17,126,35,85,,,,5
2013/03/04,18,144,41,85,,,,15
2013/03/04,19,141,38,86,,,,15
2013/03/04,20,134,43,76,,,,15
2013/03/04,21,22,1,16,,,,3
2013/03/04,22,10,0,6,,,,2
2013/03/04,23,11,1,7,,,,1
2013/03/04,24,11,1,7,,,,2
2013/03/05,01,11,1,7,,,,1
2013/03/05,02,12,1,8,,,,1
2013/03/05,03,12,1,7,,,,2
2013/03/05,04,12,1,8,,,,1
2013/03/05,05,12,1,8,,,,1
2013/03/05,06,13,1,9,,,,1
2013/03/05,07,13,1,9,,,,1
2013/03/05,08,76,46,26,,,,2
2013/03/05,09,153,86,63,,,,2
2013/03/05,10,154,64,85,,,,3
2013/03/05,11,133,43,86,,,,3
2013/03/05,12,123,35,84,,,,3
2013/03/05,13,122,33,84,,,,3
2013/03/05,14,118,31,83,,,,3
