計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他,,,
2013/04/06,24,32,,,20,9,,,,,
2013/04/07,01,30,,,18,9,,,,,
2013/04/07,02,28,,,14,9,,,,,
2013/04/07,03,28,,,15,9,,,,,
2013/04/07,04,30,,,15,9,,,,,
2013/04/07,05,34,,,18,9,,,,,
2013/04/07,06,35,,,18,9,,,,,
2013/04/07,07,59,,,26,13,,,,,
2013/04/07,08,84,,,37,33,,,,,
2013/04/07,09,81,,,34,38,,,,,
2013/04/07,10,81,,,32,42,,,,,
2013/04/07,11,84,,,29,45,,,,,
2013/04/07,12,82,,,29,42,,,,,
2013/04/07,13,82,,,27,46,,,,,
2013/04/07,14,93,,,30,44,,,,,
2013/04/07,15,90,,,38,49,,,,,
2013/04/07,16,86,,,31,46,,,,,
2013/04/07,17,86,,,32,46,,,,,
2013/04/07,18,57,,,27,39,,,,,
2013/04/07,19,35,,,19,16,,,,,
2013/04/07,20,28,,,18,9,,,,,
2013/04/07,21,25,,,13,9,,,,,
2013/04/07,22,28,,,13,9,,,,,
2013/04/07,23,30,,,17,9,,,,,
2013/04/07,24,33,,,20,8,,,,,
2013/04/08,01,30,,,20,8,,,,,
2013/04/08,02,28,,,16,8,,,,,
2013/04/08,03,29,,,16,8,,,,,
2013/04/08,04,28,,,16,8,,,,,
2013/04/08,05,31,,,16,8,,,,,
2013/04/08,06,32,,,20,8,,,,,
2013/04/08,07,56,,,21,10,,,,,
2013/04/08,08,93,,,42,32,,,,,
2013/04/08,09,88,,,46,36,,,,,
2013/04/08,10,86,,,40,38,,,,,
2013/04/08,11,80,,,35,37,,,,,
2013/04/08,12,76,,,31,38,,,,,
2013/04/08,13,79,,,30,40,,,,,
2013/04/08,14,76,,,26,41,,,,,
2013/04/08,15,82,,,29,42,,,,,
2013/04/08,16,84,,,31,42,,,,,
2013/04/08,17,80,,,32,43,,,,,
2013/04/08,18,50,,,24,37,,,,,
2013/04/08,19,32,,,17,14,,,,,
2013/04/08,20,31,,,18,9,,,,,
2013/04/08,21,29,,,17,9,,,,,
2013/04/08,22,26,,,14,8,,,,,
2013/04/08,23,28,,,15,8,,,,,
2013/04/08,24,31,,,17,8,,,,,
