計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/08/01,01,77,,,48,,,,
2013/08/01,02,79,,,51,,,,
2013/08/01,03,79,,,51,,,,
2013/08/01,04,70,,,41,,,,
2013/08/01,05,72,,,46,,,,
2013/08/01,06,76,,,45,,,,
2013/08/01,07,102,,,47,,,,
2013/08/01,08,124,,,58,,,,
2013/08/01,09,128,,,75,,,,
2013/08/01,10,159,,,81,,,,
2013/08/01,11,179,,,85,,,,
2013/08/01,12,183,,,90,,,,
2013/08/01,13,192,,,88,,,,
2013/08/01,14,195,,,99,,,,
2013/08/01,15,196,,,89,,,,
2013/08/01,16,201,,,105,,,,
2013/08/01,17,200,,,103,,,,
2013/08/01,18,195,,,101,,,,
2013/08/01,19,191,,,95,,,,
2013/08/01,20,191,,,70,,,,
2013/08/01,21,161,,,74,,,,
2013/08/01,22,93,,,54,,,,
2013/08/01,23,74,,,46,,,,
2013/08/01,24,69,,,38,,,,
2013/08/02,01,76,,,43,,,,
2013/08/02,02,76,,,50,,,,
2013/08/02,03,72,,,44,,,,
2013/08/02,04,63,,,40,,,,
2013/08/02,05,67,,,42,,,,
2013/08/02,06,73,,,41,,,,
2013/08/02,07,103,,,55,,,,
2013/08/02,08,120,,,70,,,,
2013/08/02,09,130,,,76,,,,
2013/08/02,10,166,,,80,,,,
2013/08/02,11,200,,,102,,,,
2013/08/02,12,205,,,107,,,,
2013/08/02,13,209,,,109,,,,
2013/08/02,14,207,,,101,,,,
2013/08/02,15,202,,,105,,,,
2013/08/02,16,209,,,112,,,,
2013/08/02,17,206,,,100,,,,
2013/08/02,18,196,,,102,,,,
2013/08/02,19,187,,,93,,,,
2013/08/02,20,184,,,90,,,,
2013/08/02,21,162,,,75,,,,
2013/08/02,22,101,,,51,,,,
2013/08/02,23,75,,,47,,,,
2013/08/02,24,69,,,38,,,,
2013/08/03,01,73,,,41,,,,
2013/08/03,02,77,,,50,,,,
2013/08/03,03,74,,,47,,,,
2013/08/03,04,67,,,37,,,,
2013/08/03,05,68,,,41,,,,
2013/08/03,06,74,,,38,,,,
2013/08/03,07,100,,,53,,,,
2013/08/03,08,121,,,69,,,,
2013/08/03,09,125,,,71,,,,
2013/08/03,10,155,,,75,,,,
2013/08/03,11,186,,,92,,,,
2013/08/03,12,191,,,87,,,,
2013/08/03,13,198,,,92,,,,
2013/08/03,14,200,,,86,,,,
2013/08/03,15,194,,,99,,,,
2013/08/03,16,199,,,104,,,,
2013/08/03,17,204,,,89,,,,
2013/08/03,18,195,,,93,,,,
2013/08/03,19,186,,,92,,,,
2013/08/03,20,181,,,79,,,,
2013/08/03,21,160,,,68,,,,
2013/08/03,22,98,,,49,,,,
2013/08/03,23,72,,,45,,,,
2013/08/03,24,67,,,43,,,,
2013/08/04,01,73,,,37,,,,
2013/08/04,02,76,,,40,,,,
2013/08/04,03,73,,,47,,,,
2013/08/04,04,67,,,41,,,,
2013/08/04,05,68,,,41,,,,
2013/08/04,06,75,,,42,,,,
2013/08/04,07,103,,,54,,,,
2013/08/04,08,121,,,69,,,,
2013/08/04,09,148,,,75,,,,
2013/08/04,10,189,,,86,,,,
2013/08/04,11,194,,,33,,,,
2013/08/04,12,199,,,78,,,,
2013/08/04,13,210,,,110,,,,
2013/08/04,14,213,,,104,,,,
2013/08/04,15,209,,,109,,,,
2013/08/04,16,215,,,83,,,,
2013/08/04,17,209,,,101,,,,
2013/08/04,18,198,,,103,,,,
2013/08/04,19,188,,,93,,,,
2013/08/04,20,193,,,94,,,,
2013/08/04,21,161,,,75,,,,
2013/08/04,22,103,,,52,,,,
2013/08/04,23,74,,,46,,,,
2013/08/04,24,67,,,37,,,,
2013/08/05,01,75,,,47,,,,
2013/08/05,02,76,,,49,,,,
2013/08/05,03,74,,,48,,,,
2013/08/05,04,65,,,38,,,,
2013/08/05,05,67,,,43,,,,
2013/08/05,06,72,,,43,,,,
2013/08/05,07,107,,,49,,,,
2013/08/05,08,123,,,58,,,,
2013/08/05,09,134,,,79,,,,
2013/08/05,10,144,,,73,,,,
2013/08/05,11,196,,,93,,,,
2013/08/05,12,208,,,102,,,,
2013/08/05,13,213,,,98,,,,
2013/08/05,14,221,,,112,,,,
2013/08/05,15,203,,,92,,,,
2013/08/05,16,195,,,102,,,,
2013/08/05,17,191,,,98,,,,
2013/08/05,18,180,,,93,,,,
2013/08/05,19,181,,,90,,,,
2013/08/05,20,183,,,67,,,,
2013/08/05,21,160,,,74,,,,
2013/08/05,22,95,,,55,,,,
