計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/10/01,01,60,,,40,3,,,
2013/10/01,02,60,,,39,3,,,
2013/10/01,03,64,,,41,3,,,
2013/10/01,04,63,,,39,3,,,
2013/10/01,05,70,,,41,8,,,
2013/10/01,06,72,,,35,15,,,
2013/10/01,07,78,,,39,16,,,
2013/10/01,08,127,,,63,19,,,
2013/10/01,09,130,,,72,19,,,
2013/10/01,10,166,,,80,37,,,
2013/10/01,11,193,,,96,43,,,
2013/10/01,12,185,,,96,44,,,
2013/10/01,13,191,,,99,44,,,
2013/10/01,14,188,,,97,44,,,
2013/10/01,15,209,,,106,44,,,
2013/10/01,16,195,,,100,44,,,
2013/10/01,17,192,,,99,44,,,
2013/10/01,18,182,,,92,48,,,
2013/10/01,19,170,,,83,49,,,
2013/10/01,20,157,,,77,46,,,
2013/10/01,21,146,,,71,42,,,
2013/10/01,22,88,,,48,21,,,
2013/10/01,23,65,,,45,4,,,
2013/10/01,24,60,,,40,3,,,
2013/10/02,01,60,,,40,3,,,
2013/10/02,02,61,,,40,3,,,
2013/10/02,03,62,,,40,4,,,
2013/10/02,04,62,,,38,3,,,
2013/10/02,05,71,,,37,12,,,
2013/10/02,06,71,,,35,15,,,
2013/10/02,07,81,,,42,16,,,
2013/10/02,08,129,,,65,19,,,
2013/10/02,09,134,,,75,19,,,
2013/10/02,10,161,,,85,33,,,
2013/10/02,11,189,,,96,43,,,
2013/10/02,12,184,,,94,43,,,
2013/10/02,13,185,,,94,44,,,
2013/10/02,14,192,,,100,44,,,
2013/10/02,15,194,,,99,44,,,
2013/10/02,16,205,,,104,44,,,
2013/10/02,17,189,,,98,44,,,
2013/10/02,18,179,,,88,48,,,
2013/10/02,19,169,,,82,49,,,
2013/10/02,20,153,,,74,46,,,
2013/10/02,21,143,,,69,43,,,
2013/10/02,22,85,,,48,19,,,
2013/10/02,23,66,,,46,4,,,
2013/10/02,24,58,,,38,3,,,
2013/10/03,01,61,,,40,4,,,
2013/10/03,02,62,,,40,3,,,
2013/10/03,03,64,,,40,3,,,
2013/10/03,04,63,,,39,3,,,
2013/10/03,05,72,,,39,11,,,
2013/10/03,06,74,,,37,15,,,
2013/10/03,07,87,,,43,15,,,
2013/10/03,08,123,,,61,18,,,
2013/10/03,09,126,,,70,19,,,
2013/10/03,10,155,,,72,38,,,
2013/10/03,11,170,,,78,43,,,
2013/10/03,12,164,,,78,43,,,
2013/10/03,13,162,,,73,43,,,
2013/10/03,14,159,,,75,43,,,
2013/10/03,15,179,,,82,43,,,
2013/10/03,16,178,,,80,44,,,
2013/10/03,17,166,,,78,44,,,
2013/10/03,18,156,,,69,48,,,
2013/10/03,19,146,,,63,47,,,
2013/10/03,20,138,,,59,46,,,
2013/10/03,21,131,,,54,45,,,
2013/10/03,22,88,,,42,28,,,
2013/10/03,23,56,,,36,4,,,
2013/10/03,24,51,,,31,3,,,
2013/10/04,01,53,,,33,3,,,
2013/10/04,02,55,,,32,3,,,
2013/10/04,03,61,,,37,3,,,
2013/10/04,04,56,,,32,3,,,
2013/10/04,05,59,,,31,6,,,
2013/10/04,06,68,,,31,14,,,
2013/10/04,07,93,,,37,16,,,
2013/10/04,08,111,,,57,18,,,
2013/10/04,09,115,,,63,19,,,
2013/10/04,10,149,,,69,37,,,
2013/10/04,11,174,,,80,43,,,
2013/10/04,12,175,,,78,43,,,
2013/10/04,13,167,,,77,44,,,
2013/10/04,14,160,,,75,44,,,
2013/10/04,15,181,,,79,44,,,
2013/10/04,16,174,,,79,44,,,
2013/10/04,17,165,,,76,44,,,
2013/10/04,18,163,,,75,48,,,
2013/10/04,19,150,,,67,48,,,
2013/10/04,20,143,,,65,45,,,
2013/10/04,21,133,,,60,41,,,
2013/10/04,22,81,,,42,20,,,
2013/10/04,23,61,,,40,4,,,
2013/10/04,24,54,,,34,3,,,
2013/10/05,01,58,,,36,3,,,
2013/10/05,02,56,,,34,3,,,
2013/10/05,03,61,,,38,3,,,
2013/10/05,04,58,,,32,3,,,
2013/10/05,05,64,,,32,8,,,
2013/10/05,06,94,,,40,17,,,
2013/10/05,07,124,,,53,18,,,
2013/10/05,08,124,,,62,19,,,
2013/10/05,09,136,,,70,19,,,
2013/10/05,10,158,,,73,37,,,
2013/10/05,11,179,,,90,44,,,
2013/10/05,12,179,,,87,45,,,
2013/10/05,13,190,,,91,44,,,
2013/10/05,14,181,,,89,43,,,
2013/10/05,15,197,,,94,44,,,
2013/10/05,16,186,,,92,44,,,
2013/10/05,17,183,,,89,44,,,
2013/10/05,18,179,,,85,50,,,
2013/10/05,19,161,,,75,49,,,
2013/10/05,20,147,,,67,47,,,
2013/10/05,21,136,,,62,42,,,
2013/10/05,22,92,,,48,26,,,
2013/10/05,23,82,,,45,21,,,
2013/10/05,24,77,,,40,21,,,
2013/10/06,01,63,,,40,3,,,
2013/10/06,02,63,,,41,3,,,
2013/10/06,03,65,,,41,3,,,
2013/10/06,04,62,,,38,4,,,
2013/10/06,05,73,,,39,12,,,
2013/10/06,06,90,,,45,18,,,
2013/10/06,07,141,,,65,19,,,
2013/10/06,08,149,,,77,26,,,
2013/10/06,09,206,,,100,43,,,
2013/10/06,10,189,,,90,44,,,
2013/10/06,11,194,,,96,43,,,
2013/10/06,12,191,,,96,44,,,
2013/10/06,13,190,,,97,44,,,
2013/10/06,14,192,,,98,44,,,
2013/10/06,15,205,,,104,44,,,
2013/10/06,16,193,,,98,44,,,
2013/10/06,17,194,,,99,44,,,
2013/10/06,18,180,,,89,48,,,
2013/10/06,19,165,,,84,48,,,
2013/10/06,20,154,,,75,45,,,
2013/10/06,21,142,,,69,42,,,
2013/10/06,22,86,,,48,17,,,
2013/10/06,23,68,,,47,4,,,
2013/10/06,24,61,,,41,4,,,
2013/10/07,01,63,,,42,3,,,
2013/10/07,02,60,,,39,3,,,
2013/10/07,03,65,,,42,4,,,
2013/10/07,04,65,,,40,3,,,
2013/10/07,05,70,,,39,9,,,
2013/10/07,06,72,,,38,15,,,
2013/10/07,07,86,,,42,15,,,
2013/10/07,08,130,,,67,18,,,
2013/10/07,09,134,,,75,18,,,
2013/10/07,10,164,,,85,35,,,
2013/10/07,11,201,,,101,43,,,
2013/10/07,12,202,,,103,44,,,
2013/10/07,13,194,,,103,44,,,
2013/10/07,14,193,,,103,44,,,
2013/10/07,15,203,,,105,44,,,
2013/10/07,16,200,,,101,43,,,
2013/10/07,17,192,,,101,44,,,
2013/10/07,18,180,,,89,49,,,
2013/10/07,19,169,,,83,48,,,
2013/10/07,20,156,,,75,46,,,
2013/10/07,21,148,,,74,44,,,
2013/10/07,22,88,,,52,18,,,
2013/10/07,23,73,,,50,4,,,
2013/10/07,24,60,,,38,2,,,
2013/10/08,01,61,,,42,3,,,
2013/10/08,02,60,,,41,3,,,
2013/10/08,03,62,,,43,3,,,
2013/10/08,04,62,,,39,3,,,
2013/10/08,05,65,,,38,6,,,
2013/10/08,06,74,,,38,15,,,
2013/10/08,07,89,,,42,18,,,
2013/10/08,08,127,,,65,18,,,
2013/10/08,09,135,,,75,19,,,
2013/10/08,10,172,,,88,37,,,
2013/10/08,11,196,,,99,43,,,
2013/10/08,12,189,,,94,43,,,
2013/10/08,13,193,,,97,44,,,
2013/10/08,14,184,,,96,44,,,
2013/10/08,15,201,,,102,44,,,
2013/10/08,16,189,,,100,43,,,
2013/10/08,17,190,,,93,46,,,
2013/10/08,18,178,,,86,49,,,
2013/10/08,19,166,,,80,46,,,
2013/10/08,20,154,,,76,45,,,
2013/10/08,21,144,,,73,41,,,
2013/10/08,22,86,,,49,17,,,
2013/10/08,23,69,,,49,4,,,
2013/10/08,24,60,,,38,3,,,
2013/10/09,01,61,,,41,3,,,
2013/10/09,02,61,,,41,3,,,
2013/10/09,03,65,,,43,3,,,
2013/10/09,04,65,,,42,3,,,
2013/10/09,05,70,,,39,9,,,
2013/10/09,06,75,,,40,14,,,
2013/10/09,07,85,,,45,15,,,
2013/10/09,08,131,,,64,19,,,
2013/10/09,09,135,,,77,19,,,
2013/10/09,10,174,,,88,38,,,
2013/10/09,11,201,,,101,43,,,
2013/10/09,12,193,,,101,43,,,
2013/10/09,13,195,,,102,44,,,
2013/10/09,14,188,,,98,44,,,
2013/10/09,15,195,,,98,44,,,
2013/10/09,16,191,,,94,46,,,
2013/10/09,17,193,,,96,49,,,
2013/10/09,18,183,,,88,49,,,
2013/10/09,19,161,,,79,46,,,
2013/10/09,20,152,,,74,45,,,
2013/10/09,21,145,,,68,44,,,
2013/10/09,22,97,,,50,29,,,
2013/10/09,23,68,,,46,4,,,
2013/10/09,24,60,,,41,3,,,
2013/10/10,01,62,,,42,3,,,
2013/10/10,02,60,,,41,4,,,
2013/10/10,03,63,,,43,3,,,
2013/10/10,04,63,,,41,3,,,
2013/10/10,05,74,,,40,10,,,
2013/10/10,06,74,,,39,14,,,
2013/10/10,07,83,,,42,17,,,
2013/10/10,08,131,,,64,18,,,
2013/10/10,09,136,,,75,19,,,
2013/10/10,10,165,,,82,34,,,
2013/10/10,11,190,,,95,43,,,
2013/10/10,12,186,,,92,44,,,
2013/10/10,13,183,,,92,43,,,
2013/10/10,14,179,,,89,43,,,
2013/10/10,15,197,,,102,44,,,
2013/10/10,16,190,,,97,44,,,
2013/10/10,17,188,,,95,44,,,
2013/10/10,18,179,,,87,50,,,
2013/10/10,19,161,,,78,47,,,
2013/10/10,20,156,,,78,45,,,
2013/10/10,21,152,,,75,45,,,
2013/10/10,22,100,,,54,25,,,
2013/10/10,23,69,,,49,3,,,
2013/10/10,24,63,,,42,4,,,
2013/10/11,01,64,,,44,4,,,
2013/10/11,02,61,,,40,3,,,
2013/10/11,03,65,,,44,3,,,
2013/10/11,04,64,,,41,3,,,
2013/10/11,05,74,,,42,11,,,
2013/10/11,06,78,,,40,14,,,
2013/10/11,07,82,,,44,17,,,
2013/10/11,08,136,,,68,19,,,
2013/10/11,09,134,,,70,18,,,
2013/10/11,10,165,,,81,39,,,
2013/10/11,11,187,,,94,44,,,
2013/10/11,12,191,,,99,43,,,
2013/10/11,13,185,,,93,42,,,
2013/10/11,14,184,,,96,44,,,
2013/10/11,15,201,,,95,44,,,
2013/10/11,16,197,,,97,47,,,
2013/10/11,17,191,,,98,49,,,
2013/10/11,18,179,,,90,49,,,
2013/10/11,19,166,,,85,46,,,
2013/10/11,20,156,,,79,45,,,
2013/10/11,21,150,,,76,41,,,
2013/10/11,22,87,,,50,17,,,
2013/10/11,23,70,,,49,3,,,
2013/10/11,24,62,,,43,3,,,
2013/10/12,01,64,,,43,3,,,
2013/10/12,02,64,,,44,3,,,
2013/10/12,03,66,,,46,3,,,
2013/10/12,04,66,,,45,3,,,
2013/10/12,05,70,,,42,6,,,
2013/10/12,06,74,,,39,14,,,
2013/10/12,07,108,,,53,17,,,
2013/10/12,08,129,,,70,18,,,
2013/10/12,09,146,,,75,18,,,
2013/10/12,10,158,,,75,36,,,
2013/10/12,11,184,,,82,45,,,
2013/10/12,12,173,,,76,45,,,
2013/10/12,13,162,,,74,45,,,
2013/10/12,14,168,,,74,44,,,
2013/10/12,15,174,,,77,45,,,
2013/10/12,16,169,,,73,45,,,
2013/10/12,17,166,,,76,46,,,
2013/10/12,18,160,,,70,50,,,
2013/10/12,19,142,,,58,48,,,
2013/10/12,20,135,,,53,46,,,
2013/10/12,21,127,,,51,43,,,
2013/10/12,22,75,,,39,17,,,
2013/10/12,23,56,,,36,4,,,
2013/10/12,24,55,,,31,3,,,
2013/10/13,01,52,,,32,3,,,
2013/10/13,02,53,,,32,3,,,
2013/10/13,03,59,,,34,3,,,
2013/10/13,04,56,,,31,3,,,
2013/10/13,05,63,,,31,9,,,
2013/10/13,06,78,,,35,17,,,
2013/10/13,07,116,,,45,19,,,
2013/10/13,08,141,,,56,37,,,
2013/10/13,09,166,,,72,43,,,
2013/10/13,10,168,,,71,44,,,
2013/10/13,11,170,,,78,44,,,
2013/10/13,12,171,,,77,43,,,
2013/10/13,13,171,,,78,43,,,
2013/10/13,14,166,,,76,44,,,
2013/10/13,15,172,,,77,43,,,
2013/10/13,16,174,,,76,44,,,
2013/10/13,17,171,,,79,44,,,
2013/10/13,18,154,,,66,49,,,
2013/10/13,19,143,,,54,48,,,
2013/10/13,20,132,,,52,45,,,
2013/10/13,21,124,,,49,42,,,
2013/10/13,22,74,,,38,18,,,
2013/10/13,23,55,,,35,4,,,
2013/10/13,24,50,,,29,3,,,
2013/10/14,01,52,,,32,3,,,
2013/10/14,02,50,,,30,3,,,
2013/10/14,03,52,,,32,3,,,
2013/10/14,04,51,,,27,2,,,
2013/10/14,05,58,,,27,7,,,
2013/10/14,06,66,,,28,15,,,
2013/10/14,07,92,,,35,16,,,
2013/10/14,08,111,,,47,19,,,
2013/10/14,09,115,,,58,19,,,
2013/10/14,10,147,,,65,34,,,
2013/10/14,11,161,,,68,43,,,
2013/10/14,12,171,,,70,43,,,
2013/10/14,13,160,,,68,43,,,
2013/10/14,14,167,,,76,44,,,
2013/10/14,15,176,,,84,43,,,
2013/10/14,16,176,,,80,44,,,
2013/10/14,17,169,,,80,44,,,
2013/10/14,18,163,,,72,49,,,
2013/10/14,19,145,,,60,48,,,
2013/10/14,20,140,,,57,46,,,
2013/10/14,21,130,,,54,43,,,
2013/10/14,22,77,,,40,19,,,
2013/10/14,23,59,,,37,4,,,
2013/10/14,24,53,,,31,3,,,
2013/10/15,01,53,,,33,3,,,
2013/10/15,02,53,,,32,3,,,
2013/10/15,03,59,,,34,3,,,
2013/10/15,04,54,,,29,3,,,
2013/10/15,05,62,,,30,10,,,
2013/10/15,06,65,,,30,14,,,
2013/10/15,07,70,,,34,16,,,
2013/10/15,08,127,,,58,18,,,
2013/10/15,09,126,,,62,19,,,
2013/10/15,10,152,,,67,42,,,
2013/10/15,11,161,,,69,42,,,
2013/10/15,12,165,,,72,43,,,
2013/10/15,13,164,,,73,43,,,
2013/10/15,14,158,,,70,43,,,
2013/10/15,15,171,,,68,44,,,
2013/10/15,16,161,,,67,48,,,
2013/10/15,17,159,,,66,48,,,
2013/10/15,18,152,,,65,49,,,
2013/10/15,19,144,,,60,46,,,
2013/10/15,20,134,,,56,45,,,
2013/10/15,21,128,,,53,41,,,
2013/10/15,22,79,,,42,19,,,
2013/10/15,23,59,,,39,3,,,
2013/10/15,24,53,,,34,3,,,
2013/10/16,01,53,,,34,3,,,
2013/10/16,02,54,,,35,3,,,
2013/10/16,03,59,,,36,3,,,
