計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2014/01/01,01,10,,,1,8,,
2014/01/01,02,9,,,1,8,,
2014/01/01,03,9,,,1,8,,
2014/01/01,04,10,,,1,8,,
2014/01/01,05,9,,,1,8,,
2014/01/01,06,10,,,1,8,,
2014/01/01,07,10,,,1,8,,
2014/01/01,08,10,,,1,8,,
2014/01/01,09,10,,,1,8,,
2014/01/01,10,10,,,1,8,,
2014/01/01,11,11,,,1,9,,
2014/01/01,12,12,,,1,9,,
2014/01/01,13,10,,,1,9,,
2014/01/01,14,11,,,2,9,,
2014/01/01,15,11,,,1,9,,
2014/01/01,16,11,,,1,9,,
2014/01/01,17,16,,,1,14,,
2014/01/01,18,16,,,1,14,,
2014/01/01,19,16,,,1,14,,
2014/01/01,20,16,,,1,13,,
2014/01/01,21,10,,,1,8,,
2014/01/01,22,9,,,1,8,,
2014/01/01,23,10,,,1,8,,
2014/01/01,24,9,,,1,8,,
2014/01/02,01,10,,,1,8,,
2014/01/02,02,9,,,1,8,,
2014/01/02,03,10,,,1,8,,
2014/01/02,04,10,,,1,8,,
2014/01/02,05,9,,,1,8,,
2014/01/02,06,10,,,1,8,,
2014/01/02,07,33,,,23,10,,
2014/01/02,08,112,,,97,15,,
2014/01/02,09,105,,,77,27,,
2014/01/02,10,134,,,66,67,,
2014/01/02,11,133,,,63,69,,
2014/01/02,12,129,,,60,69,,
2014/01/02,13,123,,,52,69,,
2014/01/02,14,120,,,50,69,,
2014/01/02,15,117,,,48,68,,
2014/01/02,16,112,,,43,68,,
2014/01/02,17,119,,,46,72,,
2014/01/02,18,119,,,44,74,,
2014/01/02,19,121,,,45,75,,
2014/01/02,20,114,,,42,71,,
2014/01/02,21,23,,,3,20,,
2014/01/02,22,10,,,1,8,,
2014/01/02,23,9,,,1,8,,
2014/01/02,24,10,,,1,8,,
2014/01/03,01,10,,,1,8,,
2014/01/03,02,9,,,1,8,,
2014/01/03,03,10,,,1,8,,
2014/01/03,04,10,,,1,8,,
2014/01/03,05,9,,,1,8,,
2014/01/03,06,10,,,1,8,,
2014/01/03,07,10,,,1,8,,
2014/01/03,08,21,,,10,10,,
2014/01/03,09,116,,,98,18,,
2014/01/03,10,101,,,71,29,,
2014/01/03,11,119,,,53,65,,
2014/01/03,12,112,,,46,65,,
2014/01/03,13,105,,,40,65,,
2014/01/03,14,102,,,37,64,,
2014/01/03,15,98,,,34,64,,
2014/01/03,16,101,,,35,65,,
2014/01/03,17,108,,,37,70,,
2014/01/03,18,106,,,35,70,,
2014/01/03,19,106,,,35,71,,
2014/01/03,20,97,,,28,67,,
2014/01/03,21,14,,,2,12,,
2014/01/03,22,10,,,1,8,,
2014/01/03,23,10,,,1,8,,
2014/01/03,24,10,,,1,8,,
2014/01/04,01,10,,,1,8,,
2014/01/04,02,10,,,1,8,,
2014/01/04,03,10,,,1,8,,
2014/01/04,04,10,,,1,8,,
2014/01/04,05,10,,,1,8,,
2014/01/04,06,10,,,1,8,,
2014/01/04,07,11,,,1,9,,
2014/01/04,08,11,,,1,9,,
2014/01/04,09,103,,,86,17,,
2014/01/04,10,93,,,69,23,,
2014/01/04,11,119,,,55,63,,
2014/01/04,12,110,,,46,64,,
