計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2014/01/01,01,48,28,,,,,
2014/01/01,02,56,26,,,,,
2014/01/01,03,53,33,,,,,
2014/01/01,04,45,27,,,,,
2014/01/01,05,45,26,,,,,
2014/01/01,06,46,25,,,,,
2014/01/01,07,60,27,,,,,
2014/01/01,08,83,37,,,,,
2014/01/01,09,92,36,,,,,
2014/01/01,10,98,37,,,,,
2014/01/01,11,114,41,,,,,
2014/01/01,12,116,42,,,,,
2014/01/01,13,114,42,,,,,
2014/01/01,14,118,43,,,,,
2014/01/01,15,118,43,,,,,
2014/01/01,16,116,47,,,,,
2014/01/01,17,116,45,,,,,
2014/01/01,18,113,40,,,,,
2014/01/01,19,85,34,,,,,
2014/01/01,20,62,30,,,,,
2014/01/01,21,59,32,,,,,
2014/01/01,22,56,27,,,,,
2014/01/01,23,50,32,,,,,
2014/01/01,24,45,27,,,,,
2014/01/02,01,46,25,,,,,
2014/01/02,02,55,25,,,,,
2014/01/02,03,51,30,,,,,
2014/01/02,04,44,26,,,,,
2014/01/02,05,44,24,,,,,
2014/01/02,06,45,22,,,,,
2014/01/02,07,57,23,,,,,
2014/01/02,08,83,33,,,,,
2014/01/02,09,80,29,,,,,
2014/01/02,10,92,30,,,,,
2014/01/02,11,107,35,,,,,
2014/01/02,12,105,35,,,,,
2014/01/02,13,107,37,,,,,
2014/01/02,14,107,39,,,,,
2014/01/02,15,112,39,,,,,
2014/01/02,16,108,36,,,,,
2014/01/02,17,112,39,,,,,
2014/01/02,18,113,37,,,,,
2014/01/02,19,116,39,,,,,
2014/01/02,20,96,32,,,,,
2014/01/02,21,72,34,,,,,
2014/01/02,22,56,25,,,,,
2014/01/02,23,48,29,,,,,
2014/01/02,24,44,26,,,,,
2014/01/03,01,44,23,,,,,
2014/01/03,02,54,24,,,,,
2014/01/03,03,50,29,,,,,
2014/01/03,04,44,26,,,,,
2014/01/03,05,44,24,,,,,
2014/01/03,06,45,22,,,,,
2014/01/03,07,56,25,,,,,
2014/01/03,08,91,34,,,,,
2014/01/03,09,84,34,,,,,
2014/01/03,10,92,35,,,,,
2014/01/03,11,110,39,,,,,
2014/01/03,12,107,39,,,,,
2014/01/03,13,108,41,,,,,
2014/01/03,14,113,44,,,,,
2014/01/03,15,116,43,,,,,
2014/01/03,16,113,44,,,,,
2014/01/03,17,115,43,,,,,
2014/01/03,18,113,43,,,,,
2014/01/03,19,112,39,,,,,
2014/01/03,20,93,36,,,,,
2014/01/03,21,70,37,,,,,
2014/01/03,22,66,29,,,,,
2014/01/03,23,54,33,,,,,
2014/01/03,24,50,31,,,,,
2014/01/04,01,50,28,,,,,
2014/01/04,02,57,28,,,,,
