計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/12/01,01,553,,14,468,,,
2013/12/01,02,540,,16,462,,,
2013/12/01,03,568,,23,494,,,
2013/12/01,04,556,,22,484,,,
2013/12/01,05,559,,22,486,,,
2013/12/01,06,556,,21,484,,,
2013/12/01,07,516,,21,450,,,
2013/12/01,08,459,,21,395,,,
2013/12/01,09,538,,24,477,,,
2013/12/01,10,498,,24,438,,,
2013/12/01,11,507,,24,446,,,
2013/12/01,12,495,,25,433,,,
2013/12/01,13,512,,25,449,,,
2013/12/01,14,549,,25,486,,,
2013/12/01,15,571,,25,508,,,
2013/12/01,16,534,,24,473,,,
2013/12/01,17,535,,26,471,,,
2013/12/01,18,544,,29,469,,,
2013/12/01,19,588,,31,512,,,
2013/12/01,20,615,,30,534,,,
2013/12/01,21,613,,28,533,,,
2013/12/01,22,633,,29,552,,,
2013/12/01,23,590,,29,510,,,
2013/12/01,24,591,,29,511,,,
2013/12/02,01,606,,30,525,,,
2013/12/02,02,616,,29,529,,,
2013/12/02,03,642,,30,547,,,
2013/12/02,04,635,,25,541,,,
2013/12/02,05,629,,24,544,,,
2013/12/02,06,595,,23,522,,,
2013/12/02,07,718,,23,644,,,
2013/12/02,08,645,,24,569,,,
2013/12/02,09,707,,27,628,,,
2013/12/02,10,692,,27,613,,,
2013/12/02,11,687,,27,609,,,
2013/12/02,12,700,,27,621,,,
2013/12/02,13,699,,27,620,,,
2013/12/02,14,723,,28,642,,,
2013/12/02,15,683,,28,604,,,
2013/12/02,16,678,,27,599,,,
2013/12/02,17,679,,29,591,,,
2013/12/02,18,700,,31,610,,,
2013/12/02,19,699,,27,607,,,
2013/12/02,20,676,,25,586,,,
2013/12/02,21,707,,26,616,,,
2013/12/02,22,650,,25,560,,,
2013/12/02,23,644,,24,555,,,
2013/12/02,24,630,,24,541,,,
2013/12/03,01,634,,25,544,,,
2013/12/03,02,619,,25,530,,,
2013/12/03,03,613,,25,524,,,
2013/12/03,04,609,,24,522,,,
2013/12/03,05,595,,24,513,,,
2013/12/03,06,596,,24,515,,,
2013/12/03,07,573,,23,498,,,
2013/12/03,08,587,,23,508,,,
2013/12/03,09,569,,25,483,,,
2013/12/03,10,700,,25,610,,,
2013/12/03,11,665,,26,577,,,
2013/12/03,12,688,,27,600,,,
2013/12/03,13,644,,27,566,,,
2013/12/03,14,729,,26,651,,,
2013/12/03,15,677,,26,599,,,
2013/12/03,16,682,,25,605,,,
2013/12/03,17,690,,26,613,,,
2013/12/03,18,652,,31,571,,,
2013/12/03,19,640,,31,557,,,
2013/12/03,20,643,,33,552,,,
2013/12/03,21,702,,31,612,,,
2013/12/03,22,722,,30,629,,,
2013/12/03,23,711,,31,614,,,
2013/12/03,24,720,,30,624,,,
2013/12/04,01,674,,30,579,,,
2013/12/04,02,660,,26,569,,,
2013/12/04,03,669,,25,579,,,
2013/12/04,04,602,,23,520,,,
2013/12/04,05,601,,22,521,,,
2013/12/04,06,560,,22,485,,,
2013/12/04,07,586,,22,513,,,
2013/12/04,08,578,,22,495,,,
2013/12/04,09,635,,24,547,,,
2013/12/04,10,683,,26,591,,,
2013/12/04,11,689,,29,596,,,
2013/12/04,12,637,,33,551,,,
2013/12/04,13,733,,26,655,,,
2013/12/04,14,681,,33,597,,,
2013/12/04,15,704,,30,623,,,
2013/12/04,16,691,,28,611,,,
2013/12/04,17,695,,27,616,,,
2013/12/04,18,651,,27,572,,,
2013/12/04,19,668,,30,586,,,
2013/12/04,20,686,,31,594,,,
2013/12/04,21,706,,29,618,,,
2013/12/04,22,671,,26,584,,,
2013/12/04,23,659,,27,566,,,
2013/12/04,24,691,,27,599,,,
2013/12/05,01,671,,27,578,,,
2013/12/05,02,633,,27,541,,,
2013/12/05,03,624,,21,539,,,
2013/12/05,04,647,,22,560,,,
2013/12/05,05,626,,23,538,,,
2013/12/05,06,637,,24,549,,,
2013/12/05,07,591,,23,509,,,
2013/12/05,08,581,,24,500,,,
2013/12/05,09,587,,26,507,,,
2013/12/05,10,578,,31,497,,,
2013/12/05,11,572,,32,490,,,
2013/12/05,12,555,,32,472,,,
2013/12/05,13,553,,32,471,,,
2013/12/05,14,563,,33,480,,,
2013/12/05,15,560,,32,478,,,
2013/12/05,16,546,,32,464,,,
2013/12/05,17,532,,30,453,,,
2013/12/05,18,516,,27,439,,,
2013/12/05,19,506,,27,429,,,
2013/12/05,20,499,,27,423,,,
2013/12/05,21,500,,26,424,,,
2013/12/05,22,482,,25,408,,,
2013/12/05,23,540,,25,464,,,
2013/12/05,24,536,,25,450,,,
2013/12/06,01,566,,25,471,,,
2013/12/06,02,544,,24,456,,,
2013/12/06,03,576,,24,497,,,
2013/12/06,04,561,,25,486,,,
2013/12/06,05,556,,24,481,,,
2013/12/06,06,540,,24,466,,,
2013/12/06,07,512,,24,444,,,
2013/12/06,08,487,,25,419,,,
2013/12/06,09,582,,27,512,,,
2013/12/06,10,509,,31,442,,,
2013/12/06,11,534,,34,462,,,
2013/12/06,12,529,,35,457,,,
2013/12/06,13,572,,35,499,,,
2013/12/06,14,560,,36,487,,,
2013/12/06,15,564,,35,492,,,
2013/12/06,16,554,,35,476,,,
2013/12/06,17,563,,35,484,,,
2013/12/06,18,592,,33,512,,,
2013/12/06,19,587,,32,502,,,
2013/12/06,20,610,,30,529,,,
2013/12/06,21,591,,30,509,,,
2013/12/06,22,579,,31,497,,,
2013/12/06,23,615,,30,534,,,
2013/12/06,24,591,,30,498,,,
2013/12/07,01,669,,30,572,,,
2013/12/07,02,597,,24,510,,,
2013/12/07,03,644,,25,558,,,
2013/12/07,04,579,,24,504,,,
2013/12/07,05,649,,23,574,,,
2013/12/07,06,567,,12,505,,,
2013/12/07,07,573,,12,511,,,
2013/12/07,08,556,,13,493,,,
2013/12/07,09,554,,18,485,,,
2013/12/07,10,537,,16,472,,,
2013/12/07,11,549,,24,475,,,
2013/12/07,12,563,,23,489,,,
2013/12/07,13,534,,24,459,,,
2013/12/07,14,530,,22,458,,,
2013/12/07,15,525,,21,454,,,
2013/12/07,16,512,,23,440,,,
2013/12/07,17,494,,21,424,,,
2013/12/07,18,477,,20,408,,,
2013/12/07,19,478,,19,409,,,
2013/12/07,20,452,,15,389,,,
2013/12/07,21,456,,15,392,,,
2013/12/07,22,447,,15,383,,,
2013/12/07,23,438,,15,375,,,
2013/12/07,24,441,,14,377,,,
2013/12/08,01,440,,14,376,,,
2013/12/08,02,441,,14,377,,,
2013/12/08,03,431,,14,372,,,
2013/12/08,04,433,,16,374,,,
2013/12/08,05,418,,18,357,,,
2013/12/08,06,378,,18,319,,,
2013/12/08,07,416,,20,354,,,
2013/12/08,08,430,,22,358,,,
2013/12/08,09,458,,15,385,,,
2013/12/08,10,466,,27,390,,,
2013/12/08,11,487,,26,420,,,
2013/12/08,12,473,,27,410,,,
2013/12/08,13,520,,28,455,,,
2013/12/08,14,463,,27,400,,,
2013/12/08,15,410,,23,346,,,
2013/12/08,16,395,,19,334,,,
2013/12/08,17,392,,18,333,,,
2013/12/08,18,385,,17,327,,,
2013/12/08,19,381,,17,322,,,
2013/12/08,20,387,,18,327,,,
2013/12/08,21,382,,18,322,,,
2013/12/08,22,391,,18,331,,,
2013/12/08,23,372,,18,312,,,
2013/12/08,24,357,,18,298,,,
2013/12/09,01,360,,19,299,,,
2013/12/09,02,381,,19,320,,,
2013/12/09,03,380,,19,320,,,
