計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他
2013/08/01,01,,,,,,,
2013/08/01,02,,,,,,,
2013/08/01,03,,,,,,,
2013/08/01,04,,,,,,,
2013/08/01,05,,,,,,,
2013/08/01,06,,,,,,,
2013/08/01,07,,,,,,,
2013/08/01,08,,,,,,,
2013/08/01,09,,,,,,,
2013/08/01,10,,,,,,,
2013/08/01,11,,,,,,,
2013/08/01,12,,,,,,,
2013/08/01,13,,,,,,,
2013/08/01,14,,,,,,,
2013/08/01,15,,,,,,,
2013/08/01,16,,,,,,,
2013/08/01,17,,,,,,,
2013/08/01,18,,,,,,,
2013/08/01,19,,,,,,,
2013/08/01,20,,,,,,,
2013/08/01,21,,,,,,,
2013/08/01,22,,,,,,,
2013/08/01,23,,,,,,,
2013/08/01,24,,,,,,,
2013/08/02,01,,,,,,,
2013/08/02,02,,,,,,,
2013/08/02,03,,,,,,,
2013/08/02,04,,,,,,,
2013/08/02,05,,,,,,,
2013/08/02,06,,,,,,,
2013/08/02,07,,,,,,,
2013/08/02,08,,,,,,,
2013/08/02,09,,,,,,,
2013/08/02,10,,,,,,,
2013/08/02,11,0,13,,,15,22,
2013/08/02,12,0,21,,,30,40,
2013/08/02,13,0,18,,,30,37,
2013/08/02,14,59,14,,,30,31,
2013/08/02,15,77,16,,,30,36,
2013/08/02,16,76,15,,,30,34,
2013/08/02,17,79,18,,,30,37,
2013/08/02,18,78,18,,,30,36,
2013/08/02,19,77,15,,,33,33,
2013/08/02,20,79,13,,,40,28,
2013/08/02,21,86,14,,,39,35,
2013/08/02,22,81,13,,,39,31,
2013/08/02,23,31,5,,,8,17,
2013/08/02,24,27,8,,,0,21,
2013/08/03,01,24,7,,,0,18,
2013/08/03,02,22,7,,,0,16,
2013/08/03,03,23,7,,,0,17,
2013/08/03,04,21,5,,,0,15,
2013/08/03,05,34,4,,,14,15,
2013/08/03,06,50,8,,,27,18,
2013/08/03,07,51,8,,,27,19,
2013/08/03,08,54,8,,,27,22,
2013/08/03,09,59,8,,,25,27,
2013/08/03,10,65,8,,,30,27,
2013/08/03,11,69,11,,,31,30,
2013/08/03,12,78,19,,,31,38,
2013/08/03,13,85,24,,,31,44,
2013/08/03,14,83,25,,,30,41,
2013/08/03,15,87,26,,,30,45,
2013/08/03,16,90,29,,,30,48,
2013/08/03,17,90,29,,,30,48,
2013/08/03,18,89,27,,,31,47,
2013/08/03,19,86,20,,,35,39,
2013/08/03,20,83,16,,,40,32,
2013/08/03,21,88,16,,,40,37,
2013/08/03,22,84,16,,,39,34,
2013/08/03,23,38,9,,,12,20,
2013/08/03,24,28,7,,,3,20,
2013/08/04,01,23,7,,,1,17,
2013/08/04,02,22,7,,,1,16,
2013/08/04,03,23,7,,,1,17,
2013/08/04,04,21,5,,,1,15,
2013/08/04,05,20,4,,,1,14,
2013/08/04,06,19,3,,,1,13,
2013/08/04,07,19,3,,,1,13,
2013/08/04,08,21,3,,,1,15,
2013/08/04,09,50,8,,,20,24,
2013/08/04,10,75,14,,,30,33,
2013/08/04,11,78,17,,,30,37,
2013/08/04,12,83,22,,,30,43,
2013/08/04,13,86,22,,,30,44,
2013/08/04,14,82,20,,,30,40,
2013/08/04,15,87,21,,,30,45,
2013/08/04,16,97,34,,,30,55,
2013/08/04,17,96,32,,,30,53,
2013/08/04,18,92,30,,,31,49,
2013/08/04,19,87,22,,,35,40,
2013/08/04,20,83,17,,,39,32,
2013/08/04,21,86,14,,,40,35,
2013/08/04,22,82,13,,,39,32,
2013/08/04,23,36,4,,,13,17,
2013/08/04,24,21,0,,,1,15,
2013/08/05,01,19,0,,,1,14,
2013/08/05,02,18,0,,,1,12,
2013/08/05,03,20,0,,,1,14,
2013/08/05,04,19,0,,,1,13,
2013/08/05,05,19,0,,,1,13,
2013/08/05,06,19,0,,,1,14,
2013/08/05,07,19,0,,,1,13,
2013/08/05,08,20,0,,,1,14,
2013/08/05,09,39,0,,,9,23,
2013/08/05,10,81,18,,,30,40,
2013/08/05,11,81,18,,,30,39,
2013/08/05,12,81,18,,,30,39,
2013/08/05,13,94,30,,,30,51,
2013/08/05,14,93,34,,,30,51,
2013/08/05,15,95,32,,,30,53,
2013/08/05,16,93,31,,,30,52,
2013/08/05,17,87,26,,,30,46,
2013/08/05,18,80,20,,,31,38,
2013/08/05,19,82,17,,,35,35,
2013/08/05,20,79,13,,,40,28,
2013/08/05,21,84,12,,,40,33,
2013/08/05,22,81,12,,,39,31,
2013/08/05,23,52,9,,,23,21,
2013/08/05,24,21,0,,,1,15,
2013/08/06,01,19,0,,,1,13,
2013/08/06,02,17,0,,,1,11,
2013/08/06,03,19,0,,,1,13,
2013/08/06,04,18,0,,,1,13,
2013/08/06,05,19,0,,,1,13,
2013/08/06,06,19,0,,,1,13,
2013/08/06,07,19,0,,,1,13,
2013/08/06,08,19,0,,,1,14,
2013/08/06,09,42,0,,,15,20,
2013/08/06,10,79,17,,,30,37,
2013/08/06,11,81,20,,,30,39,
2013/08/06,12,83,21,,,30,41,
2013/08/06,13,86,25,,,30,44,
2013/08/06,14,88,29,,,30,46,
2013/08/06,15,96,33,,,30,53,
2013/08/06,16,91,28,,,30,49,
2013/08/06,17,87,26,,,30,45,
2013/08/06,18,87,25,,,31,45,
2013/08/06,19,85,20,,,35,39,
2013/08/06,20,84,17,,,39,33,
2013/08/06,21,91,17,,,40,40,
2013/08/06,22,88,17,,,39,37,
2013/08/06,23,38,10,,,9,23,
2013/08/06,24,29,8,,,1,23,
2013/08/07,01,26,8,,,1,20,
2013/08/07,02,25,8,,,1,19,
2013/08/07,03,26,8,,,1,20,
2013/08/07,04,26,8,,,1,20,
2013/08/07,05,29,8,,,5,19,
2013/08/07,06,53,8,,,27,20,
2013/08/07,07,55,8,,,27,22,
2013/08/07,08,56,9,,,27,24,
2013/08/07,09,65,9,,,27,31,
2013/08/07,10,79,15,,,30,38,
2013/08/07,11,90,26,,,30,49,
2013/08/07,12,99,33,,,30,56,
2013/08/07,13,98,32,,,30,55,
2013/08/07,14,97,35,,,30,55,
2013/08/07,15,100,36,,,30,57,
2013/08/07,16,94,31,,,30,52,
2013/08/07,17,94,31,,,30,51,
2013/08/07,18,95,31,,,31,52,
2013/08/07,19,94,27,,,35,47,
2013/08/07,20,85,17,,,40,34,
2013/08/07,21,92,17,,,40,41,
2013/08/07,22,90,17,,,39,39,
2013/08/07,23,37,10,,,7,23,
2013/08/07,24,29,9,,,1,23,
2013/08/08,01,27,8,,,1,21,
2013/08/08,02,26,8,,,1,20,
2013/08/08,03,26,8,,,1,20,
2013/08/08,04,26,8,,,1,20,
2013/08/08,05,26,8,,,1,20,
2013/08/08,06,26,8,,,1,20,
2013/08/08,07,25,8,,,1,20,
2013/08/08,08,27,9,,,1,22,
2013/08/08,09,34,9,,,3,26,
2013/08/08,10,78,18,,,30,37,
2013/08/08,11,79,18,,,29,38,
2013/08/08,12,79,17,,,29,38,
2013/08/08,13,78,14,,,29,37,
2013/08/08,14,88,28,,,29,47,
2013/08/08,15,100,34,,,29,58,
2013/08/08,16,96,32,,,29,54,
2013/08/08,17,94,32,,,29,53,
2013/08/08,18,97,34,,,31,55,
2013/08/08,19,96,29,,,35,49,
2013/08/08,20,92,25,,,39,41,
2013/08/08,21,91,17,,,40,39,
2013/08/08,22,88,18,,,39,38,
2013/08/08,23,34,9,,,7,22,
2013/08/08,24,28,8,,,0,22,
2013/08/09,01,25,8,,,0,19,
2013/08/09,02,24,7,,,0,18,
2013/08/09,03,24,7,,,0,18,
2013/08/09,04,23,7,,,0,18,
2013/08/09,05,23,7,,,0,18,
2013/08/09,06,23,7,,,0,18,
2013/08/09,07,23,7,,,0,18,
2013/08/09,08,25,7,,,0,20,
2013/08/09,09,40,8,,,6,27,
2013/08/09,10,79,17,,,30,38,
2013/08/09,11,81,18,,,30,40,
2013/08/09,12,84,19,,,30,42,
2013/08/09,13,90,23,,,30,48,
2013/08/09,14,83,20,,,30,42,
2013/08/09,15,92,22,,,30,49,
2013/08/09,16,91,24,,,30,48,
2013/08/09,17,93,26,,,30,50,
2013/08/09,18,91,27,,,30,49,
2013/08/09,19,95,26,,,35,47,
2013/08/09,20,93,25,,,39,42,
2013/08/09,21,93,22,,,39,44,
2013/08/09,22,87,17,,,39,36,
2013/08/09,23,32,3,,,9,16,
2013/08/09,24,25,2,,,2,18,
2013/08/10,01,26,8,,,0,20,
2013/08/10,02,23,7,,,0,17,
2013/08/10,03,24,7,,,0,18,
2013/08/10,04,23,6,,,0,17,
2013/08/10,05,37,7,,,14,17,
2013/08/10,06,52,7,,,27,20,
2013/08/10,07,52,8,,,27,20,
2013/08/10,08,55,8,,,27,23,
2013/08/10,09,63,8,,,27,30,
2013/08/10,10,84,21,,,30,43,
2013/08/10,11,84,20,,,30,43,
2013/08/10,12,85,21,,,30,43,
2013/08/10,13,89,22,,,30,47,
2013/08/10,14,92,29,,,30,50,
2013/08/10,15,98,32,,,30,56,
2013/08/10,16,97,33,,,30,55,
2013/08/10,17,101,36,,,30,59,
2013/08/10,18,98,35,,,30,56,
2013/08/10,19,97,30,,,35,50,
2013/08/10,20,91,23,,,40,40,
2013/08/10,21,93,20,,,39,43,
2013/08/10,22,89,19,,,39,39,
2013/08/10,23,39,13,,,8,26,
2013/08/10,24,26,6,,,0,20,
2013/08/11,01,23,6,,,0,18,
2013/08/11,02,22,6,,,0,17,
2013/08/11,03,22,6,,,0,16,
2013/08/11,04,22,5,,,0,16,
2013/08/11,05,21,5,,,0,15,
2013/08/11,06,21,5,,,0,15,
2013/08/11,07,22,5,,,0,16,
2013/08/11,08,24,6,,,0,18,
2013/08/11,09,51,7,,,20,24,
2013/08/11,10,70,9,,,30,30,
2013/08/11,11,86,23,,,30,45,
2013/08/11,12,90,27,,,30,48,
2013/08/11,13,90,26,,,30,48,
2013/08/11,14,88,28,,,30,46,
2013/08/11,15,92,28,,,30,50,
2013/08/11,16,98,34,,,30,56,
2013/08/11,17,97,34,,,30,56,
2013/08/11,18,95,30,,,31,51,
2013/08/11,19,98,25,,,39,46,
2013/08/11,20,85,20,,,38,36,
2013/08/11,21,90,16,,,39,39,
2013/08/11,22,82,13,,,39,32,
2013/08/11,23,54,11,,,23,24,
2013/08/11,24,28,7,,,3,20,
2013/08/12,01,25,6,,,2,18,
2013/08/12,02,21,6,,,0,16,
2013/08/12,03,22,6,,,0,16,
2013/08/12,04,21,6,,,0,16,
2013/08/12,05,20,5,,,0,15,
2013/08/12,06,19,4,,,0,14,
2013/08/12,07,19,3,,,0,13,
2013/08/12,08,21,3,,,0,16,
2013/08/12,09,47,8,,,15,25,
2013/08/12,10,77,16,,,30,36,
2013/08/12,11,82,21,,,30,40,
2013/08/12,12,78,17,,,30,37,
2013/08/12,13,84,21,,,30,42,
2013/08/12,14,90,31,,,30,49,
2013/08/12,15,89,26,,,30,48,
2013/08/12,16,91,27,,,30,49,
2013/08/12,17,93,29,,,30,51,
2013/08/12,18,90,28,,,30,48,
2013/08/12,19,90,22,,,35,43,
2013/08/12,20,86,18,,,40,35,
2013/08/12,21,87,15,,,40,37,
2013/08/12,22,82,13,,,39,32,
2013/08/12,23,60,8,,,32,21,
2013/08/12,24,56,7,,,30,20,
2013/08/13,01,32,7,,,9,18,
2013/08/13,02,21,6,,,0,15,
2013/08/13,03,21,5,,,0,15,
2013/08/13,04,20,5,,,0,14,
2013/08/13,05,19,4,,,0,13,
2013/08/13,06,17,2,,,0,11,
2013/08/13,07,17,2,,,0,12,
2013/08/13,08,19,2,,,0,14,
2013/08/13,09,45,6,,,14,24,
2013/08/13,10,77,16,,,30,36,
2013/08/13,11,80,17,,,30,38,
2013/08/13,12,86,23,,,30,44,
2013/08/13,13,94,29,,,31,51,
2013/08/13,14,90,30,,,31,48,
